annextitle,annexhref
海事案件傷亡損害情形.csv,https://data.motcmpb.gov.tw/Common/DocumentDownload/758ac32a-f4bb-4458-9824-0868644e68bb
海事案件種類.csv,https://data.motcmpb.gov.tw/Common/DocumentDownload/e60154e5-5679-4c1d-8eeb-9e2e94f87d15
