時間,國內/國外,進港/出港,臺灣港口,國籍,重量(公噸)
098年08月,國外,進港,基隆港,香港,291412
098年08月,國外,進港,基隆港,義大利,578
098年08月,國外,進港,基隆港,日本,616
098年08月,國外,進港,基隆港,高棉,1995
098年08月,國外,進港,基隆港,吉里巴斯,4999
098年08月,國外,進港,基隆港,韓國,17132
098年08月,國外,進港,基隆港,賴比瑞亞,68291
098年08月,國外,進港,基隆港,馬紹爾群島,21829
098年08月,國外,進港,基隆港,馬爾他,1
098年08月,國外,進港,基隆港,荷蘭,7000
098年08月,國外,進港,基隆港,巴拿馬,395698
098年08月,國外,進港,基隆港,菲律賓,7224
098年08月,國外,進港,基隆港,沙烏地阿拉伯,11001
098年08月,國外,進港,基隆港,新加坡,84615
098年08月,國內,進港,基隆港,台灣，中華民國,453870
098年08月,國外,進港,基隆港,聖文森,47969
098年08月,國外,出港,基隆港,安地卡及巴布達,17434
098年08月,國外,出港,基隆港,巴哈馬,588
098年08月,國外,出港,基隆港,中國大陸,16729
098年08月,國外,出港,基隆港,賽普勒斯,25309
098年08月,國外,出港,基隆港,德國,658
098年08月,國外,出港,基隆港,英國,15714
098年08月,國外,出港,基隆港,香港,107749
098年08月,國外,出港,基隆港,義大利,552
098年08月,國外,出港,基隆港,日本,1057
098年08月,國外,出港,基隆港,高棉,0
098年08月,國外,出港,基隆港,吉里巴斯,0
098年08月,國外,出港,基隆港,韓國,5556
098年08月,國外,出港,基隆港,賴比瑞亞,49452
098年08月,國外,出港,基隆港,馬紹爾群島,14062
098年08月,國外,出港,基隆港,馬爾他,16
098年08月,國外,出港,基隆港,荷蘭,31
098年08月,國外,出港,基隆港,巴拿馬,88147
098年08月,國外,出港,基隆港,菲律賓,687
098年08月,國外,出港,基隆港,沙烏地阿拉伯,0
098年08月,國外,出港,基隆港,新加坡,65864
098年08月,國內,出港,基隆港,台灣，中華民國,117452
098年08月,國外,出港,基隆港,聖文森,9118
098年09月,國外,進港,基隆港,安地卡及巴布達,13066
098年09月,國外,進港,基隆港,巴哈馬,2623
098年09月,國外,進港,基隆港,貝里斯,7724
098年09月,國外,進港,基隆港,中國大陸,20564
098年09月,國外,進港,基隆港,賽普勒斯,21437
098年09月,國外,進港,基隆港,德國,202
098年09月,國外,進港,基隆港,英國,7858
098年09月,國外,進港,基隆港,香港,165115
098年09月,國外,進港,基隆港,日本,5017
098年09月,國外,進港,基隆港,高棉,8308
098年09月,國外,進港,基隆港,韓國,9244
098年09月,國外,進港,基隆港,賴比瑞亞,56691
098年09月,國外,進港,基隆港,馬紹爾群島,20894
098年09月,國外,進港,基隆港,馬爾他,707
098年09月,國外,進港,基隆港,荷蘭,5000
098年09月,國外,進港,基隆港,巴拿馬,434713
098年09月,國外,進港,基隆港,菲律賓,4951
098年09月,國外,進港,基隆港,沙烏地阿拉伯,17391
098年09月,國外,進港,基隆港,新加坡,96215
098年09月,國外,進港,基隆港,泰國,5250
098年09月,國外,進港,基隆港,吐瓦魯,3895
098年09月,國內,進港,基隆港,台灣，中華民國,536154
098年09月,國外,進港,基隆港,聖文森,94294
098年09月,國外,出港,基隆港,安地卡及巴布達,10479
098年09月,國外,出港,基隆港,巴哈馬,2066
098年09月,國外,出港,基隆港,貝里斯,0
098年09月,國外,出港,基隆港,中國大陸,8626
098年09月,國外,出港,基隆港,賽普勒斯,22116
098年09月,國外,出港,基隆港,德國,8
098年09月,國外,出港,基隆港,英國,11569
098年09月,國外,出港,基隆港,香港,70021
098年09月,國外,出港,基隆港,日本,3996
098年09月,國外,出港,基隆港,高棉,0
098年09月,國外,出港,基隆港,韓國,3149
098年09月,國外,出港,基隆港,賴比瑞亞,38250
098年09月,國外,出港,基隆港,馬紹爾群島,12278
098年09月,國外,出港,基隆港,馬爾他,3666
098年09月,國外,出港,基隆港,荷蘭,0
098年09月,國外,出港,基隆港,巴拿馬,93582
098年09月,國外,出港,基隆港,菲律賓,550
098年09月,國外,出港,基隆港,沙烏地阿拉伯,0
098年09月,國外,出港,基隆港,新加坡,78304
098年09月,國外,出港,基隆港,泰國,0
098年09月,國外,出港,基隆港,吐瓦魯,0
098年09月,國內,出港,基隆港,台灣，中華民國,83708
098年09月,國外,出港,基隆港,聖文森,7931
098年10月,國外,進港,基隆港,安地卡及巴布達,4860
098年10月,國外,進港,基隆港,巴哈馬,2434
098年10月,國外,進港,基隆港,貝里斯,5000
098年10月,國外,進港,基隆港,中國大陸,20832
098年10月,國外,進港,基隆港,賽普勒斯,21304
098年10月,國外,進港,基隆港,德國,2955
098年10月,國外,進港,基隆港,英國,6634
098年10月,國外,進港,基隆港,香港,123484
098年10月,國外,進港,基隆港,義大利,461
098年10月,國外,進港,基隆港,日本,19
098年10月,國外,進港,基隆港,高棉,4796
098年10月,國外,進港,基隆港,吉里巴斯,516
098年10月,國外,進港,基隆港,韓國,16012
098年10月,國外,進港,基隆港,賴比瑞亞,46596
098年10月,國外,進港,基隆港,馬紹爾群島,16707
098年10月,國外,進港,基隆港,馬爾他,4763
098年10月,國外,進港,基隆港,巴拿馬,432577
098年10月,國外,進港,基隆港,菲律賓,2
098年10月,國外,進港,基隆港,沙烏地阿拉伯,7343
098年10月,國外,進港,基隆港,新加坡,83619
098年10月,國外,進港,基隆港,泰國,2574
098年10月,國外,進港,基隆港,吐瓦魯,1832
098年10月,國內,進港,基隆港,台灣，中華民國,462681
098年10月,國外,進港,基隆港,聖文森,91530
098年10月,國外,出港,基隆港,安地卡及巴布達,7972
098年10月,國外,出港,基隆港,巴哈馬,869
098年10月,國外,出港,基隆港,貝里斯,0
098年10月,國外,出港,基隆港,中國大陸,12924
098年10月,國外,出港,基隆港,賽普勒斯,25993
098年10月,國外,出港,基隆港,德國,506
098年10月,國外,出港,基隆港,英國,9909
098年10月,國外,出港,基隆港,香港,86340
098年10月,國外,出港,基隆港,義大利,2179
098年10月,國外,出港,基隆港,日本,2146
098年10月,國外,出港,基隆港,高棉,0
098年10月,國外,出港,基隆港,吉里巴斯,0
098年10月,國外,出港,基隆港,韓國,5585
098年10月,國外,出港,基隆港,賴比瑞亞,36504
098年10月,國外,出港,基隆港,馬紹爾群島,12596
098年10月,國外,出港,基隆港,馬爾他,270
098年10月,國外,出港,基隆港,巴拿馬,100759
098年10月,國外,出港,基隆港,菲律賓,211
098年10月,國外,出港,基隆港,沙烏地阿拉伯,0
098年10月,國外,出港,基隆港,新加坡,76384
098年10月,國外,出港,基隆港,泰國,2043
098年10月,國外,出港,基隆港,吐瓦魯,0
098年10月,國內,出港,基隆港,台灣，中華民國,90364
098年10月,國外,出港,基隆港,聖文森,7816
098年11月,國外,進港,基隆港,安地卡及巴布達,11006
098年11月,國外,進港,基隆港,巴哈馬,24937
098年11月,國外,進港,基隆港,貝里斯,12408
098年11月,國外,進港,基隆港,中國大陸,30198
098年11月,國外,進港,基隆港,賽普勒斯,18996
098年11月,國外,進港,基隆港,德國,2525
098年11月,國外,進港,基隆港,英國,8853
098年11月,國外,進港,基隆港,香港,168240
098年11月,國外,進港,基隆港,日本,685
098年11月,國外,進港,基隆港,高棉,6500
098年11月,國外,進港,基隆港,吉里巴斯,11138
098年11月,國外,進港,基隆港,韓國,15066
098年11月,國外,進港,基隆港,賴比瑞亞,62359
098年11月,國外,進港,基隆港,馬紹爾群島,15400
098年11月,國外,進港,基隆港,荷蘭,10002
098年11月,國外,進港,基隆港,巴拿馬,556607
098年11月,國外,進港,基隆港,菲律賓,2682
098年11月,國外,進港,基隆港,沙烏地阿拉伯,16787
098年11月,國外,進港,基隆港,新加坡,79457
098年11月,國外,進港,基隆港,泰國,2906
098年11月,國內,進港,基隆港,台灣，中華民國,454223
098年11月,國外,進港,基隆港,聖文森,21586
098年11月,國外,出港,基隆港,安地卡及巴布達,6600
098年11月,國外,出港,基隆港,巴哈馬,1096
098年11月,國外,出港,基隆港,貝里斯,0
098年11月,國外,出港,基隆港,中國大陸,12181
098年11月,國外,出港,基隆港,賽普勒斯,26442
098年11月,國外,出港,基隆港,德國,621
098年11月,國外,出港,基隆港,英國,12924
098年11月,國外,出港,基隆港,香港,74493
098年11月,國外,出港,基隆港,日本,494
098年11月,國外,出港,基隆港,高棉,0
098年11月,國外,出港,基隆港,吉里巴斯,0
098年11月,國外,出港,基隆港,韓國,5545
098年11月,國外,出港,基隆港,賴比瑞亞,61411
098年11月,國外,出港,基隆港,馬紹爾群島,10589
098年11月,國外,出港,基隆港,荷蘭,15
098年11月,國外,出港,基隆港,巴拿馬,96328
098年11月,國外,出港,基隆港,菲律賓,488
098年11月,國外,出港,基隆港,沙烏地阿拉伯,0
098年11月,國外,出港,基隆港,新加坡,79310
098年11月,國外,出港,基隆港,泰國,2660
098年11月,國內,出港,基隆港,台灣，中華民國,81353
098年11月,國外,出港,基隆港,聖文森,11472
098年12月,國外,進港,基隆港,安地卡及巴布達,7086
098年12月,國外,進港,基隆港,荷屬安地列斯,0
098年12月,國外,進港,基隆港,巴哈馬,3016
098年12月,國外,進港,基隆港,中國大陸,24327
098年12月,國外,進港,基隆港,賽普勒斯,23314
098年12月,國外,進港,基隆港,德國,2447
098年12月,國外,進港,基隆港,英國,5682
098年12月,國外,進港,基隆港,希臘,3079
098年12月,國外,進港,基隆港,香港,232181
098年12月,國外,進港,基隆港,義大利,674
098年12月,國外,進港,基隆港,日本,159
098年12月,國外,進港,基隆港,高棉,17830
098年12月,國外,進港,基隆港,韓國,8768
098年12月,國外,進港,基隆港,賴比瑞亞,46033
098年12月,國外,進港,基隆港,馬紹爾群島,4915
098年12月,國外,進港,基隆港,馬來西亞,3296
098年12月,國外,進港,基隆港,巴拿馬,455939
098年12月,國外,進港,基隆港,菲律賓,5511
098年12月,國外,進港,基隆港,沙烏地阿拉伯,6294
098年12月,國外,進港,基隆港,新加坡,84565
098年12月,國外,進港,基隆港,泰國,3580
098年12月,國外,進港,基隆港,吐瓦魯,516
098年12月,國內,進港,基隆港,台灣，中華民國,577963
098年12月,國外,進港,基隆港,聖文森,36078
098年12月,國外,出港,基隆港,安地卡及巴布達,8673
098年12月,國外,出港,基隆港,荷屬安地列斯,38
098年12月,國外,出港,基隆港,巴哈馬,520
098年12月,國外,出港,基隆港,中國大陸,11432
098年12月,國外,出港,基隆港,賽普勒斯,34739
098年12月,國外,出港,基隆港,德國,327
098年12月,國外,出港,基隆港,英國,12831
098年12月,國外,出港,基隆港,希臘,2392
098年12月,國外,出港,基隆港,香港,80997
098年12月,國外,出港,基隆港,義大利,1472
098年12月,國外,出港,基隆港,日本,0
098年12月,國外,出港,基隆港,高棉,0
098年12月,國外,出港,基隆港,韓國,7453
098年12月,國外,出港,基隆港,賴比瑞亞,47734
098年12月,國外,出港,基隆港,馬紹爾群島,3397
098年12月,國外,出港,基隆港,馬來西亞,0
098年12月,國外,出港,基隆港,巴拿馬,112212
098年12月,國外,出港,基隆港,菲律賓,579
098年12月,國外,出港,基隆港,沙烏地阿拉伯,0
098年12月,國外,出港,基隆港,新加坡,71156
098年12月,國外,出港,基隆港,泰國,2597
098年12月,國外,出港,基隆港,吐瓦魯,0
098年12月,國內,出港,基隆港,台灣，中華民國,67876
098年12月,國外,出港,基隆港,聖文森,9672
099年01月,國外,進港,基隆港,安地卡及巴布達,16375
099年01月,國外,進港,基隆港,荷屬安地列斯,53
099年01月,國外,進港,基隆港,巴哈馬,2218
099年01月,國外,進港,基隆港,貝里斯,18585
099年01月,國外,進港,基隆港,中國大陸,35267
099年01月,國外,進港,基隆港,賽普勒斯,33115
099年01月,國外,進港,基隆港,德國,796
099年01月,國外,進港,基隆港,英國,3835
099年01月,國外,進港,基隆港,香港,252562
099年01月,國外,進港,基隆港,義大利,0
099年01月,國外,進港,基隆港,日本,13
099年01月,國外,進港,基隆港,高棉,26095
099年01月,國外,進港,基隆港,吉里巴斯,5934
099年01月,國外,進港,基隆港,韓國,18853
099年01月,國外,進港,基隆港,賴比瑞亞,85085
099年01月,國外,進港,基隆港,馬紹爾群島,10756
099年01月,國外,進港,基隆港,巴拿馬,521792
099年01月,國外,進港,基隆港,菲律賓,3137
099年01月,國外,進港,基隆港,沙烏地阿拉伯,23341
099年01月,國外,進港,基隆港,新加坡,79488
099年01月,國外,進港,基隆港,泰國,5128
099年01月,國內,進港,基隆港,台灣，中華民國,598072
099年01月,國外,進港,基隆港,聖文森,31959
099年01月,國外,進港,基隆港,越南,1921
099年01月,國外,出港,基隆港,安地卡及巴布達,13954
099年01月,國外,出港,基隆港,荷屬安地列斯,1
099年01月,國外,出港,基隆港,巴哈馬,1254
099年01月,國外,出港,基隆港,貝里斯,0
099年01月,國外,出港,基隆港,中國大陸,17816
099年01月,國外,出港,基隆港,賽普勒斯,36998
099年01月,國外,出港,基隆港,德國,348
099年01月,國外,出港,基隆港,英國,2141
099年01月,國外,出港,基隆港,香港,115967
099年01月,國外,出港,基隆港,義大利,27
099年01月,國外,出港,基隆港,日本,0
099年01月,國外,出港,基隆港,高棉,0
099年01月,國外,出港,基隆港,吉里巴斯,0
099年01月,國外,出港,基隆港,韓國,6782
099年01月,國外,出港,基隆港,賴比瑞亞,72375
099年01月,國外,出港,基隆港,馬紹爾群島,8949
099年01月,國外,出港,基隆港,巴拿馬,104143
099年01月,國外,出港,基隆港,菲律賓,653
099年01月,國外,出港,基隆港,沙烏地阿拉伯,0
099年01月,國外,出港,基隆港,新加坡,60970
099年01月,國外,出港,基隆港,泰國,4097
099年01月,國內,出港,基隆港,台灣，中華民國,67728
099年01月,國外,出港,基隆港,聖文森,7436
099年01月,國外,出港,基隆港,越南,0
099年02月,國外,進港,基隆港,安地卡及巴布達,2653
099年02月,國外,進港,基隆港,荷屬安地列斯,228
099年02月,國外,進港,基隆港,巴哈馬,1918
099年02月,國外,進港,基隆港,貝里斯,3561
099年02月,國外,進港,基隆港,中國大陸,20702
099年02月,國外,進港,基隆港,賽普勒斯,27136
099年02月,國外,進港,基隆港,德國,2455
099年02月,國外,進港,基隆港,英國,4491
099年02月,國外,進港,基隆港,希臘,895
099年02月,國外,進港,基隆港,香港,143427
099年02月,國外,進港,基隆港,日本,356
099年02月,國外,進港,基隆港,高棉,24397
099年02月,國外,進港,基隆港,韓國,13553
099年02月,國外,進港,基隆港,賴比瑞亞,59749
099年02月,國外,進港,基隆港,馬紹爾群島,6111
099年02月,國外,進港,基隆港,巴拿馬,352560
099年02月,國外,進港,基隆港,菲律賓,128
099年02月,國外,進港,基隆港,沙烏地阿拉伯,18027
099年02月,國外,進港,基隆港,新加坡,60858
099年02月,國外,進港,基隆港,泰國,2820
099年02月,國外,進港,基隆港,吐瓦魯,516
099年02月,國內,進港,基隆港,台灣，中華民國,427622
099年02月,國外,進港,基隆港,聖文森,3789
099年02月,國外,進港,基隆港,越南,523
099年02月,國外,出港,基隆港,安地卡及巴布達,8799
099年02月,國外,出港,基隆港,荷屬安地列斯,205
099年02月,國外,出港,基隆港,巴哈馬,1176
099年02月,國外,出港,基隆港,貝里斯,0
099年02月,國外,出港,基隆港,中國大陸,11638
099年02月,國外,出港,基隆港,賽普勒斯,26487
099年02月,國外,出港,基隆港,德國,855
099年02月,國外,出港,基隆港,英國,9317
099年02月,國外,出港,基隆港,希臘,1985
099年02月,國外,出港,基隆港,香港,41311
099年02月,國外,出港,基隆港,日本,0
099年02月,國外,出港,基隆港,高棉,43
099年02月,國外,出港,基隆港,韓國,11569
099年02月,國外,出港,基隆港,賴比瑞亞,37268
099年02月,國外,出港,基隆港,馬紹爾群島,12150
099年02月,國外,出港,基隆港,巴拿馬,76305
099年02月,國外,出港,基隆港,菲律賓,0
099年02月,國外,出港,基隆港,沙烏地阿拉伯,0
099年02月,國外,出港,基隆港,新加坡,44138
099年02月,國外,出港,基隆港,泰國,1008
099年02月,國外,出港,基隆港,吐瓦魯,0
099年02月,國內,出港,基隆港,台灣，中華民國,42715
099年02月,國外,出港,基隆港,聖文森,2530
099年02月,國外,出港,基隆港,越南,0
099年03月,國外,進港,基隆港,安地卡及巴布達,16853
099年03月,國外,進港,基隆港,荷屬安地列斯,839
099年03月,國外,進港,基隆港,巴哈馬,40775
099年03月,國外,進港,基隆港,貝里斯,517
099年03月,國外,進港,基隆港,中國大陸,38457
099年03月,國外,進港,基隆港,賽普勒斯,81906
099年03月,國外,進港,基隆港,德國,1320
099年03月,國外,進港,基隆港,丹麥,35002
099年03月,國外,進港,基隆港,英國,7821
099年03月,國外,進港,基隆港,喬治亞,12600
099年03月,國外,進港,基隆港,希臘,1827
099年03月,國外,進港,基隆港,香港,221248
099年03月,國外,進港,基隆港,日本,169
099年03月,國外,進港,基隆港,高棉,31958
099年03月,國外,進港,基隆港,韓國,30139
099年03月,國外,進港,基隆港,賴比瑞亞,133416
099年03月,國外,進港,基隆港,馬紹爾群島,24433
099年03月,國外,進港,基隆港,馬來西亞,10761
099年03月,國外,進港,基隆港,荷蘭,6000
099年03月,國外,進港,基隆港,挪威,14001
099年03月,國外,進港,基隆港,巴拿馬,462925
099年03月,國外,進港,基隆港,菲律賓,1738
099年03月,國外,進港,基隆港,沙烏地阿拉伯,3850
099年03月,國外,進港,基隆港,新加坡,94714
099年03月,國外,進港,基隆港,泰國,2313
099年03月,國外,進港,基隆港,吐瓦魯,2072
099年03月,國內,進港,基隆港,台灣，中華民國,533390
099年03月,國外,進港,基隆港,聖文森,7784
099年03月,國外,進港,基隆港,越南,5564
099年03月,國外,出港,基隆港,安地卡及巴布達,15287
099年03月,國外,出港,基隆港,荷屬安地列斯,267
099年03月,國外,出港,基隆港,巴哈馬,1004
099年03月,國外,出港,基隆港,貝里斯,0
099年03月,國外,出港,基隆港,中國大陸,21903
099年03月,國外,出港,基隆港,賽普勒斯,58203
099年03月,國外,出港,基隆港,德國,0
099年03月,國外,出港,基隆港,丹麥,0
099年03月,國外,出港,基隆港,英國,9645
099年03月,國外,出港,基隆港,喬治亞,0
099年03月,國外,出港,基隆港,希臘,18
099年03月,國外,出港,基隆港,香港,108262
099年03月,國外,出港,基隆港,日本,0
099年03月,國外,出港,基隆港,高棉,0
099年03月,國外,出港,基隆港,韓國,6591
099年03月,國外,出港,基隆港,賴比瑞亞,65145
099年03月,國外,出港,基隆港,馬紹爾群島,24206
099年03月,國外,出港,基隆港,馬來西亞,0
099年03月,國外,出港,基隆港,荷蘭,0
099年03月,國外,出港,基隆港,挪威,0
099年03月,國外,出港,基隆港,巴拿馬,95827
099年03月,國外,出港,基隆港,菲律賓,497
099年03月,國外,出港,基隆港,沙烏地阿拉伯,0
099年03月,國外,出港,基隆港,新加坡,80087
099年03月,國外,出港,基隆港,泰國,1120
099年03月,國外,出港,基隆港,吐瓦魯,0
099年03月,國內,出港,基隆港,台灣，中華民國,90735
099年03月,國外,出港,基隆港,聖文森,2516
099年03月,國外,出港,基隆港,越南,0
099年04月,國外,進港,基隆港,安地卡及巴布達,17161
099年04月,國外,進港,基隆港,荷屬安地列斯,1734
099年04月,國外,進港,基隆港,巴哈馬,3415
099年04月,國外,進港,基隆港,貝里斯,475
099年04月,國外,進港,基隆港,中國大陸,31012
099年04月,國外,進港,基隆港,賽普勒斯,30296
099年04月,國外,進港,基隆港,德國,4722
099年04月,國外,進港,基隆港,英國,4525
099年04月,國外,進港,基隆港,希臘,1536
099年04月,國外,進港,基隆港,香港,197677
099年04月,國外,進港,基隆港,高棉,17100
099年04月,國外,進港,基隆港,吉里巴斯,3262
099年04月,國外,進港,基隆港,韓國,27586
099年04月,國外,進港,基隆港,賴比瑞亞,65062
099年04月,國外,進港,基隆港,馬紹爾群島,17124
099年04月,國外,進港,基隆港,馬爾他,11499
099年04月,國外,進港,基隆港,馬來西亞,307
099年04月,國外,進港,基隆港,荷蘭,1148
099年04月,國外,進港,基隆港,挪威,4995
099年04月,國外,進港,基隆港,巴拿馬,461730
099年04月,國外,進港,基隆港,菲律賓,2898
099年04月,國外,進港,基隆港,沙烏地阿拉伯,10537
099年04月,國外,進港,基隆港,新加坡,118798
099年04月,國外,進港,基隆港,泰國,2567
099年04月,國外,進港,基隆港,吐瓦魯,657
099年04月,國內,進港,基隆港,台灣，中華民國,491274
099年04月,國外,進港,基隆港,聖文森,8043
099年04月,國外,進港,基隆港,越南,7639
099年04月,國外,出港,基隆港,安地卡及巴布達,15817
099年04月,國外,出港,基隆港,荷屬安地列斯,584
099年04月,國外,出港,基隆港,巴哈馬,2421
099年04月,國外,出港,基隆港,貝里斯,0
099年04月,國外,出港,基隆港,中國大陸,19078
099年04月,國外,出港,基隆港,賽普勒斯,33367
099年04月,國外,出港,基隆港,德國,6245
099年04月,國外,出港,基隆港,英國,7787
099年04月,國外,出港,基隆港,希臘,0
099年04月,國外,出港,基隆港,香港,100135
099年04月,國外,出港,基隆港,高棉,0
099年04月,國外,出港,基隆港,吉里巴斯,0
099年04月,國外,出港,基隆港,韓國,13014
099年04月,國外,出港,基隆港,賴比瑞亞,47780
099年04月,國外,出港,基隆港,馬紹爾群島,23005
099年04月,國外,出港,基隆港,馬爾他,0
099年04月,國外,出港,基隆港,馬來西亞,0
099年04月,國外,出港,基隆港,荷蘭,0
099年04月,國外,出港,基隆港,挪威,0
099年04月,國外,出港,基隆港,巴拿馬,84632
099年04月,國外,出港,基隆港,菲律賓,884
099年04月,國外,出港,基隆港,沙烏地阿拉伯,0
099年04月,國外,出港,基隆港,新加坡,68902
099年04月,國外,出港,基隆港,泰國,2626
099年04月,國外,出港,基隆港,吐瓦魯,0
099年04月,國內,出港,基隆港,台灣，中華民國,95496
099年04月,國外,出港,基隆港,聖文森,2455
099年04月,國外,出港,基隆港,越南,4192
099年05月,國外,進港,基隆港,安地卡及巴布達,10563
099年05月,國外,進港,基隆港,荷屬安地列斯,647
099年05月,國外,進港,基隆港,巴哈馬,3122
099年05月,國外,進港,基隆港,貝里斯,4610
099年05月,國外,進港,基隆港,中國大陸,48299
099年05月,國外,進港,基隆港,賽普勒斯,33047
099年05月,國外,進港,基隆港,德國,5702
099年05月,國外,進港,基隆港,英國,7266
099年05月,國外,進港,基隆港,希臘,155
099年05月,國外,進港,基隆港,香港,186512
099年05月,國外,進港,基隆港,日本,560
099年05月,國外,進港,基隆港,高棉,27983
099年05月,國外,進港,基隆港,韓國,22254
099年05月,國外,進港,基隆港,賴比瑞亞,73670
099年05月,國外,進港,基隆港,盧森堡,0
099年05月,國外,進港,基隆港,馬紹爾群島,28146
099年05月,國外,進港,基隆港,馬爾他,5051
099年05月,國外,進港,基隆港,馬來西亞,2830
099年05月,國外,進港,基隆港,荷蘭,5002
099年05月,國外,進港,基隆港,挪威,5089
099年05月,國外,進港,基隆港,巴拿馬,616068
099年05月,國外,進港,基隆港,菲律賓,3997
099年05月,國外,進港,基隆港,沙烏地阿拉伯,16354
099年05月,國外,進港,基隆港,新加坡,98101
099年05月,國外,進港,基隆港,泰國,2027
099年05月,國內,進港,基隆港,台灣，中華民國,534138
099年05月,國外,進港,基隆港,聖文森,10730
099年05月,國外,出港,基隆港,安地卡及巴布達,17147
099年05月,國外,出港,基隆港,荷屬安地列斯,1080
099年05月,國外,出港,基隆港,巴哈馬,1883
099年05月,國外,出港,基隆港,貝里斯,0
099年05月,國外,出港,基隆港,中國大陸,27150
099年05月,國外,出港,基隆港,賽普勒斯,30459
099年05月,國外,出港,基隆港,德國,2803
099年05月,國外,出港,基隆港,英國,22619
099年05月,國外,出港,基隆港,希臘,0
099年05月,國外,出港,基隆港,香港,67338
099年05月,國外,出港,基隆港,日本,0
099年05月,國外,出港,基隆港,高棉,0
099年05月,國外,出港,基隆港,韓國,5888
099年05月,國外,出港,基隆港,賴比瑞亞,68891
099年05月,國外,出港,基隆港,盧森堡,88
099年05月,國外,出港,基隆港,馬紹爾群島,22143
099年05月,國外,出港,基隆港,馬爾他,0
099年05月,國外,出港,基隆港,馬來西亞,0
099年05月,國外,出港,基隆港,荷蘭,0
099年05月,國外,出港,基隆港,挪威,0
099年05月,國外,出港,基隆港,巴拿馬,97992
099年05月,國外,出港,基隆港,菲律賓,1186
099年05月,國外,出港,基隆港,沙烏地阿拉伯,0
099年05月,國外,出港,基隆港,新加坡,94134
099年05月,國外,出港,基隆港,泰國,1919
099年05月,國內,出港,基隆港,台灣，中華民國,139185
099年05月,國外,出港,基隆港,聖文森,3555
099年06月,國外,進港,基隆港,安地卡及巴布達,31401
099年06月,國外,進港,基隆港,荷屬安地列斯,1455
099年06月,國外,進港,基隆港,巴哈馬,1873
099年06月,國外,進港,基隆港,貝里斯,3296
099年06月,國外,進港,基隆港,中國大陸,33105
099年06月,國外,進港,基隆港,賽普勒斯,32704
099年06月,國外,進港,基隆港,德國,9276
099年06月,國外,進港,基隆港,英國,7443
099年06月,國外,進港,基隆港,香港,152132
099年06月,國外,進港,基隆港,高棉,18818
099年06月,國外,進港,基隆港,吉里巴斯,3807
099年06月,國外,進港,基隆港,韓國,13166
099年06月,國外,進港,基隆港,賴比瑞亞,101318
099年06月,國外,進港,基隆港,馬紹爾群島,67993
099年06月,國外,進港,基隆港,巴拿馬,541620
099年06月,國外,進港,基隆港,菲律賓,341
099年06月,國外,進港,基隆港,沙烏地阿拉伯,5000
099年06月,國外,進港,基隆港,新加坡,142368
099年06月,國外,進港,基隆港,泰國,2355
099年06月,國內,進港,基隆港,台灣，中華民國,407635
099年06月,國外,進港,基隆港,聖文森,7954
099年06月,國外,進港,基隆港,越南,1303
099年06月,國外,出港,基隆港,安地卡及巴布達,18262
099年06月,國外,出港,基隆港,荷屬安地列斯,774
099年06月,國外,出港,基隆港,巴哈馬,1896
099年06月,國外,出港,基隆港,貝里斯,0
099年06月,國外,出港,基隆港,中國大陸,21606
099年06月,國外,出港,基隆港,賽普勒斯,26339
099年06月,國外,出港,基隆港,德國,7589
099年06月,國外,出港,基隆港,英國,17105
099年06月,國外,出港,基隆港,香港,74941
099年06月,國外,出港,基隆港,高棉,0
099年06月,國外,出港,基隆港,吉里巴斯,0
099年06月,國外,出港,基隆港,韓國,5837
099年06月,國外,出港,基隆港,賴比瑞亞,75593
099年06月,國外,出港,基隆港,馬紹爾群島,8840
099年06月,國外,出港,基隆港,巴拿馬,72054
099年06月,國外,出港,基隆港,菲律賓,1086
099年06月,國外,出港,基隆港,沙烏地阿拉伯,0
099年06月,國外,出港,基隆港,新加坡,89728
099年06月,國外,出港,基隆港,泰國,2904
099年06月,國內,出港,基隆港,台灣，中華民國,88664
099年06月,國外,出港,基隆港,聖文森,2243
099年06月,國外,出港,基隆港,越南,0
099年07月,國外,進港,基隆港,安地卡及巴布達,13983
099年07月,國外,進港,基隆港,荷屬安地列斯,1243
099年07月,國外,進港,基隆港,巴哈馬,3183
099年07月,國外,進港,基隆港,貝里斯,3752
099年07月,國外,進港,基隆港,中國大陸,28789
099年07月,國外,進港,基隆港,賽普勒斯,23155
099年07月,國外,進港,基隆港,德國,7082
099年07月,國外,進港,基隆港,英國,6738
099年07月,國外,進港,基隆港,直布羅陀,323
099年07月,國外,進港,基隆港,希臘,5
099年07月,國外,進港,基隆港,香港,179148
099年07月,國外,進港,基隆港,高棉,15035
099年07月,國外,進港,基隆港,吉里巴斯,1448
099年07月,國外,進港,基隆港,北韓,975
099年07月,國外,進港,基隆港,韓國,7389
099年07月,國外,進港,基隆港,賴比瑞亞,144471
099年07月,國外,進港,基隆港,馬紹爾群島,13481
099年07月,國外,進港,基隆港,挪威,5243
099年07月,國外,進港,基隆港,巴拿馬,539520
099年07月,國外,進港,基隆港,菲律賓,1289
099年07月,國外,進港,基隆港,沙烏地阿拉伯,17708
099年07月,國外,進港,基隆港,新加坡,89427
099年07月,國外,進港,基隆港,泰國,2698
099年07月,國外,進港,基隆港,吐瓦魯,3000
099年07月,國內,進港,基隆港,台灣，中華民國,392295
099年07月,國外,進港,基隆港,聖文森,8869
099年07月,國外,進港,基隆港,越南,958
