時間,地區別,臺灣港口,空實櫃別,貨櫃尺寸,貨櫃量
096年01月,亞洲其他,基隆港,實櫃,20呎,77
096年01月,亞洲其他,基隆港,實櫃,40呎,23
096年01月,阿拉伯聯合大公國,基隆港,實櫃,20呎,54
096年01月,阿拉伯聯合大公國,基隆港,實櫃,40呎,9
096年01月,阿根廷,基隆港,實櫃,20呎,36
096年01月,阿根廷,基隆港,實櫃,40呎,15
096年01月,澳洲,基隆港,實櫃,20呎,223
096年01月,澳洲,基隆港,實櫃,40呎,70
096年01月,孟加拉,基隆港,實櫃,40呎,1
096年01月,比利時,基隆港,實櫃,20呎,18
096年01月,比利時,基隆港,實櫃,40呎,20
096年01月,巴林,基隆港,實櫃,20呎,27
096年01月,巴西,基隆港,實櫃,20呎,96
096年01月,巴西,基隆港,實櫃,40呎,64
096年01月,中美洲其他,基隆港,實櫃,20呎,84
096年01月,中美洲其他,基隆港,實櫃,40呎,119
096年01月,加拿大,基隆港,實櫃,20呎,16
096年01月,加拿大,基隆港,實櫃,40呎,22
096年01月,瑞士,基隆港,實櫃,20呎,3
096年01月,象牙海岸,基隆港,實櫃,40呎,1
096年01月,智利,基隆港,實櫃,20呎,256
096年01月,智利,基隆港,實櫃,40呎,535
096年01月,中國大陸,基隆港,實櫃,20呎,5023
096年01月,中國大陸,基隆港,實櫃,40呎,4038
096年01月,德國,基隆港,實櫃,20呎,13
096年01月,德國,基隆港,實櫃,40呎,9
096年01月,埃及,基隆港,實櫃,20呎,47
096年01月,埃及,基隆港,實櫃,40呎,2
096年01月,西班牙,基隆港,實櫃,20呎,4
096年01月,西班牙,基隆港,實櫃,40呎,13
096年01月,非洲其他,基隆港,實櫃,20呎,15
096年01月,非洲其他,基隆港,實櫃,40呎,6
096年01月,法國,基隆港,實櫃,20呎,13
096年01月,法國,基隆港,實櫃,40呎,27
096年01月,英國,基隆港,實櫃,20呎,4
096年01月,英國,基隆港,實櫃,40呎,4
096年01月,香港,基隆港,實櫃,20呎,4285
096年01月,香港,基隆港,實櫃,40呎,6309
096年01月,印尼,基隆港,實櫃,20呎,358
096年01月,印尼,基隆港,實櫃,40呎,271
096年01月,印度,基隆港,實櫃,20呎,139
096年01月,印度,基隆港,實櫃,40呎,39
096年01月,伊朗,基隆港,實櫃,20呎,36
096年01月,伊朗,基隆港,實櫃,40呎,14
096年01月,義大利,基隆港,實櫃,20呎,21
096年01月,義大利,基隆港,實櫃,40呎,22
096年01月,約旦,基隆港,實櫃,20呎,10
096年01月,約旦,基隆港,實櫃,40呎,1
096年01月,日本,基隆港,實櫃,20呎,6044
096年01月,日本,基隆港,實櫃,40呎,5648
096年01月,韓國,基隆港,實櫃,20呎,1698
096年01月,韓國,基隆港,實櫃,40呎,2122
096年01月,斯里蘭卡,基隆港,實櫃,20呎,10
096年01月,斯里蘭卡,基隆港,實櫃,40呎,8
096年01月,墨西哥,基隆港,實櫃,20呎,50
096年01月,墨西哥,基隆港,實櫃,40呎,9
096年01月,馬來西亞,基隆港,實櫃,20呎,869
096年01月,馬來西亞,基隆港,實櫃,40呎,534
096年01月,荷蘭,基隆港,實櫃,20呎,9
096年01月,荷蘭,基隆港,實櫃,40呎,3
096年01月,紐西蘭,基隆港,實櫃,20呎,260
096年01月,紐西蘭,基隆港,實櫃,40呎,93
096年01月,巴拿馬,基隆港,實櫃,40呎,12
096年01月,秘魯,基隆港,實櫃,20呎,56
096年01月,秘魯,基隆港,實櫃,40呎,113
096年01月,菲律賓,基隆港,實櫃,20呎,234
096年01月,菲律賓,基隆港,實櫃,40呎,159
096年01月,巴基斯坦,基隆港,實櫃,20呎,23
096年01月,巴基斯坦,基隆港,實櫃,40呎,29
096年01月,波多黎各,基隆港,實櫃,20呎,2
096年01月,俄羅斯,基隆港,實櫃,40呎,14
096年01月,南美洲其他,基隆港,實櫃,20呎,6
096年01月,南美洲其他,基隆港,實櫃,40呎,17
096年01月,沙烏地阿拉伯,基隆港,實櫃,20呎,13
096年01月,沙烏地阿拉伯,基隆港,實櫃,40呎,26
096年01月,瑞典,基隆港,實櫃,40呎,1
096年01月,新加坡,基隆港,實櫃,20呎,1157
096年01月,新加坡,基隆港,實櫃,40呎,740
096年01月,泰國,基隆港,實櫃,20呎,1366
096年01月,泰國,基隆港,實櫃,40呎,635
096年01月,土耳其,基隆港,實櫃,20呎,16
096年01月,土耳其,基隆港,實櫃,40呎,14
096年01月,歐洲其他,基隆港,實櫃,20呎,30
096年01月,歐洲其他,基隆港,實櫃,40呎,21
096年01月,烏克蘭,基隆港,實櫃,20呎,2
096年01月,烏克蘭,基隆港,實櫃,40呎,7
096年01月,美國,基隆港,實櫃,20呎,490
096年01月,美國,基隆港,實櫃,40呎,1534
096年01月,美國,基隆港,實櫃,45呎,55
096年01月,委內瑞拉,基隆港,實櫃,20呎,12
096年01月,越南,基隆港,實櫃,20呎,1116
096年01月,越南,基隆港,實櫃,40呎,477
096年01月,南非,基隆港,實櫃,20呎,263
096年01月,南非,基隆港,實櫃,40呎,24
096年01月,亞洲其他,基隆港,空櫃,20呎,12
096年01月,亞洲其他,基隆港,空櫃,40呎,50
096年01月,阿拉伯聯合大公國,基隆港,空櫃,40呎,19
096年01月,中美洲其他,基隆港,空櫃,20呎,620
096年01月,中美洲其他,基隆港,空櫃,40呎,232
096年01月,中美洲其他,基隆港,空櫃,45呎,20
096年01月,智利,基隆港,空櫃,20呎,402
096年01月,智利,基隆港,空櫃,40呎,130
096年01月,中國大陸,基隆港,空櫃,20呎,56
096年01月,中國大陸,基隆港,空櫃,40呎,72
096年01月,香港,基隆港,空櫃,20呎,543
096年01月,香港,基隆港,空櫃,40呎,73
096年01月,印尼,基隆港,空櫃,20呎,110
096年01月,日本,基隆港,空櫃,20呎,1012
096年01月,日本,基隆港,空櫃,40呎,982
096年01月,韓國,基隆港,空櫃,20呎,363
096年01月,韓國,基隆港,空櫃,40呎,172
096年01月,墨西哥,基隆港,空櫃,20呎,38
096年01月,墨西哥,基隆港,空櫃,40呎,2
096年01月,馬來西亞,基隆港,空櫃,20呎,1
096年01月,馬來西亞,基隆港,空櫃,40呎,3
096年01月,秘魯,基隆港,空櫃,40呎,50
096年01月,菲律賓,基隆港,空櫃,20呎,3
096年01月,菲律賓,基隆港,空櫃,40呎,92
096年01月,南美洲其他,基隆港,空櫃,20呎,20
096年01月,南美洲其他,基隆港,空櫃,40呎,56
096年01月,新加坡,基隆港,空櫃,20呎,80
096年01月,新加坡,基隆港,空櫃,40呎,53
096年01月,泰國,基隆港,空櫃,20呎,1
096年01月,泰國,基隆港,空櫃,40呎,15
096年01月,美國,基隆港,空櫃,20呎,984
096年01月,美國,基隆港,空櫃,40呎,1190
096年01月,美國,基隆港,空櫃,45呎,82
096年01月,越南,基隆港,空櫃,40呎,43
096年02月,亞洲其他,基隆港,實櫃,20呎,71
096年02月,亞洲其他,基隆港,實櫃,40呎,9
096年02月,阿拉伯聯合大公國,基隆港,實櫃,20呎,19
096年02月,阿拉伯聯合大公國,基隆港,實櫃,40呎,4
096年02月,阿根廷,基隆港,實櫃,20呎,10
096年02月,阿根廷,基隆港,實櫃,40呎,4
096年02月,澳洲,基隆港,實櫃,20呎,93
096年02月,澳洲,基隆港,實櫃,40呎,21
096年02月,孟加拉,基隆港,實櫃,40呎,3
096年02月,比利時,基隆港,實櫃,20呎,15
096年02月,比利時,基隆港,實櫃,40呎,7
096年02月,巴林,基隆港,實櫃,20呎,17
096年02月,巴西,基隆港,實櫃,20呎,105
096年02月,巴西,基隆港,實櫃,40呎,26
096年02月,中美洲其他,基隆港,實櫃,20呎,24
096年02月,中美洲其他,基隆港,實櫃,40呎,73
096年02月,加拿大,基隆港,實櫃,20呎,6
096年02月,加拿大,基隆港,實櫃,40呎,72
096年02月,象牙海岸,基隆港,實櫃,20呎,1
096年02月,智利,基隆港,實櫃,20呎,169
096年02月,智利,基隆港,實櫃,40呎,425
096年02月,中國大陸,基隆港,實櫃,20呎,3299
096年02月,中國大陸,基隆港,實櫃,40呎,2483
096年02月,德國,基隆港,實櫃,20呎,4
096年02月,德國,基隆港,實櫃,40呎,6
096年02月,埃及,基隆港,實櫃,20呎,24
096年02月,西班牙,基隆港,實櫃,20呎,2
096年02月,非洲其他,基隆港,實櫃,40呎,4
096年02月,法國,基隆港,實櫃,20呎,12
096年02月,法國,基隆港,實櫃,40呎,9
096年02月,英國,基隆港,實櫃,20呎,3
096年02月,香港,基隆港,實櫃,20呎,2722
096年02月,香港,基隆港,實櫃,40呎,3713
096年02月,印尼,基隆港,實櫃,20呎,160
096年02月,印尼,基隆港,實櫃,40呎,176
096年02月,印度,基隆港,實櫃,20呎,96
096年02月,印度,基隆港,實櫃,40呎,43
096年02月,伊朗,基隆港,實櫃,20呎,2
096年02月,伊朗,基隆港,實櫃,40呎,3
096年02月,義大利,基隆港,實櫃,20呎,5
096年02月,義大利,基隆港,實櫃,40呎,20
096年02月,約旦,基隆港,實櫃,20呎,9
096年02月,日本,基隆港,實櫃,20呎,4708
096年02月,日本,基隆港,實櫃,40呎,3998
096年02月,韓國,基隆港,實櫃,20呎,1215
096年02月,韓國,基隆港,實櫃,40呎,1631
096年02月,科威特,基隆港,實櫃,40呎,1
096年02月,斯里蘭卡,基隆港,實櫃,20呎,3
096年02月,斯里蘭卡,基隆港,實櫃,40呎,16
096年02月,墨西哥,基隆港,實櫃,20呎,38
096年02月,墨西哥,基隆港,實櫃,40呎,2
096年02月,馬來西亞,基隆港,實櫃,20呎,686
096年02月,馬來西亞,基隆港,實櫃,40呎,347
096年02月,荷蘭,基隆港,實櫃,20呎,4
096年02月,荷蘭,基隆港,實櫃,40呎,6
096年02月,紐西蘭,基隆港,實櫃,20呎,136
096年02月,紐西蘭,基隆港,實櫃,40呎,33
096年02月,阿曼,基隆港,實櫃,20呎,2
096年02月,秘魯,基隆港,實櫃,20呎,52
096年02月,秘魯,基隆港,實櫃,40呎,210
096年02月,菲律賓,基隆港,實櫃,20呎,191
096年02月,菲律賓,基隆港,實櫃,40呎,106
096年02月,巴基斯坦,基隆港,實櫃,20呎,4
096年02月,巴基斯坦,基隆港,實櫃,40呎,6
096年02月,波多黎各,基隆港,實櫃,40呎,9
096年02月,南美洲其他,基隆港,實櫃,20呎,16
096年02月,南美洲其他,基隆港,實櫃,40呎,45
096年02月,沙烏地阿拉伯,基隆港,實櫃,20呎,10
096年02月,沙烏地阿拉伯,基隆港,實櫃,40呎,15
096年02月,瑞典,基隆港,實櫃,20呎,1
096年02月,新加坡,基隆港,實櫃,20呎,873
096年02月,新加坡,基隆港,實櫃,40呎,491
096年02月,泰國,基隆港,實櫃,20呎,856
096年02月,泰國,基隆港,實櫃,40呎,529
096年02月,土耳其,基隆港,實櫃,20呎,33
096年02月,土耳其,基隆港,實櫃,40呎,4
096年02月,歐洲其他,基隆港,實櫃,20呎,9
096年02月,歐洲其他,基隆港,實櫃,40呎,15
096年02月,烏克蘭,基隆港,實櫃,20呎,1
096年02月,烏克蘭,基隆港,實櫃,40呎,1
096年02月,美國,基隆港,實櫃,20呎,344
096年02月,美國,基隆港,實櫃,40呎,1245
096年02月,美國,基隆港,實櫃,45呎,14
096年02月,委內瑞拉,基隆港,實櫃,20呎,2
096年02月,越南,基隆港,實櫃,20呎,601
096年02月,越南,基隆港,實櫃,40呎,291
096年02月,南非,基隆港,實櫃,20呎,106
096年02月,南非,基隆港,實櫃,40呎,4
096年02月,亞洲其他,基隆港,空櫃,40呎,17
096年02月,阿拉伯聯合大公國,基隆港,空櫃,45呎,15
096年02月,澳洲,基隆港,空櫃,20呎,186
096年02月,澳洲,基隆港,空櫃,40呎,8
096年02月,中美洲其他,基隆港,空櫃,20呎,452
096年02月,中美洲其他,基隆港,空櫃,40呎,246
096年02月,中美洲其他,基隆港,空櫃,45呎,19
096年02月,智利,基隆港,空櫃,20呎,352
096年02月,智利,基隆港,空櫃,40呎,119
096年02月,中國大陸,基隆港,空櫃,20呎,62
096年02月,中國大陸,基隆港,空櫃,40呎,208
096年02月,香港,基隆港,空櫃,20呎,290
096年02月,香港,基隆港,空櫃,40呎,5
096年02月,印尼,基隆港,空櫃,20呎,46
096年02月,日本,基隆港,空櫃,20呎,755
096年02月,日本,基隆港,空櫃,40呎,637
096年02月,韓國,基隆港,空櫃,20呎,99
096年02月,韓國,基隆港,空櫃,40呎,42
096年02月,墨西哥,基隆港,空櫃,20呎,40
096年02月,墨西哥,基隆港,空櫃,40呎,50
096年02月,秘魯,基隆港,空櫃,20呎,247
096年02月,秘魯,基隆港,空櫃,40呎,110
096年02月,菲律賓,基隆港,空櫃,20呎,92
096年02月,菲律賓,基隆港,空櫃,40呎,67
096年02月,南美洲其他,基隆港,空櫃,20呎,247
096年02月,南美洲其他,基隆港,空櫃,40呎,110
096年02月,新加坡,基隆港,空櫃,20呎,30
096年02月,新加坡,基隆港,空櫃,40呎,321
096年02月,泰國,基隆港,空櫃,40呎,9
096年02月,美國,基隆港,空櫃,20呎,530
096年02月,美國,基隆港,空櫃,40呎,969
096年02月,美國,基隆港,空櫃,45呎,69
096年02月,越南,基隆港,空櫃,40呎,9
096年03月,亞洲其他,基隆港,實櫃,20呎,155
096年03月,亞洲其他,基隆港,實櫃,40呎,11
096年03月,阿拉伯聯合大公國,基隆港,實櫃,20呎,14
096年03月,阿拉伯聯合大公國,基隆港,實櫃,40呎,5
096年03月,阿根廷,基隆港,實櫃,20呎,6
096年03月,阿根廷,基隆港,實櫃,40呎,5
096年03月,澳洲,基隆港,實櫃,20呎,186
096年03月,澳洲,基隆港,實櫃,40呎,30
096年03月,比利時,基隆港,實櫃,20呎,17
096年03月,比利時,基隆港,實櫃,40呎,21
096年03月,巴西,基隆港,實櫃,20呎,180
096年03月,巴西,基隆港,實櫃,40呎,58
096年03月,中美洲其他,基隆港,實櫃,20呎,31
096年03月,中美洲其他,基隆港,實櫃,40呎,154
096年03月,加拿大,基隆港,實櫃,20呎,78
096年03月,加拿大,基隆港,實櫃,40呎,75
096年03月,瑞士,基隆港,實櫃,20呎,7
096年03月,智利,基隆港,實櫃,20呎,287
096年03月,智利,基隆港,實櫃,40呎,534
096年03月,中國大陸,基隆港,實櫃,20呎,3969
096年03月,中國大陸,基隆港,實櫃,40呎,2867
096年03月,德國,基隆港,實櫃,20呎,24
096年03月,德國,基隆港,實櫃,40呎,19
096年03月,埃及,基隆港,實櫃,20呎,9
096年03月,埃及,基隆港,實櫃,40呎,6
096年03月,西班牙,基隆港,實櫃,20呎,2
096年03月,西班牙,基隆港,實櫃,40呎,3
096年03月,非洲其他,基隆港,實櫃,20呎,7
096年03月,非洲其他,基隆港,實櫃,40呎,33
096年03月,法國,基隆港,實櫃,20呎,5
096年03月,法國,基隆港,實櫃,40呎,24
096年03月,英國,基隆港,實櫃,20呎,1
096年03月,英國,基隆港,實櫃,40呎,1
096年03月,香港,基隆港,實櫃,20呎,3521
096年03月,香港,基隆港,實櫃,40呎,3644
096年03月,印尼,基隆港,實櫃,20呎,295
096年03月,印尼,基隆港,實櫃,40呎,224
096年03月,印度,基隆港,實櫃,20呎,161
096年03月,印度,基隆港,實櫃,40呎,52
096年03月,伊朗,基隆港,實櫃,20呎,24
096年03月,伊朗,基隆港,實櫃,40呎,3
096年03月,義大利,基隆港,實櫃,20呎,6
096年03月,義大利,基隆港,實櫃,40呎,8
096年03月,約旦,基隆港,實櫃,20呎,5
096年03月,日本,基隆港,實櫃,20呎,6440
096年03月,日本,基隆港,實櫃,40呎,6027
096年03月,韓國,基隆港,實櫃,20呎,1464
096年03月,韓國,基隆港,實櫃,40呎,1794
096年03月,斯里蘭卡,基隆港,實櫃,20呎,17
096年03月,斯里蘭卡,基隆港,實櫃,40呎,2
096年03月,墨西哥,基隆港,實櫃,20呎,7
096年03月,墨西哥,基隆港,實櫃,40呎,8
096年03月,馬來西亞,基隆港,實櫃,20呎,837
096年03月,馬來西亞,基隆港,實櫃,40呎,392
096年03月,荷蘭,基隆港,實櫃,20呎,11
096年03月,荷蘭,基隆港,實櫃,40呎,16
096年03月,紐西蘭,基隆港,實櫃,20呎,298
096年03月,紐西蘭,基隆港,實櫃,40呎,224
096年03月,巴拿馬,基隆港,實櫃,40呎,37
096年03月,秘魯,基隆港,實櫃,20呎,82
096年03月,秘魯,基隆港,實櫃,40呎,197
096年03月,菲律賓,基隆港,實櫃,20呎,163
096年03月,菲律賓,基隆港,實櫃,40呎,138
096年03月,巴基斯坦,基隆港,實櫃,20呎,14
096年03月,巴基斯坦,基隆港,實櫃,40呎,26
096年03月,波多黎各,基隆港,實櫃,20呎,1
096年03月,波多黎各,基隆港,實櫃,40呎,14
096年03月,卡達,基隆港,實櫃,40呎,2
096年03月,俄羅斯,基隆港,實櫃,20呎,1
096年03月,俄羅斯,基隆港,實櫃,40呎,15
096年03月,南美洲其他,基隆港,實櫃,20呎,21
096年03月,南美洲其他,基隆港,實櫃,40呎,74
096年03月,沙烏地阿拉伯,基隆港,實櫃,20呎,7
096年03月,沙烏地阿拉伯,基隆港,實櫃,40呎,24
096年03月,新加坡,基隆港,實櫃,20呎,910
096年03月,新加坡,基隆港,實櫃,40呎,689
096年03月,泰國,基隆港,實櫃,20呎,1337
096年03月,泰國,基隆港,實櫃,40呎,624
096年03月,土耳其,基隆港,實櫃,20呎,70
096年03月,土耳其,基隆港,實櫃,40呎,8
096年03月,歐洲其他,基隆港,實櫃,20呎,14
096年03月,歐洲其他,基隆港,實櫃,40呎,24
096年03月,烏克蘭,基隆港,實櫃,20呎,29
096年03月,烏克蘭,基隆港,實櫃,40呎,26
096年03月,美國,基隆港,實櫃,20呎,480
096年03月,美國,基隆港,實櫃,40呎,1943
096年03月,美國,基隆港,實櫃,45呎,19
096年03月,委內瑞拉,基隆港,實櫃,40呎,21
096年03月,越南,基隆港,實櫃,20呎,724
096年03月,越南,基隆港,實櫃,40呎,331
096年03月,南非,基隆港,實櫃,20呎,135
096年03月,南非,基隆港,實櫃,40呎,23
096年03月,亞洲其他,基隆港,空櫃,20呎,8
096年03月,亞洲其他,基隆港,空櫃,40呎,61
096年03月,亞洲其他,基隆港,空櫃,45呎,2
096年03月,澳洲,基隆港,空櫃,20呎,99
096年03月,澳洲,基隆港,空櫃,40呎,26
096年03月,中美洲其他,基隆港,空櫃,20呎,285
096年03月,中美洲其他,基隆港,空櫃,40呎,194
096年03月,中美洲其他,基隆港,空櫃,45呎,20
096年03月,智利,基隆港,空櫃,20呎,125
096年03月,智利,基隆港,空櫃,40呎,145
096年03月,中國大陸,基隆港,空櫃,20呎,400
096年03月,中國大陸,基隆港,空櫃,40呎,136
096年03月,香港,基隆港,空櫃,20呎,1004
096年03月,香港,基隆港,空櫃,40呎,315
096年03月,香港,基隆港,空櫃,45呎,2
096年03月,印尼,基隆港,空櫃,20呎,59
096年03月,日本,基隆港,空櫃,20呎,715
096年03月,日本,基隆港,空櫃,40呎,591
096年03月,韓國,基隆港,空櫃,20呎,84
096年03月,韓國,基隆港,空櫃,40呎,198
096年03月,墨西哥,基隆港,空櫃,20呎,147
096年03月,墨西哥,基隆港,空櫃,40呎,1
096年03月,紐西蘭,基隆港,空櫃,20呎,80
096年03月,秘魯,基隆港,空櫃,40呎,1
096年03月,菲律賓,基隆港,空櫃,20呎,45
096年03月,菲律賓,基隆港,空櫃,40呎,234
096年03月,南美洲其他,基隆港,空櫃,20呎,573
096年03月,南美洲其他,基隆港,空櫃,40呎,217
096年03月,新加坡,基隆港,空櫃,20呎,22
096年03月,新加坡,基隆港,空櫃,40呎,18
096年03月,泰國,基隆港,空櫃,40呎,11
096年03月,土耳其,基隆港,空櫃,20呎,3
096年03月,土耳其,基隆港,空櫃,40呎,4
096年03月,美國,基隆港,空櫃,20呎,327
096年03月,美國,基隆港,空櫃,40呎,822
096年03月,美國,基隆港,空櫃,45呎,167
096年03月,越南,基隆港,空櫃,20呎,1
096年03月,越南,基隆港,空櫃,40呎,45
096年04月,亞洲其他,基隆港,實櫃,20呎,75
096年04月,亞洲其他,基隆港,實櫃,40呎,13
096年04月,阿拉伯聯合大公國,基隆港,實櫃,20呎,11
096年04月,阿拉伯聯合大公國,基隆港,實櫃,40呎,4
096年04月,阿根廷,基隆港,實櫃,20呎,10
096年04月,阿根廷,基隆港,實櫃,40呎,24
096年04月,澳洲,基隆港,實櫃,20呎,254
096年04月,澳洲,基隆港,實櫃,40呎,32
096年04月,比利時,基隆港,實櫃,20呎,34
096年04月,比利時,基隆港,實櫃,40呎,30
096年04月,巴林,基隆港,實櫃,20呎,30
096年04月,巴西,基隆港,實櫃,20呎,254
096年04月,巴西,基隆港,實櫃,40呎,72
096年04月,中美洲其他,基隆港,實櫃,20呎,179
096年04月,中美洲其他,基隆港,實櫃,40呎,202
096年04月,加拿大,基隆港,實櫃,20呎,85
096年04月,加拿大,基隆港,實櫃,40呎,16
096年04月,瑞士,基隆港,實櫃,20呎,1
096年04月,象牙海岸,基隆港,實櫃,20呎,1
096年04月,智利,基隆港,實櫃,20呎,327
096年04月,智利,基隆港,實櫃,40呎,467
096年04月,中國大陸,基隆港,實櫃,20呎,4825
096年04月,中國大陸,基隆港,實櫃,40呎,3759
096年04月,德國,基隆港,實櫃,20呎,6
096年04月,德國,基隆港,實櫃,40呎,5
096年04月,埃及,基隆港,實櫃,20呎,21
096年04月,埃及,基隆港,實櫃,40呎,6
096年04月,西班牙,基隆港,實櫃,20呎,1
096年04月,西班牙,基隆港,實櫃,40呎,5
096年04月,非洲其他,基隆港,實櫃,20呎,3
096年04月,非洲其他,基隆港,實櫃,40呎,9
096年04月,芬蘭,基隆港,實櫃,40呎,1
096年04月,法國,基隆港,實櫃,20呎,6
096年04月,法國,基隆港,實櫃,40呎,20
096年04月,英國,基隆港,實櫃,20呎,1
096年04月,英國,基隆港,實櫃,40呎,1
096年04月,香港,基隆港,實櫃,20呎,4149
096年04月,香港,基隆港,實櫃,40呎,4965
096年04月,印尼,基隆港,實櫃,20呎,393
096年04月,印尼,基隆港,實櫃,40呎,309
096年04月,印度,基隆港,實櫃,20呎,140
096年04月,印度,基隆港,實櫃,40呎,101
096年04月,伊朗,基隆港,實櫃,20呎,18
096年04月,伊朗,基隆港,實櫃,40呎,4
096年04月,義大利,基隆港,實櫃,20呎,7
096年04月,義大利,基隆港,實櫃,40呎,12
096年04月,約旦,基隆港,實櫃,20呎,9
096年04月,日本,基隆港,實櫃,20呎,6497
096年04月,日本,基隆港,實櫃,40呎,5794
096年04月,韓國,基隆港,實櫃,20呎,1564
096年04月,韓國,基隆港,實櫃,40呎,1858
096年04月,斯里蘭卡,基隆港,實櫃,20呎,13
096年04月,斯里蘭卡,基隆港,實櫃,40呎,3
096年04月,墨西哥,基隆港,實櫃,20呎,23
096年04月,墨西哥,基隆港,實櫃,40呎,16
096年04月,馬來西亞,基隆港,實櫃,20呎,964
096年04月,馬來西亞,基隆港,實櫃,40呎,503
096年04月,荷蘭,基隆港,實櫃,20呎,18
096年04月,荷蘭,基隆港,實櫃,40呎,19
096年04月,紐西蘭,基隆港,實櫃,20呎,199
096年04月,紐西蘭,基隆港,實櫃,40呎,247
096年04月,大洋洲其他,基隆港,實櫃,20呎,1
096年04月,秘魯,基隆港,實櫃,20呎,49
096年04月,秘魯,基隆港,實櫃,40呎,247
096年04月,菲律賓,基隆港,實櫃,20呎,176
096年04月,菲律賓,基隆港,實櫃,40呎,153
096年04月,巴基斯坦,基隆港,實櫃,20呎,16
096年04月,巴基斯坦,基隆港,實櫃,40呎,10
096年04月,波多黎各,基隆港,實櫃,40呎,12
096年04月,俄羅斯,基隆港,實櫃,40呎,4
096年04月,南美洲其他,基隆港,實櫃,20呎,29
096年04月,南美洲其他,基隆港,實櫃,40呎,121
096年04月,沙烏地阿拉伯,基隆港,實櫃,20呎,11
096年04月,沙烏地阿拉伯,基隆港,實櫃,40呎,14
096年04月,新加坡,基隆港,實櫃,20呎,961
096年04月,新加坡,基隆港,實櫃,40呎,680
096年04月,泰國,基隆港,實櫃,20呎,1339
096年04月,泰國,基隆港,實櫃,40呎,625
096年04月,土耳其,基隆港,實櫃,20呎,27
096年04月,土耳其,基隆港,實櫃,40呎,6
096年04月,歐洲其他,基隆港,實櫃,20呎,18
096年04月,歐洲其他,基隆港,實櫃,40呎,18
096年04月,烏克蘭,基隆港,實櫃,20呎,8
096年04月,烏克蘭,基隆港,實櫃,40呎,7
096年04月,美國,基隆港,實櫃,20呎,392
096年04月,美國,基隆港,實櫃,40呎,1499
096年04月,美國,基隆港,實櫃,45呎,22
096年04月,委內瑞拉,基隆港,實櫃,40呎,1
096年04月,越南,基隆港,實櫃,20呎,725
096年04月,越南,基隆港,實櫃,40呎,461
096年04月,南非,基隆港,實櫃,20呎,179
096年04月,南非,基隆港,實櫃,40呎,25
096年04月,亞洲其他,基隆港,空櫃,20呎,44
096年04月,亞洲其他,基隆港,空櫃,40呎,57
096年04月,亞洲其他,基隆港,空櫃,45呎,5
096年04月,阿拉伯聯合大公國,基隆港,空櫃,20呎,30
096年04月,阿拉伯聯合大公國,基隆港,空櫃,40呎,14
096年04月,澳洲,基隆港,空櫃,40呎,1
096年04月,中美洲其他,基隆港,空櫃,20呎,477
096年04月,中美洲其他,基隆港,空櫃,40呎,811
096年04月,中美洲其他,基隆港,空櫃,45呎,20
096年04月,智利,基隆港,空櫃,20呎,237
096年04月,智利,基隆港,空櫃,40呎,242
096年04月,中國大陸,基隆港,空櫃,20呎,35
096年04月,中國大陸,基隆港,空櫃,40呎,267
096年04月,香港,基隆港,空櫃,20呎,185
096年04月,香港,基隆港,空櫃,40呎,208
096年04月,印尼,基隆港,空櫃,20呎,100
096年04月,印度,基隆港,空櫃,20呎,20
096年04月,日本,基隆港,空櫃,20呎,1186
096年04月,日本,基隆港,空櫃,40呎,498
096年04月,韓國,基隆港,空櫃,20呎,140
096年04月,韓國,基隆港,空櫃,40呎,95
096年04月,斯里蘭卡,基隆港,空櫃,20呎,15
096年04月,墨西哥,基隆港,空櫃,20呎,96
096年04月,墨西哥,基隆港,空櫃,40呎,147
096年04月,紐西蘭,基隆港,空櫃,20呎,141
096年04月,菲律賓,基隆港,空櫃,20呎,83
096年04月,菲律賓,基隆港,空櫃,40呎,257
096年04月,南美洲其他,基隆港,空櫃,20呎,20
096年04月,南美洲其他,基隆港,空櫃,40呎,30
096年04月,新加坡,基隆港,空櫃,20呎,480
096年04月,新加坡,基隆港,空櫃,40呎,374
096年04月,泰國,基隆港,空櫃,20呎,2
096年04月,泰國,基隆港,空櫃,40呎,35
096年04月,美國,基隆港,空櫃,20呎,524
096年04月,美國,基隆港,空櫃,40呎,937
096年04月,美國,基隆港,空櫃,45呎,114
096年04月,越南,基隆港,空櫃,20呎,42
096年04月,越南,基隆港,空櫃,40呎,48
096年05月,亞洲其他,基隆港,實櫃,20呎,119
096年05月,亞洲其他,基隆港,實櫃,40呎,27
096年05月,阿拉伯聯合大公國,基隆港,實櫃,20呎,21
096年05月,阿拉伯聯合大公國,基隆港,實櫃,40呎,8
096年05月,阿根廷,基隆港,實櫃,20呎,8
096年05月,阿根廷,基隆港,實櫃,40呎,9
096年05月,澳洲,基隆港,實櫃,20呎,195
096年05月,澳洲,基隆港,實櫃,40呎,46
096年05月,孟加拉,基隆港,實櫃,20呎,1
096年05月,比利時,基隆港,實櫃,20呎,35
096年05月,比利時,基隆港,實櫃,40呎,18
096年05月,巴林,基隆港,實櫃,20呎,5
096年05月,巴林,基隆港,實櫃,40呎,1
096年05月,巴西,基隆港,實櫃,20呎,107
096年05月,巴西,基隆港,實櫃,40呎,35
096年05月,中美洲其他,基隆港,實櫃,20呎,285
096年05月,中美洲其他,基隆港,實櫃,40呎,215
096年05月,加拿大,基隆港,實櫃,20呎,28
096年05月,加拿大,基隆港,實櫃,40呎,103
