時間,進港/出港,臺灣港口,貨物別,地區別,重量(公噸)
096年01月,進港,基隆港,動物產品,環島其他,120
096年01月,出港,基隆港,動物產品,環島其他,96
096年01月,出港,基隆港,礦產品,臺中港,24004
096年01月,進港,基隆港,礦產品,高雄港,120005
096年01月,出港,基隆港,礦產品,高雄港,13841
096年01月,進港,基隆港,礦產品,花蓮港,427667
096年01月,出港,基隆港,礦產品,花蓮港,14538
096年01月,出港,基隆港,礦產品,蘇澳港,9754
096年01月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,40
096年01月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,972
096年01月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,336
096年01月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4802
096年01月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1103
096年02月,出港,基隆港,礦產品,臺中港,19272
096年02月,進港,基隆港,礦產品,高雄港,227690
096年02月,進港,基隆港,礦產品,花蓮港,402526
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",高雄港,272
096年02月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,394
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,514
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,3303
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,755
096年03月,進港,基隆港,動物產品,環島其他,2832
096年03月,出港,基隆港,動物產品,環島其他,3036
096年03月,進港,基隆港,礦產品,高雄港,132435
096年03月,出港,基隆港,礦產品,高雄港,9686
096年03月,進港,基隆港,礦產品,花蓮港,386107
096年03月,出港,基隆港,礦產品,花蓮港,14471
096年03月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,356
096年03月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,565
096年03月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,50
096年03月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5534
096年03月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1477
096年04月,進港,基隆港,動物產品,環島其他,3444
096年04月,出港,基隆港,動物產品,環島其他,3456
096年04月,出港,基隆港,礦產品,臺中港,14789
096年04月,進港,基隆港,礦產品,高雄港,107819
096年04月,進港,基隆港,礦產品,花蓮港,494693
096年04月,出港,基隆港,礦產品,花蓮港,19270
096年04月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,439
096年04月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,953
096年04月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4565
096年04月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1213
096年05月,出港,基隆港,礦產品,臺中港,14618
096年05月,進港,基隆港,礦產品,高雄港,209542
096年05月,出港,基隆港,礦產品,高雄港,9817
096年05月,進港,基隆港,礦產品,花蓮港,557440
096年05月,出港,基隆港,礦產品,蘇澳港,9671
096年05月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,109
096年05月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,497
096年05月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,216
096年05月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5723
096年05月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,17
096年05月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,919
096年06月,進港,基隆港,動物產品,環島其他,264
096年06月,出港,基隆港,動物產品,環島其他,336
096年06月,出港,基隆港,礦產品,臺中港,14469
096年06月,進港,基隆港,礦產品,高雄港,143441
096年06月,進港,基隆港,礦產品,花蓮港,407736
096年06月,出港,基隆港,礦產品,蘇澳港,17292
096年06月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,283
096年06月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6864
096年06月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1353
096年07月,進港,基隆港,動物產品,環島其他,348
096年07月,出港,基隆港,動物產品,環島其他,300
096年07月,出港,基隆港,礦產品,臺中港,14538
096年07月,進港,基隆港,礦產品,高雄港,168969
096年07月,進港,基隆港,礦產品,花蓮港,474343
096年07月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,750
096年07月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,253
096年07月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4628
096年07月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,949
096年08月,進港,基隆港,動物產品,環島其他,960
096年08月,出港,基隆港,動物產品,環島其他,1164
096年08月,出港,基隆港,礦產品,臺中港,45019
096年08月,進港,基隆港,礦產品,高雄港,168834
096年08月,進港,基隆港,礦產品,花蓮港,407203
096年08月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,187
096年08月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,200
096年08月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,334
096年08月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5727
096年08月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1554
096年09月,進港,基隆港,動物產品,環島其他,1872
096年09月,出港,基隆港,動物產品,環島其他,1668
096年09月,出港,基隆港,礦產品,臺中港,9653
096年09月,進港,基隆港,礦產品,高雄港,157207
096年09月,出港,基隆港,礦產品,高雄港,12546
096年09月,進港,基隆港,礦產品,花蓮港,429556
096年09月,出港,基隆港,礦產品,花蓮港,17524
096年09月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,286
096年09月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,576
096年09月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,60
096年09月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5115
096年09月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,97
096年09月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1562
096年10月,進港,基隆港,動物產品,環島其他,12
096年10月,出港,基隆港,動物產品,環島其他,336
096年10月,出港,基隆港,礦產品,臺中港,24929
096年10月,進港,基隆港,礦產品,高雄港,170972
096年10月,出港,基隆港,礦產品,高雄港,9769
096年10月,進港,基隆港,礦產品,花蓮港,483783
096年10月,出港,基隆港,礦產品,花蓮港,17032
096年10月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,641
096年10月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7177
096年10月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1761
096年11月,進港,基隆港,動物產品,環島其他,84
096年11月,出港,基隆港,動物產品,環島其他,48
096年11月,出港,基隆港,礦產品,臺中港,9750
096年11月,進港,基隆港,礦產品,高雄港,177389
096年11月,出港,基隆港,礦產品,高雄港,19210
096年11月,進港,基隆港,礦產品,花蓮港,453549
096年11月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,172
096年11月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6720
096年11月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1175
096年12月,進港,基隆港,礦產品,高雄港,180890
096年12月,出港,基隆港,礦產品,高雄港,31130
096年12月,進港,基隆港,礦產品,花蓮港,564689
096年12月,進港,基隆港,"家具玩具運動用品,雜項製品",花蓮港,312
096年12月,出港,基隆港,"家具玩具運動用品,雜項製品",花蓮港,288
096年12月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,709
096年12月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7258
096年12月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1196
096年12月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,192
096年12月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,228
097年01月,出港,基隆港,礦產品,臺中港,20271
097年01月,進港,基隆港,礦產品,高雄港,177040
097年01月,出港,基隆港,礦產品,高雄港,9338
097年01月,進港,基隆港,礦產品,花蓮港,503018
097年01月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,263
097年01月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1331
097年01月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,358
097年01月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6667
097年01月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1786
097年02月,出港,基隆港,礦產品,臺中港,19493
097年02月,進港,基隆港,礦產品,高雄港,254560
097年02月,進港,基隆港,礦產品,花蓮港,308726
097年02月,出港,基隆港,礦產品,花蓮港,16747
097年02月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,216
097年02月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,596
097年02月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,2622
097年02月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,199
097年02月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1261
097年03月,出港,基隆港,礦產品,臺中港,14673
097年03月,進港,基隆港,礦產品,高雄港,166580
097年03月,進港,基隆港,礦產品,花蓮港,515173
097年03月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,168
097年03月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,960
097年03月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,101
097年03月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7460
097年03月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1589
097年04月,進港,基隆港,動物產品,環島其他,720
097年04月,出港,基隆港,動物產品,環島其他,696
097年04月,出港,基隆港,礦產品,臺中港,14539
097年04月,進港,基隆港,礦產品,高雄港,148482
097年04月,進港,基隆港,礦產品,花蓮港,403983
097年04月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,205
097年04月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,949
097年04月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,54
097年04月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5471
097年04月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,47
097年04月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1830
097年05月,出港,基隆港,礦產品,臺中港,23063
097年05月,進港,基隆港,礦產品,高雄港,252841
097年05月,進港,基隆港,礦產品,花蓮港,435397
097年05月,出港,基隆港,礦產品,花蓮港,4885
097年05月,出港,基隆港,礦產品,蘇澳港,6750
097年05月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,166
097年05月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,774
097年05月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,305
097年05月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5954
097年05月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,2135
097年06月,進港,基隆港,動物產品,環島其他,84
097年06月,出港,基隆港,動物產品,環島其他,96
097年06月,出港,基隆港,礦產品,臺中港,18281
097年06月,進港,基隆港,礦產品,高雄港,183453
097年06月,進港,基隆港,礦產品,花蓮港,406871
097年06月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,135
097年06月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,822
097年06月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,156
097年06月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,2481
097年06月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,465
097年07月,進港,基隆港,動物產品,環島其他,132
097年07月,出港,基隆港,動物產品,環島其他,156
097年07月,出港,基隆港,礦產品,臺中港,13039
097年07月,進港,基隆港,礦產品,高雄港,148656
097年07月,進港,基隆港,礦產品,花蓮港,436961
097年07月,出港,基隆港,礦產品,花蓮港,1930
097年07月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,85
097年07月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1764
097年07月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,606
097年07月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6475
097年07月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,76
097年07月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,2230
097年08月,進港,基隆港,礦產品,高雄港,121950
097年08月,進港,基隆港,礦產品,花蓮港,499880
097年08月,進港,基隆港,"家具玩具運動用品,雜項製品",高雄港,1140
097年08月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,130
097年08月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1095
097年08月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,174
097年08月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,9057
097年08月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,296
097年08月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,874
097年08月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,336
097年08月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,1560
097年09月,進港,基隆港,礦產品,高雄港,111610
097年09月,進港,基隆港,礦產品,花蓮港,378267
097年09月,進港,基隆港,"家具玩具運動用品,雜項製品",高雄港,108
097年09月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,103
097年09月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,728
097年09月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,248
097年09月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,8242
097年09月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,80
097年09月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,599
097年09月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,108
097年10月,進港,基隆港,礦產品,高雄港,103753
097年10月,進港,基隆港,礦產品,花蓮港,464948
097年10月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,60
097年10月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1398
097年10月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,76
097年10月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,8798
097年10月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,236
097年10月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,2789
097年11月,進港,基隆港,礦產品,高雄港,150957
097年11月,進港,基隆港,礦產品,花蓮港,409099
097年11月,進港,基隆港,"家具玩具運動用品,雜項製品",高雄港,72
097年11月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,30
097年11月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,608
097年11月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7947
097年11月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,71
097年11月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1055
097年11月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,96
097年12月,出港,基隆港,礦產品,臺中港,23632
097年12月,進港,基隆港,礦產品,高雄港,125071
097年12月,進港,基隆港,礦產品,花蓮港,412511
097年12月,進港,基隆港,"家具玩具運動用品,雜項製品",高雄港,192
097年12月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1303
097年12月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7553
097年12月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,248
097年12月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,2932
097年12月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,1008
097年12月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,1020
098年01月,出港,基隆港,礦產品,臺中港,19045
098年01月,進港,基隆港,礦產品,高雄港,76111
098年01月,進港,基隆港,礦產品,花蓮港,347936
098年01月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,366
098年01月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,137
098年01月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5155
098年01月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,263
098年01月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,653
098年02月,進港,基隆港,礦產品,高雄港,115190
098年02月,進港,基隆港,礦產品,花蓮港,252051
098年02月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1383
098年02月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,286
098年02月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,2952
098年02月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,103
098年02月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,910
098年03月,出港,基隆港,礦產品,臺中港,20604
098年03月,進港,基隆港,礦產品,高雄港,99741
098年03月,出港,基隆港,礦產品,高雄港,19594
098年03月,進港,基隆港,礦產品,花蓮港,385867
098年03月,出港,基隆港,礦產品,蘇澳港,10138
098年03月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,25
098年03月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,711
098年03月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,222
098年03月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7402
098年03月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,142
098年03月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1129
098年03月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,516
098年03月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,396
098年04月,出港,基隆港,礦產品,臺中港,18797
098年04月,進港,基隆港,礦產品,高雄港,59442
098年04月,進港,基隆港,礦產品,花蓮港,288171
098年04月,出港,基隆港,礦產品,花蓮港,10104
098年04月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,359
098年04月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,380
098年04月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6132
098年04月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,127
098年04月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,871
098年04月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,828
098年04月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,1320
098年05月,進港,基隆港,礦產品,高雄港,61159
098年05月,進港,基隆港,礦產品,花蓮港,373341
098年05月,出港,基隆港,礦產品,花蓮港,8342
098年05月,出港,基隆港,礦產品,蘇澳港,3997
098年05月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,25
098年05月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1811
098年05月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,152
098年05月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6637
098年05月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,30
098年05月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,373
098年05月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,336
098年05月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,60
098年06月,進港,基隆港,礦產品,高雄港,86661
098年06月,進港,基隆港,礦產品,花蓮港,341083
098年06月,出港,基隆港,礦產品,花蓮港,14023
098年06月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,60
098年06月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,713
098年06月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,71
098年06月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5794
098年06月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,111
098年06月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,466
098年07月,出港,基隆港,礦產品,臺中港,14078
098年07月,進港,基隆港,礦產品,高雄港,70103
098年07月,進港,基隆港,礦產品,花蓮港,352095
098年07月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,60
098年07月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,670
098年07月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,352
098年07月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,8382
098年07月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,51
098年07月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,856
098年07月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,144
098年07月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,84
098年08月,出港,基隆港,礦產品,臺中港,18714
098年08月,進港,基隆港,礦產品,高雄港,78703
098年08月,出港,基隆港,礦產品,高雄港,14139
098年08月,進港,基隆港,礦產品,花蓮港,314063
098年08月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,611
098年08月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,265
098年08月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,6108
098年08月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,87
098年08月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,571
098年08月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,288
098年08月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,144
098年09月,進港,基隆港,礦產品,高雄港,131194
098年09月,進港,基隆港,礦產品,花蓮港,335150
098年09月,出港,基隆港,礦產品,花蓮港,14061
098年09月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,718
098年09月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,91
098年09月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,8218
098年09月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,65
098年09月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,199
098年10月,出港,基隆港,礦產品,臺中港,9441
098年10月,進港,基隆港,礦產品,高雄港,114589
098年10月,進港,基隆港,礦產品,花蓮港,254440
098年10月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,42
098年10月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,465
098年10月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5868
098年10月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,58
098年10月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,815
098年11月,進港,基隆港,礦產品,高雄港,86677
098年11月,進港,基隆港,礦產品,花蓮港,258042
098年11月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,150
098年11月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,7441
098年11月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,12
098年12月,進港,基隆港,礦產品,高雄港,123784
098年12月,進港,基隆港,礦產品,花蓮港,351039
098年12月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,92
098年12月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1075
098年12月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,18
098年12月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4230
098年12月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,77
098年12月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,184
099年01月,進港,基隆港,礦產品,高雄港,135329
099年01月,進港,基隆港,礦產品,花蓮港,360420
099年01月,出港,基隆港,礦產品,馬祖港,617
099年01月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,30
099年01月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,656
099年01月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,112
099年01月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4102
099年01月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,43
099年01月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,88
099年02月,進港,基隆港,礦產品,高雄港,111581
099年02月,進港,基隆港,礦產品,花蓮港,224357
099年02月,出港,基隆港,礦產品,馬祖港,342
099年02月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,561
099年02月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,42
099年02月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,2896
099年02月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,66
099年02月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,173
099年03月,進港,基隆港,礦產品,高雄港,108892
099年03月,進港,基隆港,礦產品,花蓮港,350532
099年03月,出港,基隆港,礦產品,蘇澳港,9554
099年03月,出港,基隆港,礦產品,馬祖港,335
099年03月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,30
099年03月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,712
099年03月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,159
099年03月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,2474
099年03月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,45
099年03月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,412
099年03月,進港,基隆港,"家具玩具運動用品,雜項製品",環島其他,120
099年03月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,132
099年04月,出港,基隆港,礦產品,臺中港,13984
099年04月,進港,基隆港,礦產品,高雄港,99436
099年04月,進港,基隆港,礦產品,花蓮港,269543
099年04月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,35
099年04月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1392
099年04月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,117
099年04月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4381
099年04月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,129
099年04月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,362
099年04月,出港,基隆港,"家具玩具運動用品,雜項製品",環島其他,120
099年05月,出港,基隆港,礦產品,臺中港,17454
099年05月,進港,基隆港,礦產品,高雄港,117086
099年05月,進港,基隆港,礦產品,花蓮港,293095
099年05月,出港,基隆港,礦產品,花蓮港,14693
099年05月,出港,基隆港,礦產品,蘇澳港,17108
099年05月,出港,基隆港,礦產品,馬祖港,640
099年05月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,137
099年05月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,3140
099年05月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,110
099年05月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,450
099年06月,進港,基隆港,礦產品,高雄港,59380
099年06月,進港,基隆港,礦產品,花蓮港,237103
099年06月,出港,基隆港,礦產品,花蓮港,16703
099年06月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,120
099年06月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1787
099年06月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,162
099年06月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,3751
099年06月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,97
099年06月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,439
099年07月,進港,基隆港,礦產品,高雄港,32371
099年07月,進港,基隆港,礦產品,花蓮港,252963
099年07月,出港,基隆港,礦產品,花蓮港,20638
099年07月,出港,基隆港,礦產品,馬祖港,594
099年07月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,83
099年07月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,647
099年07月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,337
099年07月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4300
099年07月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,115
099年07月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,812
099年08月,進港,基隆港,礦產品,高雄港,119758
099年08月,進港,基隆港,礦產品,花蓮港,263579
099年08月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,40
099年08月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,1457
099年08月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,113
099年08月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,3227
099年08月,進港,基隆港,"家具玩具運動用品,雜項製品",東引港,67
099年08月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,730
