時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,艘次
2015/2/6 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,胡志明,高雄港,全貨櫃船,安地卡,1
2015/4/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賽普勒斯,1
2015/2/11 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/3/10 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/2/4 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/3/17 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/3/24 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/1/24 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,歸仁,高雄港,全貨櫃船,香港,1
2015/5/19 上午 12:00:00,近洋航線,進港,裝貨,A2Z0東南亞其他航線,越南,胡志明,高雄港,全貨櫃船,香港,1
2015/5/29 上午 12:00:00,近洋航線,進港,裝貨,A2Z0東南亞其他航線,越南,胡志明,高雄港,全貨櫃船,香港,1
2015/6/30 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,香港,1
2015/7/10 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,香港,1
2015/4/26 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/10 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/4/18 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/5/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/5/15 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/3 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/16 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/5/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/10 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,歸仁,高雄港,全貨櫃船,印度尼西亞,1
2015/9/25 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/8/10 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/10/16 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/8/1 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/24 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/3/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/9 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/18 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/22 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/10/14 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/8/11 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/2 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/2 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/12 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/15 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/23 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/14 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/18 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/2 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/22 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/3 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/24 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/3 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/18 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/11 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/6/27 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/29 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/7 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/25 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/5 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/1/17 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/1/26 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/2/7 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/2/16 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/2/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/4/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/3/16 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/3/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/4/17 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/4/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/5/8 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,馬紹爾群島共和國,1
2020/6/10 上午 12:00:00,,進港,裝貨,F004環球航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,葡萄牙,1
2020/4/30 上午 12:00:00,,進港,裝貨,F004環球航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,1
2015/9/26 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,中國大陸,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,中國大陸,1
2015/3/13 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,中國大陸,1
2015/4/30 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,中國大陸,1
2015/6/20 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,中國大陸,1
2015/7/31 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,中國大陸,1
2015/1/22 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,英國,1
2015/2/26 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,英國,1
2015/4/3 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,英國,1
2015/5/12 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,英國,1
2015/6/6 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/18 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/27 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/5/23 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/8/15 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),澳大利亞,布里斯本,高雄港,全貨櫃船,馬紹爾群島共和國,1
2015/1/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,高雄港,全貨櫃船,中國大陸,1
2015/3/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,高雄港,全貨櫃船,中國大陸,1
2015/3/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,高雄港,全貨櫃船,中國大陸,1
2015/4/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,高雄港,全貨櫃船,中國大陸,1
2015/5/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,高雄港,全貨櫃船,中國大陸,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,高雄港,全貨櫃船,中國大陸,1
2015/1/26 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賽普勒斯,1
2015/2/18 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賽普勒斯,1
2015/3/17 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賽普勒斯,1
2015/4/8 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賽普勒斯,1
2015/1/5 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,德意志（德國）,1
2015/2/20 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,德意志（德國）,1
2015/4/16 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,德意志（德國）,1
2015/6/4 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,德意志（德國）,1
2015/7/24 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,德意志（德國）,1
2015/1/1 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/2/12 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/2/26 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/3/19 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/5/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/5/14 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/6/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/7/16 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,德意志（德國）,1
2015/2/10 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,英國,1
2015/5/26 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,英國,1
2015/7/6 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,英國,1
2015/1/20 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/3/9 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/4/27 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/6/16 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/8/4 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/7/16 上午 12:00:00,近洋航線,進港,裝貨,A804西、中亞航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/8/5 上午 12:00:00,近洋航線,進港,裝貨,A814印度洋航線(含大陸),中國大陸,蛇口,高雄港,全貨櫃船,大韓民國（南韓）,1
2015/9/4 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/6 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/7 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/26 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/29 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/11 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/2 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/3/18 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/18 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/9 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/27 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/2 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/25 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/16 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/23 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/30 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/6/7 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/6/17 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/6/22 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/6/27 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/5 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,浙江寧波,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,越南,洪愛,臺中港,散裝船,吉里巴斯,1
2015/6/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,越南,海防,臺中港,雜貨船,中國大陸,1
2015/3/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,越南,峴港,臺中港,雜貨船,柬埔寨,1
2015/7/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,越南,肯伐,臺中港,雜貨船,巴拿馬,1
2015/3/9 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,峴港,臺中港,雜貨船,越南,1
2015/5/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,越南,海防,臺中港,多用途船,中國大陸,1
2015/4/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/4/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/4/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/4/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/5/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/7/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/7/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/7/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/29 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/7/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/15 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
2015/6/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,臺北港,客貨船,中國大陸,1
