時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,船舶運能,艘次
2020/10/11 上午 12:00:00,遠洋航線,進港,裝貨,C410南非航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,義大利,3000TEU以下,1
2021/7/16 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2021/5/12 上午 12:00:00,遠洋航線,進港,裝貨,A904東地中海航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,香港,10000~14000TEU,1
2021/7/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,寧波,高雄港,全貨櫃船,中國大陸,3000TEU以下,1
2021/7/12 上午 12:00:00,遠洋航線,進港,裝貨,A912亞洲/地中海航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,新加坡,10000~14000TEU,1
2021/6/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,寧波,高雄港,全貨櫃船,中國大陸,3000TEU以下,1
2021/6/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,寧波,高雄港,全貨櫃船,中國大陸,3000TEU以下,1
2021/5/26 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2021/4/9 上午 12:00:00,近洋航線,進港,裝貨,A814印度洋航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,大韓民國（南韓）,3000~6000TEU,1
2015/8/14 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2015/9/22 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2015/8/18 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/7/28 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/9/8 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/8/4 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2015/6/23 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2015/7/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2016/10/25 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,丹麥,3000~6000TEU,1
2015/12/9 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,丹麥,14000TEU以上,1
2016/4/21 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),大韓民國（南韓）,Kwangyang,高雄港,全貨櫃船,荷蘭,3000~6000TEU,1
2021/2/26 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),香港,香港,高雄港,全貨櫃船,巴哈馬,6000~10000TEU,1
2021/3/19 上午 12:00:00,遠洋航線,進港,裝貨,A904東地中海航線(含大陸),香港,香港,高雄港,全貨櫃船,巴哈馬,6000~10000TEU,1
2021/5/7 上午 12:00:00,遠洋航線,進港,裝貨,C410南非航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,3000~6000TEU,1
2021/5/9 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,14000TEU以上,1
2021/5/10 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,3000TEU以下,1
2021/5/6 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,3000TEU以下,1
2021/5/6 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),香港,香港,高雄港,全貨櫃船,香港,10000~14000TEU,1
2021/6/25 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),香港,香港,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2021/7/12 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,10000~14000TEU,1
2021/7/24 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2021/6/12 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),香港,香港,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2021/3/21 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2021/5/26 上午 12:00:00,,進港,裝貨,F004環球航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2021/6/29 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2019/6/17 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,3000~6000TEU,1
2019/6/10 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,3000TEU以下,1
