時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,船舶運能,艘次
2015/4/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/5/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/1/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/5/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,大豐,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/7/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/10/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/9/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/6/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,散裝船,中國大陸,6000~10000TEU,1
2015/5/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/5/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/7/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/4/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/4/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/8/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2018/3/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,江陰,花蓮港,散裝船,巴拿馬,3000TEU以下,1
2015/6/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/8/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,散裝船,香港,6000~10000TEU,1
2015/2/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/8/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/7 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/3/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/1/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/10/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2017/10/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,太倉,花蓮港,散裝船,巴拿馬,3000TEU以下,1
2015/11/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/10/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/11/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/8/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/11/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/11/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/9/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴哈馬,6000~10000TEU,1
2016/9/29 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴哈馬,3000TEU以下,1
2019/11/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,巴哈馬,3000TEU以下,1
2015/10/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,水泥專用船,中華民國,6000~10000TEU,1
2020/12/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,中國大陸,3000TEU以下,1
2015/9/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2021/2/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,散裝船,新加坡,3000TEU以下,1
2021/4/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,散裝船,新加坡,3000TEU以下,1
2021/1/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,賴比瑞亞,3000TEU以下,1
2015/11/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,散裝船,馬爾他,6000~10000TEU,1
2015/3/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,水泥專用船,中華民國,6000~10000TEU,1
2019/4/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,馬紹爾群島共和國,3000TEU以下,1
2017/9/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,花蓮港,散裝船,巴哈馬,3000TEU以下,1
2015/8/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2020/9/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,雜貨船,香港,3000TEU以下,1
2018/10/16 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),智利,Coronel,基隆港,全貨櫃船,賴比瑞亞,3000~6000TEU,1
2016/2/21 上午 12:00:00,遠洋航線,進港,裝貨,D624南美西岸航線(含大陸),智利,伊基克,基隆港,全貨櫃船,葡萄牙,3000~6000TEU,1
2015/8/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/5/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,深圳大鏟灣,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/6/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/8/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/4 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,散裝船,香港,6000~10000TEU,1
2015/1/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/3/22 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,散裝船,香港,6000~10000TEU,1
2017/10/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,3000TEU以下,1
2015/4/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,菲律賓,6000~10000TEU,1
2015/6/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2017/1/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,新加坡,3000TEU以下,1
2015/7/19 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/6/29 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2019/4/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,巴拿馬,3000TEU以下,1
2019/5/31 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,散裝船,巴拿馬,3000TEU以下,1
2019/9/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,馬紹爾群島共和國,3000TEU以下,1
2017/11/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,3000TEU以下,1
2015/3/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/3/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/7/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,水泥專用船,中華民國,6000~10000TEU,1
2019/1/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,花蓮港,散裝船,賽普勒斯,3000TEU以下,1
2018/2/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,花蓮港,散裝船,新加坡,3000TEU以下,1
2018/9/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,花蓮港,散裝船,新加坡,3000TEU以下,1
2015/11/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/2/22 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/1/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/1/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/3/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴哈馬,6000~10000TEU,1
2015/6/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴哈馬,6000~10000TEU,1
2018/4/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,巴拿馬,3000TEU以下,1
2015/7/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/6/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/8/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/7/31 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/2/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,新加坡,6000~10000TEU,1
2015/4/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2020/4/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,散裝船,挪威,3000TEU以下,1
2015/9/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,新加坡,6000~10000TEU,1
2015/5/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/9/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,基隆港,雜貨船,帛琉,6000~10000TEU,1
2015/12/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,基隆港,雜貨船,帛琉,6000~10000TEU,1
2015/12/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,基隆港,多用途船,中國大陸,6000~10000TEU,1
2017/12/5 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,蛇口,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/10/18 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,蛇口,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/12/19 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,蛇口,基隆港,全貨櫃船,香港,3000TEU以下,1
2015/5/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/4/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/2/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/1/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/3/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/2/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/3/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/2/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/4/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/3/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/2/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/6/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,多用途船,香港,6000~10000TEU,1
2021/6/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,散裝船,馬爾他,3000TEU以下,1
2015/12/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/11/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/11/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/10/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,香港,6000~10000TEU,1
2015/10/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,香港,6000~10000TEU,1
2015/11/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,新加坡,6000~10000TEU,1
2015/10/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/9/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/11/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/11/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/11/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,中國大陸,6000~10000TEU,1
2015/1/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/2/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/1/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/2/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/1/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/2/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/1/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/4/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/3/31 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/1/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/6/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/5/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/8/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/7/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/6/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/5/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/7/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,連雲港,基隆港,全貨櫃船,中華民國,6000~10000TEU,1
2015/11/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,洋浦,安平港,化學液體船,中國大陸,6000~10000TEU,1
2019/8/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,太倉,安平港,散裝船,巴拿馬,3000TEU以下,1
2015/8/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,安平港,化學液體船,中國大陸,6000~10000TEU,1
2015/2/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,太倉,安平港,化學液體船,中華民國,6000~10000TEU,1
2015/6/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,安平港,LNG,馬爾他,6000~10000TEU,1
2015/5/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,安平港,化學液體船,新加坡,6000~10000TEU,1
2015/2/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,安平港,油輪,挪威,6000~10000TEU,1
2015/1/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,安平港,化學液體船,中華民國,6000~10000TEU,1
2015/11/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,安平港,雜貨船,中華民國,6000~10000TEU,1
2015/1/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,張家港,安平港,化學液體船,中國大陸,6000~10000TEU,1
2015/3/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,菲律賓,巴科羅,安平港,油輪,大韓民國（南韓）,6000~10000TEU,1
2015/3/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,香港,香港,安平港,化學液體船,中國大陸,6000~10000TEU,1
2015/2/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,越南,胡志明,安平港,雜貨船,馬紹爾群島共和國,6000~10000TEU,1
2019/3/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,張家港,高雄港,散裝船,巴拿馬,3000TEU以下,1
2015/3/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/1/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,雜貨船,巴拿馬,6000~10000TEU,1
2015/3/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,花蓮港,散裝船,中國大陸,6000~10000TEU,1
