時間(年),船種,案件種類,發生次數
105,商船,兩船碰撞 (件),30
104,漁船,船沉(艘),4
104,商船,船沉(艘),20
104,漁船,船損(艘),24
104,商船,船損(艘),45
104,漁船,死亡(人),5
104,商船,死亡(人),35
104,漁船,失蹤(人),5
104,商船,失蹤(人),113
104,漁船,受傷(人),9
104,商船,受傷(人),17
104,漁船,其他 (件),10
104,商船,其他 (件),41
104,漁船,非常變故 (件),4
104,商船,非常變故 (件),3
104,漁船,機器故障 (件),12
104,商船,機器故障 (件),34
104,漁船,傾覆 (件),2
104,商船,傾覆 (件),3
104,漁船,洩漏 (件),0
104,商船,洩漏 (件),0
104,漁船,爆炸 (件),1
104,商船,爆炸 (件),0
104,漁船,失火 (件),3
104,商船,失火 (件),14
104,漁船,觸礁或擱淺 (件),0
104,商船,觸礁或擱淺 (件),6
104,漁船,與其他物碰撞 (件),6
104,商船,與其他物碰撞 (件),4
104,漁船,兩船碰撞 (件),13
104,商船,兩船碰撞 (件),14
103,漁船,船沉(艘),2
103,商船,船沉(艘),28
103,漁船,船損(艘),20
103,商船,船損(艘),43
103,漁船,死亡(人),2
103,商船,死亡(人),10
103,漁船,失蹤(人),1
103,商船,失蹤(人),47
103,漁船,受傷(人),3
103,商船,受傷(人),7
103,漁船,其他 (件),15
103,商船,其他 (件),29
103,漁船,非常變故 (件),2
103,商船,非常變故 (件),2
103,漁船,機器故障 (件),1
103,商船,機器故障 (件),28
103,漁船,傾覆 (件),0
103,商船,傾覆 (件),3
103,漁船,洩漏 (件),2
103,商船,洩漏 (件),1
103,漁船,爆炸 (件),0
103,商船,爆炸 (件),0
103,漁船,失火 (件),0
103,商船,失火 (件),23
103,漁船,觸礁或擱淺 (件),3
103,商船,觸礁或擱淺 (件),13
103,漁船,與其他物碰撞 (件),5
103,商船,與其他物碰撞 (件),1
103,漁船,兩船碰撞 (件),7
103,商船,兩船碰撞 (件),12
102,漁船,船沉(艘),3
102,商船,船沉(艘),25
102,漁船,船損(艘),15
102,商船,船損(艘),59
102,漁船,死亡(人),1
102,商船,死亡(人),16
102,漁船,失蹤(人),2
102,商船,失蹤(人),14
102,漁船,受傷(人),1
102,商船,受傷(人),5
102,漁船,其他 (件),7
102,商船,其他 (件),33
102,漁船,非常變故 (件),4
102,商船,非常變故 (件),7
102,漁船,機器故障 (件),2
102,商船,機器故障 (件),32
102,漁船,傾覆 (件),1
102,商船,傾覆 (件),7
102,漁船,洩漏 (件),1
102,商船,洩漏 (件),0
102,漁船,爆炸 (件),0
102,商船,爆炸 (件),0
102,漁船,失火 (件),0
102,商船,失火 (件),13
102,漁船,觸礁或擱淺 (件),6
102,商船,觸礁或擱淺 (件),9
102,漁船,與其他物碰撞 (件),2
102,商船,與其他物碰撞 (件),0
102,漁船,兩船碰撞 (件),8
102,商船,兩船碰撞 (件),22
101,漁船,船沉(艘),0
101,商船,船沉(艘),11
101,漁船,船損(艘),20
101,商船,船損(艘),44
101,漁船,死亡(人),1
101,商船,死亡(人),6
101,漁船,失蹤(人),3
101,商船,失蹤(人),16
101,漁船,受傷(人),4
101,商船,受傷(人),3
101,漁船,其他 (件),8
101,商船,其他 (件),27
101,漁船,非常變故 (件),4
101,商船,非常變故 (件),1
101,漁船,機器故障 (件),8
101,商船,機器故障 (件),29
101,漁船,傾覆 (件),1
