時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2018/6/27 上午 12:00:00,澳大利亞,雪梨,泰國,曼谷,高雄港,2,4
2018/6/27 上午 12:00:00,澳大利亞,雪梨,泰國,南查邦,高雄港,22,44
2018/6/27 上午 12:00:00,澳大利亞,雪梨,越南,卡萊港,高雄港,2,2
2018/6/25 上午 12:00:00,越南,胡志明,菲律賓,馬尼拉南港,高雄港,4,6
2018/6/26 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,6,10
2018/6/26 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,1,2
2018/6/26 上午 12:00:00,澳大利亞,布里斯本,泰國,南查邦,高雄港,2,4
2018/6/26 上午 12:00:00,澳大利亞,布里斯本,泰國,萊卡邦港,高雄港,1,2
2018/6/26 上午 12:00:00,澳大利亞,布里斯本,越南,Hai Phong,高雄港,10,10
2018/6/26 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,68,106
2018/6/26 上午 12:00:00,澳大利亞,墨爾本,泰國,萊卡邦港,高雄港,4,8
2018/6/26 上午 12:00:00,澳大利亞,墨爾本,越南,卡萊港,高雄港,6,10
2018/6/26 上午 12:00:00,澳大利亞,墨爾本,越南,Phuoc Long,高雄港,2,4
2018/6/26 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,2,4
2018/6/26 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明市,高雄港,2,4
2018/6/26 上午 12:00:00,澳大利亞,雪梨,紐西蘭,利特耳頓,高雄港,2,2
2018/6/26 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,6,6
2018/6/26 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,12,22
2018/6/26 上午 12:00:00,澳大利亞,雪梨,越南,胡志明,高雄港,4,6
2018/7/5 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,紐西蘭,奧克蘭,高雄港,1,2
2018/7/4 上午 12:00:00,新加坡,新加坡港,菲律賓,卡加延－德奧羅,高雄港,12,24
2018/7/4 上午 12:00:00,新加坡,新加坡港,越南,胡志明,高雄港,24,40
2018/7/4 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,36,36
2018/7/4 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,高雄港,4,6
2018/7/4 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,高雄港,8,14
2018/7/3 上午 12:00:00,泰國,南查邦,菲律賓,宿移,高雄港,64,64
2018/7/3 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,78,84
2018/7/3 上午 12:00:00,泰國,南查邦,泰國,南查邦,高雄港,1,2
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,雅加達,高雄港,2,2
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,泗水港,高雄港,6,6
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,印度,盧迪亞納,高雄港,2,2
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,3,6
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,10,18
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉南港,高雄港,2,4
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,10,10
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,泰國,萊卡邦港,高雄港,2,4
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,22,22
2018/7/4 上午 12:00:00,澳大利亞,布里斯本,越南,胡志明,高雄港,44,88
2018/7/4 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,42,84
2018/7/11 上午 12:00:00,澳大利亞,布里斯本,孟加拉,吉大港,高雄港,19,38
2018/7/11 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,10,10
2018/7/11 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,13,16
2018/7/7 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,泗水港,高雄港,36,72
2018/7/7 上午 12:00:00,澳大利亞,布里斯本,印度,Pipavav (Victor) Port,高雄港,48,96
2018/7/7 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,2,4
2018/7/7 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,4,8
2018/7/7 上午 12:00:00,澳大利亞,布里斯本,越南,Hai Phong,高雄港,15,15
2018/7/7 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,87,96
2018/7/7 上午 12:00:00,澳大利亞,墨爾本,印度,馬德拉斯,高雄港,9,15
2018/7/7 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,12,12
2018/7/7 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,12,12
2018/7/8 上午 12:00:00,澳大利亞,湯斯維爾,印度,那瓦夏瓦,高雄港,4,6
2018/7/8 上午 12:00:00,澳大利亞,湯斯維爾,泰國,曼谷,高雄港,8,8
2018/7/8 上午 12:00:00,澳大利亞,湯斯維爾,泰國,南查邦,高雄港,34,34
2018/7/8 上午 12:00:00,印度尼西亞,雅加達,汶萊,麻拉 (穆阿拉),高雄港,1,2
2018/7/8 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,亞庇(哥打京那巴魯),高雄港,4,4
2018/7/8 上午 12:00:00,印度尼西亞,雅加達,菲律賓,Batangas/Luzon,高雄港,1,1
2018/7/8 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,亞庇(哥打京那巴魯),高雄港,1,1
2018/7/8 上午 12:00:00,印度,那瓦夏瓦,越南,峴港,高雄港,48,52
2018/7/8 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,17,17
2018/7/8 上午 12:00:00,馬來西亞,平多羅,菲律賓,馬尼拉南港,高雄港,5,10
2018/7/8 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,Batangas/Luzon,高雄港,2,2
2018/7/8 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,2,4
2018/7/8 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,71,102
2018/7/8 上午 12:00:00,紐西蘭,陶蘭加,越南,海防,高雄港,12,12
2018/7/8 上午 12:00:00,紐西蘭,陶蘭加,越南,胡志明,高雄港,6,12
2018/7/8 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉,高雄港,5,10
2018/7/8 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉北港,高雄港,4,8
2018/7/8 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉南港,高雄港,1,2
2018/7/8 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,高雄港,1,1
2018/7/9 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,高雄港,2,4
2018/7/9 上午 12:00:00,越南,卡萊港,菲律賓,馬尼拉北港,高雄港,16,16
2018/7/25 上午 12:00:00,新加坡,新加坡港,菲律賓,卡加延－德奧羅,高雄港,18,36
2018/7/25 上午 12:00:00,新加坡,新加坡港,越南,胡志明,高雄港,2,4
2018/7/25 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,4,8
2018/7/25 上午 12:00:00,越南,胡志明,越南,胡志明,高雄港,4,8
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,雅加達,高雄港,2,3
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,泗水港,高雄港,4,8
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,印度,馬德拉斯,高雄港,2,2
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,3,3
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,3,3
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,1,2
2018/7/26 上午 12:00:00,澳大利亞,布里斯本,越南,胡志明,高雄港,6,6
2018/7/26 上午 12:00:00,澳大利亞,墨爾本,澳大利亞,墨爾本,高雄港,46,92
2018/7/26 上午 12:00:00,澳大利亞,墨爾本,印度尼西亞,泗水港,高雄港,96,96
2018/7/26 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,12,12
2018/7/26 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,184,234
2018/7/26 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,6,6
2018/7/26 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉北港,高雄港,8,8
2018/7/26 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,38,76
2018/7/21 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,4,8
2018/7/21 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,14,24
2018/7/22 上午 12:00:00,澳大利亞,達爾文,泰國,南查邦,高雄港,2,2
2018/7/22 上午 12:00:00,澳大利亞,格拉德斯通,印度,那瓦夏瓦,高雄港,10,10
2018/7/22 上午 12:00:00,澳大利亞,湯斯維爾,泰國,曼谷,高雄港,46,46
2018/7/22 上午 12:00:00,澳大利亞,湯斯維爾,泰國,南查邦,高雄港,144,144
2018/7/22 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,9,9
2018/7/22 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,85,109
2018/7/22 上午 12:00:00,紐西蘭,陶蘭加,越南,海防,高雄港,2,2
2018/7/22 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉,高雄港,58,116
2018/7/22 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉北港,高雄港,4,8
2018/7/22 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉南港,高雄港,2,4
2018/7/22 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,高雄港,3,6
2018/7/22 上午 12:00:00,泰國,南查邦,印度尼西亞,泗水港,高雄港,3,3
2018/7/22 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉北港,高雄港,417,637
2018/7/23 上午 12:00:00,印度,那瓦夏瓦,馬來西亞,亞庇(哥打京那巴魯),高雄港,2,4
2018/7/23 上午 12:00:00,新加坡,新加坡港,馬來西亞,美里,高雄港,1,2
2018/7/25 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,泗水港,高雄港,10,10
2018/7/25 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,44,74
2018/7/25 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉南港,高雄港,4,8
2018/7/25 上午 12:00:00,澳大利亞,布里斯本,泰國,南查邦,高雄港,8,16
2018/7/25 上午 12:00:00,澳大利亞,布里斯本,泰國,曼谷TPT港　,高雄港,2,4
2018/7/25 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,32,44
2018/7/25 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,8,12
2018/7/25 上午 12:00:00,澳大利亞,墨爾本,泰國,南查邦,高雄港,1,2
2018/7/25 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,28,48
2018/7/25 上午 12:00:00,澳大利亞,墨爾本,越南,Phuoc Long ICD,高雄港,40,40
2018/7/25 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,2,4
2018/7/25 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,6,6
2018/7/29 上午 12:00:00,紐西蘭,陶蘭加,印度,Hazira Port/Surat,高雄港,8,16
2018/7/29 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,28,28
2018/7/29 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,110,150
2018/7/29 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉,高雄港,18,34
2018/7/29 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉北港,高雄港,10,20
2018/7/29 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉南港,高雄港,42,72
2018/7/29 上午 12:00:00,越南,卡萊港,馬來西亞,詩巫,高雄港,8,8
2018/7/17 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,4,4
2018/7/17 上午 12:00:00,澳大利亞,布里斯本,越南,卡萊港,高雄港,44,88
2018/7/14 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,18,18
2018/7/15 上午 12:00:00,馬來西亞,巴生港,越南,峴港,高雄港,20,20
2018/7/15 上午 12:00:00,紐西蘭,陶蘭加,印度尼西亞,雅加達,高雄港,10,10
2018/7/15 上午 12:00:00,紐西蘭,陶蘭加,印度尼西亞,三寶隴港,高雄港,10,10
2018/7/15 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,6,12
2018/7/15 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,116,152
2018/7/15 上午 12:00:00,紐西蘭,陶蘭加,越南,胡志明,高雄港,8,16
2018/7/15 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉南港,高雄港,4,8
2018/7/13 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,2,4
2018/7/13 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉南港,高雄港,2,2
2018/7/13 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,146,266
2018/7/13 上午 12:00:00,澳大利亞,墨爾本,澳大利亞,墨爾本,高雄港,78,156
2018/7/13 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,3,4
2018/7/13 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,5,8
2018/7/13 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,92,176
2018/7/13 上午 12:00:00,澳大利亞,雪梨,印度尼西亞,泗水港,高雄港,8,16
2018/7/13 上午 12:00:00,新加坡,新加坡港,越南,胡志明,高雄港,4,6
2018/7/13 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,22,44
2018/7/13 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,高雄港,2,4
2018/7/13 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,高雄港,6,10
2018/7/14 上午 12:00:00,印度尼西亞,雅加達,汶萊,麻拉 (穆阿拉),高雄港,6,8
2018/7/14 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,亞庇(哥打京那巴魯),高雄港,2,3
2018/7/14 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,詩巫,高雄港,1,1
2018/7/14 上午 12:00:00,印度尼西亞,泗水港,汶萊,麻拉 (穆阿拉),高雄港,2,2
