時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2018/8/22 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,10,10
2018/8/22 上午 12:00:00,澳大利亞,布里斯本,泰國,曼谷,高雄港,10,10
2018/8/22 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,8,16
2018/8/22 上午 12:00:00,澳大利亞,達爾文,泰國,南查邦,高雄港,2,2
2018/8/22 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,28,30
2018/8/24 上午 12:00:00,澳大利亞,布里斯本,越南,卡萊港,高雄港,8,8
2018/8/24 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,15,15
2018/8/24 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,4,4
2018/8/24 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,1,2
2018/8/24 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,26,27
2018/8/24 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,1,1
