時間,國內港,地區別,貨物別,價值(新臺幣千元),重量(公噸)
101年07月,麥寮港,中國大陸,化學或有關工業產品,8574727,277965
101年07月,麥寮港,越南,化學或有關工業產品,33584,860
101年07月,麥寮港,泰國,化學或有關工業產品,34383,1050
101年07月,麥寮港,馬來西亞,化學或有關工業產品,95457,3393
101年07月,麥寮港,新加坡,化學或有關工業產品,47066,7000
101年07月,麥寮港,菲律賓,化學或有關工業產品,46669,1090
101年07月,麥寮港,印度,化學或有關工業產品,213592,6000
101年07月,麥寮港,美國,化學或有關工業產品,37582,6300
101年07月,麥寮港,澳洲,化學或有關工業產品,696008,113250
101年07月,麥寮港,香港,塑膠橡膠及其製品,2100,58
101年07月,麥寮港,中國大陸,塑膠橡膠及其製品,64639,1578
101年08月,麥寮港,香港,礦產品,2262813,80083
101年08月,麥寮港,中國大陸,礦產品,530098,63163
101年08月,麥寮港,越南,礦產品,1925966,70745
101年08月,麥寮港,馬來西亞,礦產品,318056,14515
101年08月,麥寮港,新加坡,礦產品,11300268,433713
101年08月,麥寮港,菲律賓,礦產品,8013224,294545
101年08月,麥寮港,印尼,礦產品,1001973,31779
101年08月,麥寮港,印度,礦產品,47990,1519
101年08月,麥寮港,沙烏地阿拉伯,礦產品,1842944,69531
101年08月,麥寮港,美國,礦產品,1231343,41516
101年08月,麥寮港,韓國,化學或有關工業產品,582571,12225
101年08月,麥寮港,香港,化學或有關工業產品,45188,1000
101年08月,麥寮港,中國大陸,化學或有關工業產品,8693735,273157
101年08月,麥寮港,越南,化學或有關工業產品,168258,5800
101年08月,麥寮港,泰國,化學或有關工業產品,12791,449
101年08月,麥寮港,馬來西亞,化學或有關工業產品,89725,3391
101年08月,麥寮港,新加坡,化學或有關工業產品,293394,16750
101年08月,麥寮港,菲律賓,化學或有關工業產品,62660,1600
101年08月,麥寮港,印度,化學或有關工業產品,362036,10463
101年08月,麥寮港,美國,化學或有關工業產品,353118,48510
101年08月,麥寮港,加拿大,化學或有關工業產品,33172,5250
101年08月,麥寮港,中國大陸,塑膠橡膠及其製品,70858,1783
101年09月,麥寮港,中國大陸,"機械用具電機設備,電視影像錄音機",372560,1137
101年09月,麥寮港,中國大陸,礦產品,885269,36240
101年09月,麥寮港,越南,礦產品,6740886,223908
101年09月,麥寮港,馬來西亞,礦產品,2250639,77196
101年09月,麥寮港,新加坡,礦產品,14903135,521588
101年09月,麥寮港,菲律賓,礦產品,7180194,246619
101年09月,麥寮港,印尼,礦產品,3608104,111737
101年09月,麥寮港,印度,礦產品,82655,2619
101年09月,麥寮港,阿拉伯聯合大公國,礦產品,56256,1904
101年09月,麥寮港,美國,礦產品,2471561,78379
101年09月,麥寮港,智利,礦產品,60108,2002
101年09月,麥寮港,大洋洲其他地區,礦產品,188528,6592
101年09月,麥寮港,日本,化學或有關工業產品,88020,1500
101年09月,麥寮港,韓國,化學或有關工業產品,215495,5800
101年09月,麥寮港,中國大陸,化學或有關工業產品,11395434,328947
101年09月,麥寮港,越南,化學或有關工業產品,247388,7708
101年09月,麥寮港,泰國,化學或有關工業產品,36169,1100
101年09月,麥寮港,馬來西亞,化學或有關工業產品,47032,1688
101年09月,麥寮港,新加坡,化學或有關工業產品,967535,30250
101年09月,麥寮港,印尼,化學或有關工業產品,342996,9486
101年09月,麥寮港,印度,化學或有關工業產品,131614,4858
101年09月,麥寮港,美國,化學或有關工業產品,344767,17750
101年09月,麥寮港,委內瑞拉,化學或有關工業產品,193765,5000
101年09月,麥寮港,澳洲,化學或有關工業產品,386957,63900
101年09月,麥寮港,義大利,化學或有關工業產品,53620,1999
101年09月,麥寮港,香港,塑膠橡膠及其製品,7609,167
101年09月,麥寮港,中國大陸,塑膠橡膠及其製品,3231,113
101年10月,麥寮港,中國大陸,紡織品及其製品,110310,3518
101年10月,麥寮港,美國,卑金屬及其製品,469074,1613
101年10月,麥寮港,韓國,礦產品,293774,8452
101年10月,麥寮港,香港,礦產品,4411743,148898
101年10月,麥寮港,中國大陸,礦產品,754078,85872
101年10月,麥寮港,越南,礦產品,1379127,50384
101年10月,麥寮港,新加坡,礦產品,12831325,484145
101年10月,麥寮港,菲律賓,礦產品,9046718,312765
101年10月,麥寮港,印尼,礦產品,1703922,57186
101年10月,麥寮港,印度,礦產品,132889,4194
101年10月,麥寮港,沙烏地阿拉伯,礦產品,1210429,42719
101年10月,麥寮港,阿拉伯聯合大公國,礦產品,162464,5442
101年10月,麥寮港,非洲其他地區,礦產品,1826286,65026
101年10月,麥寮港,美國,礦產品,149420,4913
101年10月,麥寮港,巴西,礦產品,580566,20131
101年10月,麥寮港,澳洲,礦產品,1143519,40150
101年10月,麥寮港,日本,化學或有關工業產品,83420,1500
101年10月,麥寮港,韓國,化學或有關工業產品,324757,11600
101年10月,麥寮港,中國大陸,化學或有關工業產品,12766908,359390
101年10月,麥寮港,越南,化學或有關工業產品,155062,5000
101年10月,麥寮港,泰國,化學或有關工業產品,110884,2000
101年10月,麥寮港,馬來西亞,化學或有關工業產品,76535,2809
101年10月,麥寮港,新加坡,化學或有關工業產品,578487,22750
101年10月,麥寮港,印尼,化學或有關工業產品,462133,14005
101年10月,麥寮港,印度,化學或有關工業產品,135287,8134
101年10月,麥寮港,巴基斯坦,化學或有關工業產品,164644,4500
101年10月,麥寮港,美國,化學或有關工業產品,226555,24600
101年10月,麥寮港,加拿大,化學或有關工業產品,46231,7350
101年10月,麥寮港,委內瑞拉,化學或有關工業產品,376732,10250
101年10月,麥寮港,澳洲,化學或有關工業產品,421777,66150
101年10月,麥寮港,義大利,化學或有關工業產品,55371,2034
101年10月,麥寮港,香港,塑膠橡膠及其製品,39015,746
101年10月,麥寮港,中國大陸,塑膠橡膠及其製品,48819,1288
101年11月,麥寮港,中國大陸,紡織品及其製品,779,3
101年11月,麥寮港,中國大陸,"機械用具電機設備,電視影像錄音機",28229,317
101年11月,麥寮港,韓國,礦產品,568229,17971
101年11月,麥寮港,香港,礦產品,2074946,74177
101年11月,麥寮港,中國大陸,礦產品,892556,49948
101年11月,麥寮港,越南,礦產品,1983468,83731
101年11月,麥寮港,新加坡,礦產品,13544397,502191
101年11月,麥寮港,菲律賓,礦產品,9956249,360595
101年11月,麥寮港,印尼,礦產品,3392446,114991
101年11月,麥寮港,印度,礦產品,99571,3327
101年11月,麥寮港,美國,礦產品,1252003,40900
101年11月,麥寮港,日本,化學或有關工業產品,291559,13082
101年11月,麥寮港,韓國,化學或有關工業產品,450691,12300
101年11月,麥寮港,中國大陸,化學或有關工業產品,12225264,333227
101年11月,麥寮港,越南,化學或有關工業產品,512115,16522
101年11月,麥寮港,泰國,化學或有關工業產品,32829,1199
101年11月,麥寮港,馬來西亞,化學或有關工業產品,194459,5998
101年11月,麥寮港,新加坡,化學或有關工業產品,996289,33200
101年11月,麥寮港,印尼,化學或有關工業產品,311861,8550
101年11月,麥寮港,印度,化學或有關工業產品,51503,1000
101年11月,麥寮港,美國,化學或有關工業產品,150317,15700
101年11月,麥寮港,加拿大,化學或有關工業產品,219349,36220
101年11月,麥寮港,澳洲,化學或有關工業產品,457443,76900
101年11月,麥寮港,香港,塑膠橡膠及其製品,181937,3742
101年11月,麥寮港,中國大陸,塑膠橡膠及其製品,283445,6971
101年11月,麥寮港,越南,塑膠橡膠及其製品,34336,726
101年12月,麥寮港,中國大陸,紡織品及其製品,3229,14
101年12月,麥寮港,日本,礦產品,20411,7150
101年12月,麥寮港,香港,礦產品,3467719,118570
101年12月,麥寮港,中國大陸,礦產品,752529,59169
101年12月,麥寮港,越南,礦產品,709782,30836
101年12月,麥寮港,泰國,礦產品,69782,3850
101年12月,麥寮港,馬來西亞,礦產品,1233295,45074
101年12月,麥寮港,新加坡,礦產品,12144702,453081
101年12月,麥寮港,菲律賓,礦產品,9960495,369300
101年12月,麥寮港,印尼,礦產品,2943634,102054
101年12月,麥寮港,印度,礦產品,142769,4846
101年12月,麥寮港,斯里蘭卡,礦產品,864270,30017
101年12月,麥寮港,大洋洲其他地區,礦產品,213326,7934
101年12月,麥寮港,法國,礦產品,139790,4964
101年12月,麥寮港,日本,化學或有關工業產品,69939,3016
101年12月,麥寮港,韓國,化學或有關工業產品,459223,13200
101年12月,麥寮港,香港,化學或有關工業產品,89703,2000
101年12月,麥寮港,中國大陸,化學或有關工業產品,14078145,395428
101年12月,麥寮港,越南,化學或有關工業產品,210652,5624
101年12月,麥寮港,泰國,化學或有關工業產品,38797,1110
101年12月,麥寮港,馬來西亞,化學或有關工業產品,511987,14943
101年12月,麥寮港,新加坡,化學或有關工業產品,431365,15200
101年12月,麥寮港,菲律賓,化學或有關工業產品,150904,3500
101年12月,麥寮港,印尼,化學或有關工業產品,64989,1800
101年12月,麥寮港,印度,化學或有關工業產品,372457,21535
101年12月,麥寮港,巴基斯坦,化學或有關工業產品,50077,5000
101年12月,麥寮港,阿拉伯聯合大公國,化學或有關工業產品,23428,918
101年12月,麥寮港,美國,化學或有關工業產品,51593,8820
101年12月,麥寮港,加拿大,化學或有關工業產品,12284,2100
101年12月,麥寮港,澳洲,化學或有關工業產品,413391,66150
101年12月,麥寮港,香港,塑膠橡膠及其製品,361299,7728
101年12月,麥寮港,中國大陸,塑膠橡膠及其製品,739649,18468
101年12月,麥寮港,越南,塑膠橡膠及其製品,47919,1211
102年01月,麥寮港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",2184,6
102年01月,麥寮港,中國大陸,"機械用具電機設備,電視影像錄音機",418108,1314
102年01月,麥寮港,日本,礦產品,1162865,40189
102年01月,麥寮港,香港,礦產品,18310,7000
102年01月,麥寮港,中國大陸,礦產品,3303765,188690
102年01月,麥寮港,越南,礦產品,2535440,96199
102年01月,麥寮港,馬來西亞,礦產品,6783140,248304
102年01月,麥寮港,新加坡,礦產品,7578940,304334
102年01月,麥寮港,菲律賓,礦產品,6688028,248204
102年01月,麥寮港,印尼,礦產品,915037,30364
102年01月,麥寮港,印度,礦產品,137712,4765
102年01月,麥寮港,阿拉伯聯合大公國,礦產品,73135,2548
102年01月,麥寮港,土耳其,礦產品,49102,1758
102年01月,麥寮港,南非共和國,礦產品,1907797,71040
102年01月,麥寮港,非洲其他地區,礦產品,988092,36713
102年01月,麥寮港,澳洲,礦產品,3377673,123501
102年01月,麥寮港,大洋洲其他地區,礦產品,463066,16606
102年01月,麥寮港,日本,化學或有關工業產品,82661,7858
102年01月,麥寮港,韓國,化學或有關工業產品,573124,12485
102年01月,麥寮港,香港,化學或有關工業產品,140457,3000
102年01月,麥寮港,中國大陸,化學或有關工業產品,15392107,399071
102年01月,麥寮港,越南,化學或有關工業產品,427730,13918
102年01月,麥寮港,泰國,化學或有關工業產品,68544,3779
102年01月,麥寮港,馬來西亞,化學或有關工業產品,112889,4695
102年01月,麥寮港,新加坡,化學或有關工業產品,576329,21860
102年01月,麥寮港,印度,化學或有關工業產品,420930,18623
102年01月,麥寮港,美國,化學或有關工業產品,54782,10500
102年01月,麥寮港,加拿大,化學或有關工業產品,161136,30440
102年01月,麥寮港,澳洲,化學或有關工業產品,55086,10500
102年01月,麥寮港,香港,塑膠橡膠及其製品,280243,5862
102年01月,麥寮港,中國大陸,塑膠橡膠及其製品,848263,19159
102年01月,麥寮港,越南,塑膠橡膠及其製品,604,22
102年02月,麥寮港,中國大陸,動植物油脂及其分解物,743,16
102年02月,麥寮港,日本,礦產品,2406848,81588
102年02月,麥寮港,香港,礦產品,1224356,39185
102年02月,麥寮港,中國大陸,礦產品,1120839,72134
102年02月,麥寮港,越南,礦產品,1074793,54604
102年02月,麥寮港,馬來西亞,礦產品,922701,30976
102年02月,麥寮港,新加坡,礦產品,7247353,274039
102年02月,麥寮港,菲律賓,礦產品,6712954,234776
102年02月,麥寮港,印尼,礦產品,1932080,62062
102年02月,麥寮港,沙烏地阿拉伯,礦產品,3677307,135818
102年02月,麥寮港,埃及,礦產品,2013570,70738
102年02月,麥寮港,非洲其他地區,礦產品,992380,35337
102年02月,麥寮港,美國,礦產品,308199,8956
102年02月,麥寮港,南美洲其他地區,礦產品,962094,35538
102年02月,麥寮港,澳洲,礦產品,2390489,84948
102年02月,麥寮港,日本,化學或有關工業產品,69950,7000
102年02月,麥寮港,韓國,化學或有關工業產品,361254,7500
102年02月,麥寮港,香港,化學或有關工業產品,296251,6000
102年02月,麥寮港,中國大陸,化學或有關工業產品,17442690,431329
102年02月,麥寮港,越南,化學或有關工業產品,356196,11899
102年02月,麥寮港,泰國,化學或有關工業產品,153566,8115
102年02月,麥寮港,馬來西亞,化學或有關工業產品,46648,1688
102年02月,麥寮港,新加坡,化學或有關工業產品,532810,15750
102年02月,麥寮港,菲律賓,化學或有關工業產品,111308,3000
102年02月,麥寮港,印尼,化學或有關工業產品,399040,16550
102年02月,麥寮港,印度,化學或有關工業產品,352494,24525
102年02月,麥寮港,美國,化學或有關工業產品,244016,6600
102年02月,麥寮港,加拿大,化學或有關工業產品,48583,10500
102年02月,麥寮港,墨西哥,化學或有關工業產品,591412,15350
102年02月,麥寮港,澳洲,化學或有關工業產品,340811,57750
102年02月,麥寮港,比利時,化學或有關工業產品,140505,3600
102年02月,麥寮港,荷蘭,化學或有關工業產品,475261,12000
102年02月,麥寮港,香港,塑膠橡膠及其製品,172763,3420
102年02月,麥寮港,中國大陸,塑膠橡膠及其製品,560953,11775
102年02月,麥寮港,越南,塑膠橡膠及其製品,2773,38
102年03月,麥寮港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",2525,6
102年03月,麥寮港,日本,礦產品,41054,14000
102年03月,麥寮港,香港,礦產品,2362263,79187
102年03月,麥寮港,中國大陸,礦產品,1277747,88624
102年03月,麥寮港,越南,礦產品,2473373,90255
102年03月,麥寮港,馬來西亞,礦產品,43766,1455
102年03月,麥寮港,新加坡,礦產品,6148222,236839
102年03月,麥寮港,菲律賓,礦產品,9119905,318350
102年03月,麥寮港,印尼,礦產品,2935753,93085
102年03月,麥寮港,印度,礦產品,292855,9978
102年03月,麥寮港,沙烏地阿拉伯,礦產品,756773,25893
102年03月,麥寮港,埃及,礦產品,1938149,70520
102年03月,麥寮港,非洲其他地區,礦產品,3086527,110279
102年03月,麥寮港,澳洲,礦產品,1075171,39430
102年03月,麥寮港,日本,化學或有關工業產品,41973,2706
102年03月,麥寮港,韓國,化學或有關工業產品,627620,10900
102年03月,麥寮港,香港,化學或有關工業產品,251719,5000
102年03月,麥寮港,中國大陸,化學或有關工業產品,16787659,417863
102年03月,麥寮港,越南,化學或有關工業產品,399499,12601
102年03月,麥寮港,泰國,化學或有關工業產品,62393,8848
102年03月,麥寮港,馬來西亞,化學或有關工業產品,145550,4407
102年03月,麥寮港,新加坡,化學或有關工業產品,1321190,41409
102年03月,麥寮港,印尼,化學或有關工業產品,39854,1065
102年03月,麥寮港,印度,化學或有關工業產品,652016,20942
102年03月,麥寮港,土耳其,化學或有關工業產品,121505,3350
102年03月,麥寮港,美國,化學或有關工業產品,278499,38556
102年03月,麥寮港,加拿大,化學或有關工業產品,98901,21000
102年03月,麥寮港,澳洲,化學或有關工業產品,446450,91150
102年03月,麥寮港,比利時,化學或有關工業產品,871536,21425
102年03月,麥寮港,香港,塑膠橡膠及其製品,187178,3609
102年03月,麥寮港,中國大陸,塑膠橡膠及其製品,796099,17700
102年03月,麥寮港,越南,塑膠橡膠及其製品,18344,613
102年03月,麥寮港,泰國,塑膠橡膠及其製品,5244,176
102年04月,麥寮港,中國大陸,"機械用具電機設備,電視影像錄音機",17861,337
102年04月,麥寮港,中國大陸,動植物油脂及其分解物,703,16
102年04月,麥寮港,香港,礦產品,971496,33678
102年04月,麥寮港,中國大陸,礦產品,1013624,77146
102年04月,麥寮港,越南,礦產品,2250933,101486
102年04月,麥寮港,馬來西亞,礦產品,988621,31645
102年04月,麥寮港,新加坡,礦產品,4666463,168566
102年04月,麥寮港,菲律賓,礦產品,5744829,206097
102年04月,麥寮港,印尼,礦產品,1771064,56910
102年04月,麥寮港,印度,礦產品,239293,7589
102年04月,麥寮港,孟加拉,礦產品,48487,2100
102年04月,麥寮港,非洲其他地區,礦產品,1970334,73437
102年04月,麥寮港,澳洲,礦產品,2262314,81538
102年04月,麥寮港,日本,化學或有關工業產品,120190,4504
102年04月,麥寮港,韓國,化學或有關工業產品,439005,7200
102年04月,麥寮港,香港,化學或有關工業產品,390119,8000
102年04月,麥寮港,中國大陸,化學或有關工業產品,11032495,306768
102年04月,麥寮港,越南,化學或有關工業產品,258027,8407
102年04月,麥寮港,泰國,化學或有關工業產品,53644,5036
102年04月,麥寮港,馬來西亞,化學或有關工業產品,97438,3379
102年04月,麥寮港,新加坡,化學或有關工業產品,484095,16800
102年04月,麥寮港,菲律賓,化學或有關工業產品,100827,2000
102年04月,麥寮港,印尼,化學或有關工業產品,26434,994
102年04月,麥寮港,印度,化學或有關工業產品,871327,26725
102年04月,麥寮港,加拿大,化學或有關工業產品,111489,26250
102年04月,麥寮港,澳洲,化學或有關工業產品,154599,33100
102年04月,麥寮港,香港,塑膠橡膠及其製品,150822,2894
102年04月,麥寮港,中國大陸,塑膠橡膠及其製品,531571,11910
102年04月,麥寮港,越南,塑膠橡膠及其製品,8855,271
102年05月,麥寮港,馬來西亞,"機械用具電機設備,電視影像錄音機",120528,981
102年05月,麥寮港,中國大陸,動植物油脂及其分解物,726,16
102年05月,麥寮港,日本,礦產品,21107,7000
102年05月,麥寮港,香港,礦產品,1044956,39107
102年05月,麥寮港,中國大陸,礦產品,1105761,73741
102年05月,麥寮港,越南,礦產品,1476910,69602
102年05月,麥寮港,馬來西亞,礦產品,100676,3914
102年05月,麥寮港,新加坡,礦產品,6038507,236514
102年05月,麥寮港,菲律賓,礦產品,7629185,296257
102年05月,麥寮港,印尼,礦產品,2140244,78750
102年05月,麥寮港,印度,礦產品,399739,13043
102年05月,麥寮港,土耳其,礦產品,59109,1942
102年05月,麥寮港,南非共和國,礦產品,733128,28561
102年05月,麥寮港,非洲其他地區,礦產品,919013,36728
102年05月,麥寮港,澳洲,礦產品,1161236,46245
102年05月,麥寮港,大洋洲其他地區,礦產品,206870,7955
102年05月,麥寮港,日本,化學或有關工業產品,223803,5159
102年05月,麥寮港,韓國,化學或有關工業產品,259263,4900
102年05月,麥寮港,香港,化學或有關工業產品,96561,2000
102年05月,麥寮港,中國大陸,化學或有關工業產品,13836247,376407
102年05月,麥寮港,越南,化學或有關工業產品,190677,5818
102年05月,麥寮港,泰國,化學或有關工業產品,118282,10202
102年05月,麥寮港,馬來西亞,化學或有關工業產品,502401,13359
102年05月,麥寮港,新加坡,化學或有關工業產品,224959,10010
102年05月,麥寮港,菲律賓,化學或有關工業產品,85404,2064
102年05月,麥寮港,印尼,化學或有關工業產品,55838,1499
102年05月,麥寮港,印度,化學或有關工業產品,285533,12501
102年05月,麥寮港,土耳其,化學或有關工業產品,79974,1500
102年05月,麥寮港,美國,化學或有關工業產品,153680,34360
102年05月,麥寮港,加拿大,化學或有關工業產品,79836,17850
102年05月,麥寮港,澳洲,化學或有關工業產品,104468,24150
102年05月,麥寮港,香港,塑膠橡膠及其製品,270425,5498
102年05月,麥寮港,中國大陸,塑膠橡膠及其製品,754704,17337
102年05月,麥寮港,越南,塑膠橡膠及其製品,648,12
102年05月,麥寮港,菲律賓,塑膠橡膠及其製品,1325,25
102年06月,麥寮港,中國大陸,"機械用具電機設備,電視影像錄音機",63860,332
102年06月,麥寮港,中國大陸,動植物油脂及其分解物,673,16
102年06月,麥寮港,韓國,礦產品,292457,8949
102年06月,麥寮港,香港,礦產品,1099591,40318
102年06月,麥寮港,中國大陸,礦產品,1181957,84192
102年06月,麥寮港,越南,礦產品,3030864,114708
102年06月,麥寮港,馬來西亞,礦產品,2573219,95226
102年06月,麥寮港,新加坡,礦產品,3707504,135245
102年06月,麥寮港,菲律賓,礦產品,7356996,281461
102年06月,麥寮港,印尼,礦產品,376979,14890
102年06月,麥寮港,印度,礦產品,237540,7640
102年06月,麥寮港,阿拉伯聯合大公國,礦產品,56689,1910
102年06月,麥寮港,非洲其他地區,礦產品,1903956,73507
102年06月,麥寮港,澳洲,礦產品,1214307,45580
102年06月,麥寮港,日本,化學或有關工業產品,94366,6000
102年06月,麥寮港,韓國,化學或有關工業產品,530083,11600
102年06月,麥寮港,香港,化學或有關工業產品,230157,5000
102年06月,麥寮港,中國大陸,化學或有關工業產品,14845081,392748
102年06月,麥寮港,越南,化學或有關工業產品,323528,10003
102年06月,麥寮港,泰國,化學或有關工業產品,204755,12855
102年06月,麥寮港,馬來西亞,化學或有關工業產品,213482,6250
102年06月,麥寮港,新加坡,化學或有關工業產品,879362,39065
102年06月,麥寮港,菲律賓,化學或有關工業產品,5178,98
102年06月,麥寮港,印尼,化學或有關工業產品,852482,24650
102年06月,麥寮港,印度,化學或有關工業產品,589410,34169
102年06月,麥寮港,美國,化學或有關工業產品,123400,27230
102年06月,麥寮港,加拿大,化學或有關工業產品,138337,30420
102年06月,麥寮港,澳洲,化學或有關工業產品,306239,66150
102年06月,麥寮港,紐西蘭,化學或有關工業產品,48697,10500
102年06月,麥寮港,香港,塑膠橡膠及其製品,200243,3949
102年06月,麥寮港,中國大陸,塑膠橡膠及其製品,833456,18904
102年07月,麥寮港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",2772,6
102年07月,麥寮港,韓國,礦產品,290416,8632
102年07月,麥寮港,中國大陸,礦產品,2013623,119598
102年07月,麥寮港,越南,礦產品,167544,9630
102年07月,麥寮港,泰國,礦產品,48024,14550
102年07月,麥寮港,馬來西亞,礦產品,2320116,97395
102年07月,麥寮港,新加坡,礦產品,3870700,135738
102年07月,麥寮港,菲律賓,礦產品,8190581,300301
102年07月,麥寮港,印尼,礦產品,3281241,124841
102年07月,麥寮港,澳洲,礦產品,1180757,43352
102年07月,麥寮港,日本,化學或有關工業產品,57366,1425
102年07月,麥寮港,韓國,化學或有關工業產品,338957,8875
102年07月,麥寮港,香港,化學或有關工業產品,84209,2000
102年07月,麥寮港,中國大陸,化學或有關工業產品,11791833,313702
102年07月,麥寮港,越南,化學或有關工業產品,296526,10907
102年07月,麥寮港,馬來西亞,化學或有關工業產品,166369,5000
102年07月,麥寮港,新加坡,化學或有關工業產品,288903,13666
102年07月,麥寮港,印尼,化學或有關工業產品,287112,8110
102年07月,麥寮港,印度,化學或有關工業產品,495090,29558
102年07月,麥寮港,美國,化學或有關工業產品,67542,3520
102年07月,麥寮港,加拿大,化學或有關工業產品,117392,25090
102年07月,麥寮港,阿根廷,化學或有關工業產品,201713,5700
102年07月,麥寮港,澳洲,化學或有關工業產品,39163,8400
102年07月,麥寮港,香港,塑膠橡膠及其製品,299829,5622
102年07月,麥寮港,中國大陸,塑膠橡膠及其製品,683544,15002
102年08月,麥寮港,香港,紡織品及其製品,2274,48
102年08月,麥寮港,日本,礦產品,297366,8932
102年08月,麥寮港,韓國,礦產品,120761,4020
102年08月,麥寮港,香港,礦產品,26387,721
102年08月,麥寮港,中國大陸,礦產品,446894,51842
102年08月,麥寮港,越南,礦產品,2826219,103145
102年08月,麥寮港,馬來西亞,礦產品,2869248,108394
102年08月,麥寮港,新加坡,礦產品,4574865,155345
102年08月,麥寮港,菲律賓,礦產品,10074846,365370
102年08月,麥寮港,印尼,礦產品,955882,44996
102年08月,麥寮港,印度,礦產品,38300,1226
102年08月,麥寮港,孟加拉,礦產品,274140,10041
102年08月,麥寮港,南非共和國,礦產品,1156066,42488
102年08月,麥寮港,澳洲,礦產品,2253101,77837
102年08月,麥寮港,日本,化學或有關工業產品,91080,3000
102年08月,麥寮港,韓國,化學或有關工業產品,560656,13975
102年08月,麥寮港,香港,化學或有關工業產品,287294,6000
102年08月,麥寮港,中國大陸,化學或有關工業產品,16765247,434158
102年08月,麥寮港,越南,化學或有關工業產品,605885,18350
102年08月,麥寮港,泰國,化學或有關工業產品,28565,939
102年08月,麥寮港,馬來西亞,化學或有關工業產品,107076,4105
102年08月,麥寮港,新加坡,化學或有關工業產品,387761,17623
102年08月,麥寮港,菲律賓,化學或有關工業產品,57162,1080
102年08月,麥寮港,印尼,化學或有關工業產品,739875,20310
102年08月,麥寮港,印度,化學或有關工業產品,481874,19802
102年08月,麥寮港,美國,化學或有關工業產品,54380,11550
102年08月,麥寮港,加拿大,化學或有關工業產品,154831,33060
102年08月,麥寮港,澳洲,化學或有關工業產品,310955,66150
102年08月,麥寮港,香港,塑膠橡膠及其製品,360964,6960
102年08月,麥寮港,中國大陸,塑膠橡膠及其製品,907930,19847
102年08月,麥寮港,越南,塑膠橡膠及其製品,1369,19
102年09月,麥寮港,日本,礦產品,287759,8942
102年09月,麥寮港,韓國,礦產品,721897,21880
102年09月,麥寮港,香港,礦產品,1855355,62841
102年09月,麥寮港,中國大陸,礦產品,844685,102138
102年09月,麥寮港,越南,礦產品,5310599,195765
102年09月,麥寮港,馬來西亞,礦產品,7687036,296456
102年09月,麥寮港,新加坡,礦產品,6205085,221199
102年09月,麥寮港,菲律賓,礦產品,7486437,271383
102年09月,麥寮港,印尼,礦產品,1843486,61164
102年09月,麥寮港,澳洲,礦產品,182821,10500
102年09月,麥寮港,英國,礦產品,1234117,43818
102年09月,麥寮港,日本,化學或有關工業產品,17508,703
102年09月,麥寮港,韓國,化學或有關工業產品,515805,12775
102年09月,麥寮港,中國大陸,化學或有關工業產品,16554355,428803
102年09月,麥寮港,越南,化學或有關工業產品,32147,907
102年09月,麥寮港,泰國,化學或有關工業產品,19557,468
102年09月,麥寮港,馬來西亞,化學或有關工業產品,69978,3000
102年09月,麥寮港,新加坡,化學或有關工業產品,654439,28920
102年09月,麥寮港,菲律賓,化學或有關工業產品,79730,2000
102年09月,麥寮港,印尼,化學或有關工業產品,142878,3832
102年09月,麥寮港,印度,化學或有關工業產品,482736,35036
102年09月,麥寮港,土耳其,化學或有關工業產品,66748,1200
102年09月,麥寮港,加拿大,化學或有關工業產品,50324,11020
102年09月,麥寮港,澳洲,化學或有關工業產品,273240,57810
102年09月,麥寮港,香港,塑膠橡膠及其製品,203070,3633
102年09月,麥寮港,中國大陸,塑膠橡膠及其製品,518638,11221
102年09月,麥寮港,越南,塑膠橡膠及其製品,651,22
102年10月,麥寮港,中國大陸,紡織品及其製品,1496,6
102年10月,麥寮港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",2984,6
102年10月,麥寮港,中國大陸,"機械用具電機設備,電視影像錄音機",200576,541
102年10月,麥寮港,香港,礦產品,989609,33626
102年10月,麥寮港,中國大陸,礦產品,842622,64364
102年10月,麥寮港,越南,礦產品,2546622,110863
102年10月,麥寮港,泰國,礦產品,42199,20000
102年10月,麥寮港,馬來西亞,礦產品,325173,10324
102年10月,麥寮港,新加坡,礦產品,8300604,297011
102年10月,麥寮港,菲律賓,礦產品,13144413,479583
102年10月,麥寮港,印尼,礦產品,3296788,154136
102年10月,麥寮港,非洲其他地區,礦產品,3201878,119382
102年10月,麥寮港,澳洲,礦產品,1289784,48622
102年10月,麥寮港,紐西蘭,礦產品,1147580,41694
102年10月,麥寮港,大洋洲其他地區,礦產品,1414490,52262
102年10月,麥寮港,荷蘭,礦產品,2179795,75906
102年10月,麥寮港,英國,礦產品,1227633,43588
102年10月,麥寮港,日本,化學或有關工業產品,840,16
102年10月,麥寮港,韓國,化學或有關工業產品,280055,5400
102年10月,麥寮港,中國大陸,化學或有關工業產品,14830466,387750
102年10月,麥寮港,越南,化學或有關工業產品,266408,7500
102年10月,麥寮港,泰國,化學或有關工業產品,120737,15573
102年10月,麥寮港,新加坡,化學或有關工業產品,566749,33647
102年10月,麥寮港,印尼,化學或有關工業產品,3703,90
102年10月,麥寮港,印度,化學或有關工業產品,445273,22558
102年10月,麥寮港,巴基斯坦,化學或有關工業產品,36235,3147
102年10月,麥寮港,美國,化學或有關工業產品,117785,26250
