時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2021/6/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,化學液體船,汶萊,4945,1
2018/3/1 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,非貨櫃船,化學液體船,新加坡,14750,1
2017/5/20 上午 12:00:00,進港,菲律賓,巴丹港 PHBTN,高雄港,非貨櫃船,化學液體船,巴拿馬,3380,1
2019/8/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,化學液體船,巴拿馬,7234,1
2019/12/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,化學液體船,巴拿馬,7234,1
2021/3/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,化學液體船,巴拿馬,2849,1
2016/5/24 上午 12:00:00,進港,菲律賓,巴丹港 PHBTN,高雄港,非貨櫃船,化學液體船,巴拿馬,7675,1
2016/3/20 上午 12:00:00,出港,菲律賓,巴丹港 PHBTN,台北港,非貨櫃船,化學液體船,巴拿馬,9465,1
2021/6/1 上午 12:00:00,進港,菲律賓,馬尼拉,台中港,非貨櫃船,挖泥船,盧森堡,13001,1
2021/5/1 上午 12:00:00,進港,菲律賓,馬尼拉,台中港,非貨櫃船,挖泥船,荷蘭,33515,1
2021/5/1 上午 12:00:00,出港,菲律賓,馬尼拉,台中港,非貨櫃船,挖泥船,荷蘭,33515,1
2021/5/1 上午 12:00:00,進港,菲律賓,馬尼拉,台中港,非貨櫃船,多用途工作,馬紹爾群島共和國,7883,1
2016/9/24 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,65140,1
2015/3/25 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,50625,1
2015/2/16 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2016/4/27 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,52735,1
2016/2/14 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,32370,1
2016/4/21 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,51265,1
