時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2021/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2021/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17515,1
2021/7/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/7/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2021/6/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,51633,3
2021/6/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/6/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17515,1
2021/6/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2021/6/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,35774,2
2020/7/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,27104,1
2020/7/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,27104,1
2020/7/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,27104,1
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,35774,2
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,53661,3
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2015/11/20 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2016/12/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/11/17 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2016/12/8 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/12/22 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/1/5 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/2/9 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/1/13 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/2/20 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/4/6 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/1/26 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/3/2 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/4/28 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/5/11 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/3/16 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/4/20 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/6/29 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2020/7/1 上午 12:00:00,出港,越南,胡志明,台中港,貨櫃船,全貨櫃船,巴拿馬,27104,1
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,34422,2
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,34422,2
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,34422,2
2020/7/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2020/7/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2020/8/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2020/8/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2020/8/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,35774,2
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,53661,3
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2020/7/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/5/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17933,1
2021/5/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/5/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/5/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2019/11/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,85496,1
2017/7/11 上午 12:00:00,進港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,賴比瑞亞,29982,1
2017/7/12 上午 12:00:00,出港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,賴比瑞亞,29982,1
2017/7/25 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,賴比瑞亞,42538,1
2020/2/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,156916,1
2019/12/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,油輪,賴比瑞亞,39085,1
2020/1/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,154252,1
2017/6/23 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,29588,1
2017/6/29 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,42331,1
2015/1/25 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,新加坡,30006,1
2016/2/12 上午 12:00:00,進港,新加坡,新加坡港,基隆港,非貨櫃船,散裝船,香港,23749,1
2015/8/5 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,38895,1
2015/9/9 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,43024,1
2015/2/8 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,32945,1
2015/3/3 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,33032,1
2015/1/24 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,32987,1
2015/8/13 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,44025,1
2017/6/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2015/3/12 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,英國,53783,1
2015/4/3 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,英國,71786,1
2015/2/26 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,英國,71786,1
