時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2018/12/31 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2018/9/2 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2018/8/29 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2018/12/3 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2019/1/26 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2018/9/10 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2018/10/21 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2015/7/26 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/20 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/8/23 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/5/31 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2016/12/15 上午 12:00:00,近洋航線,出港,卸貨,E004紐澳航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/12/14 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/23 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/24 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/25 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/2/3 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/2/3 上午 12:00:00,近洋航線,出港,卸貨,E004紐澳航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/30 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/2/7 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/3/8 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/3/8 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/16 上午 12:00:00,近洋航線,出港,卸貨,E004紐澳航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/16 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/5/23 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/23 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/26 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2018/7/14 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2018/10/10 上午 12:00:00,遠洋航線,出港,卸貨,C410南非航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,2
2018/10/15 上午 12:00:00,遠洋航線,出港,卸貨,D504中南美洲航(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/3/12 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2017/1/3 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2017/3/5 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2016/8/4 上午 12:00:00,遠洋航線,出港,卸貨,D504中南美洲航(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2016/10/2 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2016/10/6 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2019/1/6 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/4/8 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2021/4/24 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2020/12/30 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2021/4/22 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2020/12/28 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2021/2/7 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2021/3/25 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2021/7/27 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,菲律賓,馬尼拉北港,高雄港,全貨櫃船,3000TEU以下,1
2020/1/17 上午 12:00:00,遠洋航線,出港,卸貨,C410南非航線(含大陸),東協,新加坡,SINGAPORE CONTAINER TERMINAL,基隆港,全貨櫃船,3000TEU以下,1
2015/8/2 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/14 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/8/16 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/18 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/5 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/29 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/6/7 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/6/14 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/6/28 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/2/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/31 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/6/21 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/3/15 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/3/13 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/24 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/5/15 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/16 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/5 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/2 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/19 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/18 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/26 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/11 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/18 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/13 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/20 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/23 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/27 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/27 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,卡萊港,臺中港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/27 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,越南,卡萊港,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2019/4/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/4/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/4/5 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/7 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/6/7 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/4/18 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/4/18 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/4/18 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/4/21 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/5/9 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/9 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/11 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/7/4 上午 12:00:00,近洋航線,出港,卸貨,E004紐澳航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/7/5 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/3/16 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/5/30 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2015/6/27 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/17 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/19 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/8/28 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/8/9 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/7/23 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/12 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/9/17 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/9/11 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/10/4 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/10/7 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/11/9 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/6 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/11/2 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/31 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2019/5/31 上午 12:00:00,近洋航線,出港,卸貨,E204紐西蘭航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/2 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/6/16 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/19 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/20 上午 12:00:00,遠洋航線,出港,卸貨,B004歐洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/21 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/9/19 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/13 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/13 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/14 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/8/8 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/8/8 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/8/9 上午 12:00:00,遠洋航線,出港,卸貨,B004歐洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/8/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/5/1 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/2 上午 12:00:00,遠洋航線,出港,卸貨,B004歐洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2015/9/22 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/20 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/9/27 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2015/9/30 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/30 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,14000TEU以上,1
2016/11/19 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/10/29 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2017/1/14 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2017/1/16 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,基隆港,全貨櫃船,3000TEU以下,1
2016/3/15 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2016/6/4 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/3/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU以下,1
2016/3/20 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/3/26 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/3/22 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2016/6/11 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),東協,馬來西亞,丹絨柏樂巴斯,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/24 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/22 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/8 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/3 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/4 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,胡志明,臺中港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/2 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/23 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/5 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,越南,胡志明,臺中港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/5 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,東協,越南,胡志明,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
