時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2015/11/14 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/1/3 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/1/9 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/3/28 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/2/14 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/2/18 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2016/4/16 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2015/10/31 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/11/7 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/2/1 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/4/23 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/2/6 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/3/14 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/5/9 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
