時間(年月),航務中心,船舶種類,丈量_淨噸位,丈量_總噸位,丈量_艘數,檢查_淨噸位,檢查_總噸位,檢查_艘數
10106,中部航務中心,小船,0,0,0,11,40,6
10111,中部航務中心,小船,0,0,0,12,44,3
10201,中部航務中心,小船,0,0,0,4,15,11
10202,中部航務中心,小船,0,0,0,2,19,8
10203,中部航務中心,小船,0,0,0,10,48,20
10204,中部航務中心,小船,0,0,0,2,14,10
10205,中部航務中心,小船,0,0,0,6,46,25
10206,中部航務中心,小船,0,0,0,17,64,17
10208,中部航務中心,小船,0,0,0,12,42,11
10210,中部航務中心,小船,0,0,0,1,26,13
10211,中部航務中心,小船,0,0,0,4,12,7
10212,中部航務中心,小船,0,0,0,1,9,6
10301,中部航務中心,小船,0,0,0,3,11,5
10302,中部航務中心,小船,0,0,0,8,32,9
10303,中部航務中心,小船,0,0,0,6,26,7
10304,中部航務中心,小船,0,0,0,14,36,4
10305,中部航務中心,小船,0,0,0,2,14,6
10306,中部航務中心,小船,0,0,0,14,51,10
10308,中部航務中心,小船,0,0,0,42,97,20
10309,中部航務中心,小船,0,0,0,188,457,53
10311,中部航務中心,小船,0,0,0,100,216,29
10312,中部航務中心,小船,0,0,0,126,267,29
10401,中部航務中心,小船,0,0,0,113,274,43
10402,中部航務中心,小船,0,0,0,60,141,18
10403,中部航務中心,小船,0,0,0,138,320,64
10404,中部航務中心,小船,0,0,0,133,357,63
10406,中部航務中心,小船,0,0,0,176,427,80
10407,中部航務中心,小船,0,0,0,186,472,80
10410,中部航務中心,小船,0,0,0,63,190,61
10411,中部航務中心,小船,0,0,0,134,313,53
10412,中部航務中心,小船,0,0,0,174,397,59
10501,中部航務中心,小船,0,0,0,89,226,48
10502,中部航務中心,小船,0,0,0,109,252,31
10503,中部航務中心,小船,0,0,0,132,355,59
10505,中部航務中心,小船,0,0,0,141,336,55
10506,中部航務中心,小船,0,0,0,119,323,55
10507,中部航務中心,小船,0,0,0,158,404,82
10508,中部航務中心,小船,0,0,0,100,271,55
10509,中部航務中心,小船,0,0,0,80,216,37
10510,中部航務中心,小船,0,0,0,164,355,43
10512,中部航務中心,小船,0,0,0,121,266,42
10601,中部航務中心,小船,0,0,0,196,422,47
10602,中部航務中心,小船,0,0,0,28,92,33
10605,中部航務中心,小船,0,0,0,113,277,70
10606,中部航務中心,小船,0,0,0,126,340,75
10608,中部航務中心,小船,0,0,0,96,223,46
10610,中部航務中心,小船,0,0,0,77,230,59
10702,中部航務中心,小船,0,0,0,120,260,27
10705,中部航務中心,小船,0,0,0,162,373,55
10706,中部航務中心,小船,0,0,0,31,113,35
10707,中部航務中心,小船,0,0,0,166,393,44
10709,中部航務中心,小船,0,0,0,130,300,41
10710,中部航務中心,小船,0,0,0,87,264,39
10711,中部航務中心,小船,0,0,0,117,241,37
10712,中部航務中心,小船,0,0,0,44,104,25
10801,中部航務中心,小船,0,0,0,99,243,46
10802,中部航務中心,小船,0,0,0,89,192,32
10803,中部航務中心,小船,0,0,0,144,343,58
10808,中部航務中心,小船,0,0,0,170,423,67
10809,中部航務中心,小船,0,0,0,124,312,58
10810,中部航務中心,小船,0,0,0,105,260,61
10811,中部航務中心,小船,0,0,0,168,367,56
10812,中部航務中心,小船,0,0,0,109,279,50
10901,中部航務中心,小船,0,0,0,137,330,38
10902,中部航務中心,小船,0,0,0,75,191,36
10903,中部航務中心,小船,0,0,0,48,159,49
10904,中部航務中心,小船,0,0,0,123,299,44
10905,中部航務中心,小船,0,0,0,36,131,41
10907,中部航務中心,小船,0,0,0,141,339,41
10908,中部航務中心,小船,0,0,0,149,366,48
10909,中部航務中心,小船,0,0,0,159,356,44
10910,中部航務中心,小船,0,0,0,89,235,38
10911,中部航務中心,小船,0,0,0,114,258,35
10912,中部航務中心,小船,0,0,0,104,231,40
11001,中部航務中心,小船,0,0,0,45,133,34
11003,中部航務中心,小船,0,0,0,109,253,63
11004,中部航務中心,小船,0,0,0,188,411,56
10008,中部航務中心,小船,1,0,1,10,46,16
10504,中部航務中心,小船,7,2,1,89,257,57
10511,中部航務中心,小船,2,0,1,118,291,38
10603,中部航務中心,小船,4,1,1,175,416,73
10704,中部航務中心,小船,5,1,1,150,357,51
10804,中部航務中心,小船,1,0,1,194,463,72
10805,中部航務中心,小船,12,3,1,146,363,75
10807,中部航務中心,小船,0,0,1,108,318,73
10906,中部航務中心,小船,17,5,1,179,398,48
11002,中部航務中心,小船,11,3,1,94,202,29
10409,中部航務中心,小船,33,10,2,150,375,62
10806,中部航務中心,小船,19,5,2,98,231,47
11006,中部航務中心,小船,2,0,2,210,519,84
11005,中部航務中心,小船,3,0,3,82,203,59
10001,東部航務中心,漁船,0,0,0,18,55,2
10002,東部航務中心,漁船,0,0,0,49,103,3
10003,東部航務中心,漁船,0,0,0,113,329,9
10006,東部航務中心,漁船,0,0,0,55,138,4
10009,東部航務中心,漁船,0,0,0,121,302,9
10012,東部航務中心,漁船,0,0,0,25,88,3
10102,東部航務中心,漁船,0,0,0,28,96,2
10103,東部航務中心,漁船,0,0,0,120,344,11
10106,東部航務中心,漁船,0,0,0,13,44,1
10107,東部航務中心,漁船,0,0,0,126,319,9
10108,東部航務中心,漁船,0,0,0,129,336,9
10109,東部航務中心,漁船,0,0,0,140,354,10
10111,東部航務中心,漁船,0,0,0,10,31,1
10112,東部航務中心,漁船,0,0,0,18,63,2
10204,東部航務中心,漁船,0,0,0,45,89,2
10206,東部航務中心,漁船,0,0,0,63,170,4
10207,東部航務中心,漁船,0,0,0,77,171,5
10208,東部航務中心,漁船,0,0,0,145,405,12
10209,東部航務中心,漁船,0,0,0,63,180,4
10210,東部航務中心,漁船,0,0,0,24,84,3
10211,東部航務中心,漁船,0,0,0,58,148,4
10212,東部航務中心,漁船,0,0,0,8,29,1
10302,東部航務中心,漁船,0,0,0,38,132,4
10305,東部航務中心,漁船,0,0,0,46,102,3
10306,東部航務中心,漁船,0,0,0,50,124,4
10307,東部航務中心,漁船,0,0,0,87,222,6
10309,東部航務中心,漁船,0,0,0,631,2065,5
10310,東部航務中心,漁船,0,0,0,29,95,3
10311,東部航務中心,漁船,0,0,0,8,29,1
10312,東部航務中心,漁船,0,0,0,565,1888,2
10401,東部航務中心,漁船,0,0,0,17,38,1
10404,東部航務中心,漁船,0,0,0,42,147,3
10408,東部航務中心,漁船,0,0,0,23,80,2
10409,東部航務中心,漁船,0,0,0,89,254,8
10410,東部航務中心,漁船,0,0,0,33,108,3
10411,東部航務中心,漁船,0,0,0,24,45,1
10412,東部航務中心,漁船,0,0,0,19,63,2
10502,東部航務中心,漁船,0,0,0,21,72,3
10508,東部航務中心,漁船,0,0,0,144,390,12
10509,東部航務中心,漁船,0,0,0,23,79,3
10510,東部航務中心,漁船,0,0,0,30,58,2
10511,東部航務中心,漁船,0,0,0,10,31,1
10602,東部航務中心,漁船,0,0,0,26,89,3
10604,東部航務中心,漁船,0,0,0,377,1234,2
10607,東部航務中心,漁船,0,0,0,58,172,5
10608,東部航務中心,漁船,0,0,0,49,125,4
10611,東部航務中心,漁船,0,0,0,26,87,2
10612,東部航務中心,漁船,0,0,0,19,66,2
10701,東部航務中心,漁船,0,0,0,17,58,2
10702,東部航務中心,漁船,0,0,0,39,86,2
10704,東部航務中心,漁船,0,0,0,16,55,2
10705,東部航務中心,漁船,0,0,0,36,123,3
10706,東部航務中心,漁船,0,0,0,29,76,2
10707,東部航務中心,漁船,0,0,0,46,160,5
10708,東部航務中心,漁船,0,0,0,26,91,3
10709,東部航務中心,漁船,0,0,0,62,176,4
10710,東部航務中心,漁船,0,0,0,42,139,4
10711,東部航務中心,漁船,0,0,0,250,834,2
10801,東部航務中心,漁船,0,0,0,30,58,2
10803,東部航務中心,漁船,0,0,0,14,49,1
10805,東部航務中心,漁船,0,0,0,33,91,3
10806,東部航務中心,漁船,0,0,0,34,118,3
10808,東部航務中心,漁船,0,0,0,31,105,3
10809,東部航務中心,漁船,0,0,0,34,87,3
10812,東部航務中心,漁船,0,0,0,10,31,1
10903,東部航務中心,漁船,0,0,0,37,83,2
10904,東部航務中心,漁船,0,0,0,10,33,1
10906,東部航務中心,漁船,0,0,0,9,32,1
10907,東部航務中心,漁船,0,0,0,54,99,3
10908,東部航務中心,漁船,0,0,0,14,47,1
10909,東部航務中心,漁船,0,0,0,17,58,2
10910,東部航務中心,漁船,0,0,0,19,62,2
10911,東部航務中心,漁船,0,0,0,15,29,1
11001,東部航務中心,漁船,0,0,0,26,44,1
11005,東部航務中心,漁船,0,0,0,10,33,1
11006,東部航務中心,漁船,0,0,0,9,32,1
10905,東部航務中心,漁船,31,10,1,10,31,1
10509,南部航務中心,漁船,0,0,0,8004,22186,97
10902,南部航務中心,漁船,0,0,0,9413,26010,136
10007,南部航務中心,漁船,99,35,1,13187,31688,129
10101,南部航務中心,漁船,978,462,1,11798,27751,93
10302,南部航務中心,漁船,1288,386,1,5312,13586,105
10309,南部航務中心,漁船,298,126,1,10084,25762,129
10412,南部航務中心,漁船,324,131,1,27504,61946,145
10604,南部航務中心,漁船,1150,436,1,6656,17043,95
10701,南部航務中心,漁船,49,14,1,9069,22475,111
10803,南部航務中心,漁船,69,20,1,6142,16406,101
10804,南部航務中心,漁船,49,14,1,8636,21125,121
10810,南部航務中心,漁船,132,45,1,11770,33864,113
10812,南部航務中心,漁船,1291,441,1,32207,74609,132
10904,南部航務中心,漁船,99,38,1,7602,18760,92
10002,南部航務中心,漁船,298,118,2,3240,8616,73
10008,南部航務中心,漁船,227,87,2,7024,17963,117
10201,南部航務中心,漁船,301,114,2,7643,16778,82
10206,南部航務中心,漁船,388,153,2,8437,20859,90
10209,南部航務中心,漁船,1016,494,2,10698,26286,94
10310,南部航務中心,漁船,2286,916,2,4943,13123,91
10502,南部航務中心,漁船,82,24,2,5139,13720,90
10510,南部航務中心,漁船,824,306,2,6887,17135,92
10605,南部航務中心,漁船,414,150,2,7160,18897,110
10702,南部航務中心,漁船,670,280,2,6351,17311,110
10703,南部航務中心,漁船,75,21,2,8552,21684,134
10704,南部航務中心,漁船,2474,898,2,6256,15873,79
10802,南部航務中心,漁船,459,168,2,5143,13023,81
10807,南部航務中心,漁船,1555,540,2,6000,14893,101
10809,南部航務中心,漁船,71,20,2,4570,11861,87
10901,南部航務中心,漁船,677,238,2,9102,21127,99
10903,南部航務中心,漁船,588,221,2,7725,19064,92
10905,南部航務中心,漁船,371,133,2,6581,17083,92
10906,南部航務中心,漁船,1348,480,2,6497,16831,103
10202,南部航務中心,漁船,2163,664,3,2572,7440,72
10203,南部航務中心,漁船,297,110,3,5001,11530,83
10204,南部航務中心,漁船,2382,1171,3,8100,19441,102
10207,南部航務中心,漁船,2221,975,3,14663,34320,135
10303,南部航務中心,漁船,1608,756,3,5369,14044,98
10307,南部航務中心,漁船,2095,986,3,15058,33582,123
10406,南部航務中心,漁船,364,141,3,7020,18345,96
10409,南部航務中心,漁船,2531,944,3,10716,27543,122
10504,南部航務中心,漁船,402,148,3,9382,25631,115
10608,南部航務中心,漁船,152,45,3,7358,20071,115
10609,南部航務中心,漁船,480,181,3,7340,18836,107
10610,南部航務中心,漁船,1597,585,3,8955,24154,128
10709,南部航務中心,漁船,2097,628,3,9325,26629,111
10805,南部航務中心,漁船,1710,576,3,9665,23278,116
10808,南部航務中心,漁船,481,159,3,5344,14311,95
10907,南部航務中心,漁船,256,77,3,13654,33282,107
10003,南部航務中心,漁船,391,137,4,4460,12209,115
10004,南部航務中心,漁船,446,142,4,4691,12477,94
10012,南部航務中心,漁船,351,126,4,23190,51426,115
10105,南部航務中心,漁船,2134,1061,4,6045,14664,82
10211,南部航務中心,漁船,1621,710,4,9925,22767,103
10212,南部航務中心,漁船,2181,995,4,19907,45006,114
10305,南部航務中心,漁船,1444,637,4,4582,11138,74
10306,南部航務中心,漁船,2533,1171,4,11212,25738,126
10311,南部航務中心,漁船,3100,1219,4,5705,15093,76
10401,南部航務中心,漁船,1625,691,4,16016,34539,114
10404,南部航務中心,漁船,3991,1438,4,8851,22127,112
10503,南部航務中心,漁船,955,367,4,12658,31661,159
10505,南部航務中心,漁船,666,198,4,10880,24685,113
10601,南部航務中心,漁船,1238,474,4,17483,39549,140
10602,南部航務中心,漁船,597,208,4,7849,21031,110
10707,南部航務中心,漁船,3060,1142,4,16018,35870,129
10708,南部航務中心,漁船,486,170,4,5351,14334,72
10711,南部航務中心,漁船,1365,512,4,8813,22613,123
10801,南部航務中心,漁船,1949,627,4,10000,24498,132
10811,南部航務中心,漁船,2902,1040,4,11232,29624,101
10908,南部航務中心,漁船,401,124,4,8666,22448,97
10103,南部航務中心,漁船,465,156,5,2734,7830,91
10104,南部航務中心,漁船,784,308,5,3818,9872,69
10112,南部航務中心,漁船,1884,623,5,24672,56828,133
10208,南部航務中心,漁船,3668,1165,5,12887,31872,133
10301,南部航務中心,漁船,2060,708,5,21038,48029,140
10403,南部航務中心,漁船,2690,1108,5,9827,25400,146
10407,南部航務中心,漁船,1606,665,5,17665,41871,134
10606,南部航務中心,漁船,2205,796,5,7153,18084,127
10611,南部航務中心,漁船,4954,1790,5,10740,26712,111
10710,南部航務中心,漁船,2685,833,5,9502,25236,109
10712,南部航務中心,漁船,1165,400,5,32205,72801,143
10910,南部航務中心,漁船,2112,641,5,4756,12545,71
10410,南部航務中心,漁船,780,299,6,10837,28381,145
10806,南部航務中心,漁船,3069,1121,6,18636,42853,122
10909,南部航務中心,漁船,769,242,6,5475,14847,89
10205,南部航務中心,漁船,2768,1218,7,4932,12527,93
11003,南部航務中心,漁船,645,194,7,11410,28673,106
10411,南部航務中心,漁船,2382,1026,8,9760,24251,120
11002,南部航務中心,漁船,1286,450,9,5511,13879,84
10911,南部航務中心,漁船,2375,727,10,5026,13284,68
11001,南部航務中心,漁船,716,226,10,22368,52855,109
11006,南部航務中心,漁船,842,261,10,5612,13982,94
10912,南部航務中心,漁船,2871,937,11,16956,41871,94
11004,南部航務中心,漁船,1653,539,12,9367,24245,129
11005,南部航務中心,漁船,1608,546,12,15472,36932,127
10512,南部航務中心,漁船,2034,770,14,25745,57296,141
10001,北部航務中心,漁船,0,0,0,1502,3744,27
10004,北部航務中心,漁船,0,0,0,851,2698,40
10005,北部航務中心,漁船,0,0,0,930,2697,35
10009,北部航務中心,漁船,0,0,0,1709,4410,41
10104,北部航務中心,漁船,0,0,0,818,2668,33
10109,北部航務中心,漁船,0,0,0,602,1797,25
10212,北部航務中心,漁船,0,0,0,557,1690,15
10301,北部航務中心,漁船,0,0,0,876,2770,24
10302,北部航務中心,漁船,0,0,0,577,1649,18
10309,北部航務中心,漁船,0,0,0,824,2446,27
10401,北部航務中心,漁船,0,0,0,456,1534,24
10411,北部航務中心,漁船,0,0,0,807,2494,26
10412,北部航務中心,漁船,0,0,0,597,1983,26
10501,北部航務中心,漁船,0,0,0,596,2021,30
10512,北部航務中心,漁船,0,0,0,1326,4252,31
10603,北部航務中心,漁船,0,0,0,1141,3335,36
10604,北部航務中心,漁船,0,0,0,1136,3652,49
10609,北部航務中心,漁船,0,0,0,832,2429,25
10610,北部航務中心,漁船,0,0,0,2342,6008,59
10611,北部航務中心,漁船,0,0,0,1584,5024,36
10702,北部航務中心,漁船,0,0,0,347,1123,16
10708,北部航務中心,漁船,0,0,0,892,2770,39
10709,北部航務中心,漁船,0,0,0,511,1615,24
10711,北部航務中心,漁船,0,0,0,938,2512,25
10801,北部航務中心,漁船,0,0,0,738,2430,33
10803,北部航務中心,漁船,0,0,0,823,2604,34
10805,北部航務中心,漁船,0,0,0,1651,5234,71
10806,北部航務中心,漁船,0,0,0,1100,3562,52
10901,北部航務中心,漁船,0,0,0,525,1606,25
10902,北部航務中心,漁船,0,0,0,721,2392,35
10907,北部航務中心,漁船,0,0,0,972,3190,44
10909,北部航務中心,漁船,0,0,0,854,2553,28
10910,北部航務中心,漁船,0,0,0,957,3046,36
10911,北部航務中心,漁船,0,0,0,1082,2978,29
11001,北部航務中心,漁船,0,0,0,822,2327,33
11002,北部航務中心,漁船,0,0,0,422,1394,24
10002,北部航務中心,漁船,45,13,1,469,1413,15
10011,北部航務中心,漁船,42,12,1,853,2327,21
10101,北部航務中心,漁船,47,17,1,888,2601,22
10103,北部航務中心,漁船,46,14,1,924,2918,39
10107,北部航務中心,漁船,89,27,1,1995,5427,30
10110,北部航務中心,漁船,114,34,1,1361,3797,35
10202,北部航務中心,漁船,49,16,1,167,511,10
10203,北部航務中心,漁船,165,50,1,990,3239,40
10303,北部航務中心,漁船,49,14,1,687,2148,27
10311,北部航務中心,漁船,60,18,1,781,2321,23
10312,北部航務中心,漁船,45,13,1,880,2642,26
10408,北部航務中心,漁船,49,14,1,1431,4063,37
10504,北部航務中心,漁船,55,16,1,1492,4804,44
10602,北部航務中心,漁船,67,20,1,553,1595,18
10606,北部航務中心,漁船,49,22,1,1533,4951,68
10612,北部航務中心,漁船,94,28,1,369,1175,14
10703,北部航務中心,漁船,95,28,1,712,2354,34
10707,北部航務中心,漁船,198,131,1,1801,5365,56
10710,北部航務中心,漁船,49,14,1,689,2181,28
10802,北部航務中心,漁船,53,16,1,523,1624,23
10804,北部航務中心,漁船,80,24,1,1282,4139,51
10807,北部航務中心,漁船,126,37,1,1696,5223,52
10809,北部航務中心,漁船,45,13,1,781,2419,33
10810,北部航務中心,漁船,167,50,1,591,1956,31
10812,北部航務中心,漁船,65,19,1,551,1816,26
10903,北部航務中心,漁船,66,20,1,1973,6196,48
10904,北部航務中心,漁船,71,21,1,1391,4429,52
10906,北部航務中心,漁船,49,14,1,1433,4667,58
10912,北部航務中心,漁船,42,12,1,371,1239,22
11003,北部航務中心,漁船,99,29,1,1383,4456,58
11005,北部航務中心,漁船,49,17,1,1354,4332,49
10102,北部航務中心,漁船,293,84,2,1221,3584,32
10204,北部航務中心,漁船,114,34,2,847,2501,35
10205,北部航務中心,漁船,183,54,2,1217,3805,53
10210,北部航務中心,漁船,77,32,2,1145,3128,29
10306,北部航務中心,漁船,105,31,2,1221,3775,44
10307,北部航務中心,漁船,92,30,2,2013,5580,42
10308,北部航務中心,漁船,107,31,2,1353,4020,27
10410,北部航務中心,漁船,148,52,2,708,2161,26
10502,北部航務中心,漁船,174,51,2,321,1096,17
10503,北部航務中心,漁船,166,49,2,1277,3885,46
10505,北部航務中心,漁船,132,39,2,1061,3451,45
10506,北部航務中心,漁船,114,34,2,1171,3496,45
10508,北部航務中心,漁船,86,34,2,1291,3795,45
10705,北部航務中心,漁船,105,31,2,1714,5508,72
10808,北部航務中心,漁船,81,24,2,1049,2991,26
10811,北部航務中心,漁船,95,38,2,1184,3228,25
10905,北部航務中心,漁船,96,31,2,1006,3233,49
11004,北部航務中心,漁船,190,56,2,1501,4574,54
11006,北部航務中心,漁船,141,41,2,1842,5664,67
10007,北部航務中心,漁船,144,42,3,883,2781,34
10206,北部航務中心,漁船,269,79,3,939,2913,39
10211,北部航務中心,漁船,277,87,3,1113,3340,39
10305,北部航務中心,漁船,128,40,3,1265,3977,58
10712,北部航務中心,漁船,263,78,3,592,1985,23
10908,北部航務中心,漁船,261,78,3,1045,3360,41
10509,北部航務中心,漁船,317,93,5,432,1374,22
10510,北部航務中心,漁船,580,172,5,1026,3213,38
10601,北部航務中心,漁船,468,139,5,630,1985,27
10406,北部航務中心,漁船,355,116,6,1425,4166,51
10001,中部航務中心,漁船,0,0,0,42,144,2
10002,中部航務中心,漁船,0,0,0,53,181,3
10004,中部航務中心,漁船,0,0,0,180,558,8
10006,中部航務中心,漁船,0,0,0,160,486,9
10007,中部航務中心,漁船,0,0,0,57,174,3
10009,中部航務中心,漁船,0,0,0,207,630,7
10010,中部航務中心,漁船,0,0,0,165,508,10
10101,中部航務中心,漁船,0,0,0,32,107,1
10102,中部航務中心,漁船,0,0,0,105,352,6
10104,中部航務中心,漁船,0,0,0,44,150,2
10106,中部航務中心,漁船,0,0,0,375,1206,18
10107,中部航務中心,漁船,0,0,0,118,354,7
10108,中部航務中心,漁船,0,0,0,103,309,4
10110,中部航務中心,漁船,0,0,0,150,404,8
10111,中部航務中心,漁船,0,0,0,129,389,8
10201,中部航務中心,漁船,0,0,0,54,185,3
10204,中部航務中心,漁船,0,0,0,150,485,8
10205,中部航務中心,漁船,0,0,0,300,895,15
10206,中部航務中心,漁船,0,0,0,249,773,12
10207,中部航務中心,漁船,0,0,0,223,665,10
10208,中部航務中心,漁船,0,0,0,43,144,3
10302,中部航務中心,漁船,0,0,0,92,316,5
10303,中部航務中心,漁船,0,0,0,104,320,6
10305,中部航務中心,漁船,0,0,0,227,744,13
10306,中部航務中心,漁船,0,0,0,185,592,8
10307,中部航務中心,漁船,0,0,0,130,410,6
10308,中部航務中心,漁船,0,0,0,130,366,7
10309,中部航務中心,漁船,0,0,0,234,680,13
10310,中部航務中心,漁船,0,0,0,173,532,10
10311,中部航務中心,漁船,0,0,0,78,259,4
10312,中部航務中心,漁船,0,0,0,40,115,3
10401,中部航務中心,漁船,0,0,0,135,389,9
10402,中部航務中心,漁船,0,0,0,83,277,2
10403,中部航務中心,漁船,0,0,0,144,494,8
10404,中部航務中心,漁船,0,0,0,237,767,11
10405,中部航務中心,漁船,0,0,0,110,357,6
10406,中部航務中心,漁船,0,0,0,145,466,7
10408,中部航務中心,漁船,0,0,0,167,423,11
10409,中部航務中心,漁船,0,0,0,81,216,4
10412,中部航務中心,漁船,0,0,0,44,151,3
10502,中部航務中心,漁船,0,0,0,61,181,3
10504,中部航務中心,漁船,0,0,0,244,793,13
10505,中部航務中心,漁船,0,0,0,272,904,13
10506,中部航務中心,漁船,0,0,0,168,544,8
10507,中部航務中心,漁船,0,0,0,155,528,8
10509,中部航務中心,漁船,0,0,0,57,162,3
10510,中部航務中心,漁船,0,0,0,100,345,7
10512,中部航務中心,漁船,0,0,0,139,443,8
10601,中部航務中心,漁船,0,0,0,92,296,4
10602,中部航務中心,漁船,0,0,0,43,145,2
10603,中部航務中心,漁船,0,0,0,101,344,6
10604,中部航務中心,漁船,0,0,0,80,276,4
10605,中部航務中心,漁船,0,0,0,227,683,12
10606,中部航務中心,漁船,0,0,0,251,736,13
10608,中部航務中心,漁船,0,0,0,99,298,6
10610,中部航務中心,漁船,0,0,0,271,841,13
10612,中部航務中心,漁船,0,0,0,77,262,5
10703,中部航務中心,漁船,0,0,0,57,195,4
10704,中部航務中心,漁船,0,0,0,179,568,8
10705,中部航務中心,漁船,0,0,0,246,771,12
10707,中部航務中心,漁船,0,0,0,169,528,10
10708,中部航務中心,漁船,0,0,0,173,532,9
10709,中部航務中心,漁船,0,0,0,215,643,12
10710,中部航務中心,漁船,0,0,0,97,267,6
10711,中部航務中心,漁船,0,0,0,109,287,6
10712,中部航務中心,漁船,0,0,0,58,198,4
10801,中部航務中心,漁船,0,0,0,55,189,4
10803,中部航務中心,漁船,0,0,0,23,79,1
10804,中部航務中心,漁船,0,0,0,289,969,14
10805,中部航務中心,漁船,0,0,0,315,1010,16
10806,中部航務中心,漁船,0,0,0,239,751,13
10807,中部航務中心,漁船,0,0,0,220,652,12
10808,中部航務中心,漁船,0,0,0,188,547,11
10809,中部航務中心,漁船,0,0,0,110,305,6
10810,中部航務中心,漁船,0,0,0,125,322,6
10811,中部航務中心,漁船,0,0,0,121,410,6
10812,中部航務中心,漁船,0,0,0,118,337,8
10901,中部航務中心,漁船,0,0,0,97,259,4
10902,中部航務中心,漁船,0,0,0,37,126,2
10903,中部航務中心,漁船,0,0,0,133,437,8
10904,中部航務中心,漁船,0,0,0,378,1252,20
10905,中部航務中心,漁船,0,0,0,202,661,8
10906,中部航務中心,漁船,0,0,0,266,785,13
10907,中部航務中心,漁船,0,0,0,107,312,8
10908,中部航務中心,漁船,0,0,0,203,598,10
10909,中部航務中心,漁船,0,0,0,85,225,5
10910,中部航務中心,漁船,0,0,0,115,355,6
10911,中部航務中心,漁船,0,0,0,114,353,8
10912,中部航務中心,漁船,0,0,0,191,570,8
11001,中部航務中心,漁船,0,0,0,49,168,3
11002,中部航務中心,漁船,0,0,0,14,46,1
11003,中部航務中心,漁船,0,0,0,102,350,7
11004,中部航務中心,漁船,0,0,0,87,270,5
11006,中部航務中心,漁船,0,0,0,232,669,14
10802,中部航務中心,漁船,43,13,1,184,623,8
11005,中部航務中心,漁船,27,8,1,419,1326,17
10008,東部航務中心,拖駁船,0,0,0,202,676,2
10103,東部航務中心,拖駁船,0,0,0,323,1077,3
10104,東部航務中心,拖駁船,0,0,0,120,400,1
10110,東部航務中心,拖駁船,0,0,0,104,347,1
10201,東部航務中心,拖駁船,0,0,0,240,800,2
10203,東部航務中心,拖駁船,0,0,0,102,442,2
10209,東部航務中心,拖駁船,0,0,0,56,185,1
10211,東部航務中心,拖駁船,0,0,0,501,1671,4
10212,東部航務中心,拖駁船,0,0,0,83,277,1
10305,東部航務中心,拖駁船,0,0,0,106,354,1
10307,東部航務中心,拖駁船,0,0,0,202,676,2
10308,東部航務中心,拖駁船,0,0,0,39,130,1
10310,東部航務中心,拖駁船,0,0,0,106,354,1
10312,東部航務中心,拖駁船,0,0,0,203,677,2
10401,東部航務中心,拖駁船,0,0,0,240,800,2
10408,東部航務中心,拖駁船,0,0,0,137,459,2
10409,東部航務中心,拖駁船,0,0,0,104,347,1
10410,東部航務中心,拖駁船,0,0,0,121,404,1
10501,東部航務中心,拖駁船,0,0,0,323,1077,3
10502,東部航務中心,拖駁船,0,0,0,120,400,1
10505,東部航務中心,拖駁船,0,0,0,39,130,1
10507,東部航務中心,拖駁船,0,0,0,98,329,1
10510,東部航務中心,拖駁船,0,0,0,121,404,1
10512,東部航務中心,拖駁船,0,0,0,120,400,1
10601,東部航務中心,拖駁船,0,0,0,346,1154,3
10605,東部航務中心,拖駁船,0,0,0,39,130,1
10608,東部航務中心,拖駁船,0,0,0,98,329,1
10612,東部航務中心,拖駁船,0,0,0,360,1200,3
10701,東部航務中心,拖駁船,0,0,0,141,471,1
10704,東部航務中心,拖駁船,0,0,0,39,130,1
10711,東部航務中心,拖駁船,0,0,0,83,277,1
10712,東部航務中心,拖駁船,0,0,0,128,427,2
10801,東部航務中心,拖駁船,0,0,0,240,800,2
10804,東部航務中心,拖駁船,0,0,0,39,130,1
10808,東部航務中心,拖駁船,0,0,0,112,374,2
10810,東部航務中心,拖駁船,0,0,0,98,329,1
10811,東部航務中心,拖駁船,0,0,0,83,277,1
10903,東部航務中心,拖駁船,0,0,0,360,1200,3
10904,東部航務中心,拖駁船,0,0,0,39,130,1
10907,東部航務中心,拖駁船,0,0,0,124,415,1
10908,東部航務中心,拖駁船,0,0,0,104,347,1
10911,東部航務中心,拖駁船,0,0,0,98,329,1
10912,東部航務中心,拖駁船,0,0,0,218,729,2
11001,東部航務中心,拖駁船,0,0,0,343,1142,3
11006,東部航務中心,拖駁船,0,0,0,39,130,1
10001,南部航務中心,拖駁船,0,0,0,260,872,2
10002,南部航務中心,拖駁船,0,0,0,71,239,1
10003,南部航務中心,拖駁船,0,0,0,1041,2520,5
10008,南部航務中心,拖駁船,0,0,0,771,2412,11
10010,南部航務中心,拖駁船,0,0,0,275,1021,4
10012,南部航務中心,拖駁船,0,0,0,511,1751,5
10102,南部航務中心,拖駁船,0,0,0,458,1520,6
10103,南部航務中心,拖駁船,0,0,0,595,1989,5
10106,南部航務中心,拖駁船,0,0,0,264,885,4
10108,南部航務中心,拖駁船,0,0,0,295,931,5
10109,南部航務中心,拖駁船,0,0,0,468,1321,4
10110,南部航務中心,拖駁船,0,0,0,220,734,2
10112,南部航務中心,拖駁船,0,0,0,295,879,5
10204,南部航務中心,拖駁船,0,0,0,578,2059,7
10205,南部航務中心,拖駁船,0,0,0,446,1359,5
10207,南部航務中心,拖駁船,0,0,0,415,1243,7
10208,南部航務中心,拖駁船,0,0,0,702,1936,8
