時間,國內港,地區別,貨物別,價值(新臺幣千元),重量(公噸)
100年01月,馬祖港,中國大陸,動物產品,2606,23
100年01月,馬祖港,亞洲其他地區,動物產品,102,3
100年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",562,869
100年01月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",257,7
100年01月,馬祖港,中國大陸,植物產品,212,5
100年01月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",84,1
100年01月,馬祖港,亞洲其他地區,"調製食品,飲料,煙酒類",107,1
100年01月,馬祖港,中國大陸,礦產品,1309,8420
100年01月,馬祖港,中國大陸,化學或有關工業產品,5811,7
100年01月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",84,14
100年02月,馬祖港,中國大陸,動物產品,429,7
100年02月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",437,742
100年02月,馬祖港,中國大陸,植物產品,147,4
100年02月,馬祖港,中國大陸,礦產品,505,3340
100年03月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",71,3
100年03月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",33,1
100年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",28,33
100年03月,馬祖港,中國大陸,卑金屬及其製品,1745,5
100年03月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",277,1
100年03月,馬祖港,中國大陸,車輛航空器船舶運輸設備,96,1
100年03月,馬祖港,亞洲其他地區,車輛航空器船舶運輸設備,276,3
100年03月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",70,1
100年03月,馬祖港,中國大陸,藝術品古董,12,1
100年03月,馬祖港,中國大陸,礦產品,383,2480
100年04月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",38,1
100年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",134,203
100年04月,馬祖港,中國大陸,卑金屬及其製品,108,1
100年04月,馬祖港,中國大陸,植物產品,74,2
100年04月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",100,1
100年04月,馬祖港,中國大陸,礦產品,750,4870
100年04月,馬祖港,中國大陸,化學或有關工業產品,184,1
100年04月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",95,9
100年05月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",186,1
100年05月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",388,360
100年05月,馬祖港,中國大陸,卑金屬及其製品,1085,3
100年05月,馬祖港,中國大陸,植物產品,134,4
100年05月,馬祖港,中國大陸,礦產品,1226,8130
100年05月,馬祖港,中國大陸,化學或有關工業產品,466,2
100年06月,馬祖港,中國大陸,紡織品及其製品,28,2
100年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",107,75
100年06月,馬祖港,中國大陸,卑金屬及其製品,25,1
100年06月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",74,1
100年06月,馬祖港,中國大陸,植物產品,23,1
100年06月,馬祖港,中國大陸,礦產品,119,800
100年07月,馬祖港,亞洲其他地區,動物產品,107,4
100年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",1330,1963
100年07月,馬祖港,中國大陸,卑金屬及其製品,274,1
100年07月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",439,6
100年07月,馬祖港,中國大陸,車輛航空器船舶運輸設備,142,2
100年07月,馬祖港,中國大陸,植物產品,231,6
100年07月,馬祖港,中國大陸,礦產品,1934,12903
100年07月,馬祖港,中國大陸,化學或有關工業產品,778,1
100年07月,馬祖港,中國大陸,塑膠橡膠及其製品,312,3
100年07月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",26,2
100年07月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",443,17
100年10月,馬祖港,亞洲其他地區,動物產品,169,5
100年10月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",100,1
100年10月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",858,1172
100年10月,馬祖港,亞洲其他地區,"石料水泥石棉等材料之製品,陶瓷,玻璃",110,5
100年10月,馬祖港,中國大陸,卑金屬及其製品,386,9
100年10月,馬祖港,亞洲其他地區,卑金屬及其製品,121,3
100年10月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",537,5
100年10月,馬祖港,亞洲其他地區,"機械用具電機設備,電視影像錄音機",144,5
100年10月,馬祖港,中國大陸,車輛航空器船舶運輸設備,344,1
100年10月,馬祖港,亞洲其他地區,車輛航空器船舶運輸設備,87,1
100年10月,馬祖港,中國大陸,植物產品,50,1
100年10月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",1291,8
100年10月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",506,9
100年10月,馬祖港,中國大陸,礦產品,11098,47661
100年10月,馬祖港,中國大陸,塑膠橡膠及其製品,577,12
100年10月,馬祖港,亞洲其他地區,塑膠橡膠及其製品,66,3
100年10月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",676,18
100年10月,馬祖港,亞洲其他地區,"皮革毛衣及其製品,旅行用物品",85,3
100年10月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",165,12
100年11月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",87,1
100年11月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",896,841
100年11月,馬祖港,中國大陸,卑金屬及其製品,131,1
100年11月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",403,4
100年11月,馬祖港,中國大陸,植物產品,81,1
100年11月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",261,1
100年11月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",592,10
100年11月,馬祖港,中國大陸,礦產品,14384,47680
100年11月,馬祖港,中國大陸,化學或有關工業產品,25,1
100年11月,馬祖港,中國大陸,塑膠橡膠及其製品,213,7
100年11月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",339,10
100年11月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",112,11
100年12月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",285,5
100年12月,馬祖港,中國大陸,紡織品及其製品,330,4
100年12月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",584,387
100年12月,馬祖港,中國大陸,卑金屬及其製品,7041,71
100年12月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",197,1
100年12月,馬祖港,中國大陸,車輛航空器船舶運輸設備,200,2
100年12月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",142,1
100年12月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",334,5
100年12月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",599,10
100年12月,馬祖港,中國大陸,礦產品,18284,65958
100年12月,馬祖港,中國大陸,塑膠橡膠及其製品,158,13
100年12月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",400,4
100年12月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",50,1
101年01月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",2,1
101年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",217,241
101年01月,馬祖港,中國大陸,卑金屬及其製品,54,1
101年01月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",72,1
101年01月,馬祖港,中國大陸,礦產品,12289,40711
101年01月,馬祖港,中國大陸,塑膠橡膠及其製品,219,5
101年02月,馬祖港,中國大陸,動物產品,392,5
101年02月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",26,3
101年02月,馬祖港,中國大陸,紡織品及其製品,139,1
101年02月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",464,472
101年02月,馬祖港,中國大陸,卑金屬及其製品,186,5
101年02月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",130,1
101年02月,馬祖港,中國大陸,植物產品,67,2
101年02月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",67,1
101年02月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",581,10
101年02月,馬祖港,中國大陸,礦產品,12654,41441
101年02月,馬祖港,中國大陸,塑膠橡膠及其製品,89,5
101年02月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",84,1
101年03月,馬祖港,中國大陸,動物產品,26,1
101年03月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",44,4
101年03月,馬祖港,中國大陸,紡織品及其製品,141,2
101年03月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",334,2
101年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",346,325
101年03月,馬祖港,中國大陸,卑金屬及其製品,813,12
101年03月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",479,8
101年03月,馬祖港,中國大陸,車輛航空器船舶運輸設備,95,1
101年03月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",359,2
101年03月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",1099,19
101年03月,馬祖港,中國大陸,礦產品,19107,63137
101年03月,馬祖港,中國大陸,化學或有關工業產品,41,1
101年03月,馬祖港,中國大陸,塑膠橡膠及其製品,375,4
101年03月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",197,2
101年04月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",57,1
101年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",127,122
101年04月,馬祖港,中國大陸,卑金屬及其製品,209,1
101年04月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",193,2
101年04月,馬祖港,中國大陸,車輛航空器船舶運輸設備,636,2
101年04月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",559,9
101年04月,馬祖港,中國大陸,礦產品,15586,51035
101年04月,馬祖港,中國大陸,塑膠橡膠及其製品,111,3
101年04月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",109,1
101年05月,馬祖港,亞洲其他地區,動物產品,97,5
101年05月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",237,1
101年05月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",405,438
101年05月,馬祖港,中國大陸,卑金屬及其製品,328,5
101年05月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",358,4
101年05月,馬祖港,中國大陸,車輛航空器船舶運輸設備,90,1
101年05月,馬祖港,中國大陸,植物產品,74,1
101年05月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",101,1
101年05月,馬祖港,亞洲其他地區,"調製食品,飲料,煙酒類",18,1
101年05月,馬祖港,中國大陸,礦產品,24769,82858
101年05月,馬祖港,中國大陸,化學或有關工業產品,131,13
101年05月,馬祖港,中國大陸,塑膠橡膠及其製品,442,6
101年05月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",428,1
101年05月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",218,2
101年06月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",46,3
101年06月,馬祖港,中國大陸,紡織品及其製品,524,3
101年06月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",359,3
101年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",188,203
101年06月,馬祖港,中國大陸,卑金屬及其製品,479,8
101年06月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",357,2
101年06月,馬祖港,中國大陸,車輛航空器船舶運輸設備,192,1
101年06月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",358,4
101年06月,馬祖港,中國大陸,礦產品,14904,48338
101年06月,馬祖港,中國大陸,化學或有關工業產品,40,1
101年06月,馬祖港,中國大陸,塑膠橡膠及其製品,649,11
101年06月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",422,7
101年06月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",27,1
101年07月,馬祖港,中國大陸,紡織品及其製品,268,2
101年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",453,448
101年07月,馬祖港,中國大陸,卑金屬及其製品,338,9
101年07月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",249,4
101年07月,馬祖港,中國大陸,車輛航空器船舶運輸設備,188,1
101年07月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",324,2
101年07月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",153,7
101年07月,馬祖港,中國大陸,礦產品,21584,70262
101年07月,馬祖港,中國大陸,化學或有關工業產品,20,1
101年07月,馬祖港,中國大陸,塑膠橡膠及其製品,200,8
101年07月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",214,8
101年07月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",207,8
101年08月,馬祖港,中國大陸,紡織品及其製品,60,1
101年08月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",8,7
101年08月,馬祖港,中國大陸,卑金屬及其製品,62,2
101年08月,馬祖港,中國大陸,礦產品,13831,43310
101年08月,馬祖港,中國大陸,化學或有關工業產品,1,1
101年08月,馬祖港,中國大陸,塑膠橡膠及其製品,20,2
101年08月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",115,3
101年09月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",342,377
101年09月,馬祖港,中國大陸,礦產品,2656,9579
101年10月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",616,353
101年10月,馬祖港,中國大陸,卑金屬及其製品,10562,180
101年10月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",856,3
101年10月,馬祖港,中國大陸,礦產品,3731,15749
101年10月,馬祖港,中國大陸,化學或有關工業產品,1099,4
101年11月,馬祖港,中國大陸,動物產品,109,3
101年11月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",564,566
101年11月,馬祖港,中國大陸,卑金屬及其製品,43,1
101年11月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",75,1
101年11月,馬祖港,中國大陸,礦產品,2908,12413
101年11月,馬祖港,中國大陸,塑膠橡膠及其製品,119,7
101年11月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",118,8
101年11月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",105,5
101年12月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",99,3
101年12月,馬祖港,中國大陸,紡織品及其製品,99,3
101年12月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",516,546
101年12月,馬祖港,中國大陸,卑金屬及其製品,290,7
101年12月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",145,4
101年12月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",202,5
101年12月,馬祖港,中國大陸,礦產品,3813,15425
101年12月,馬祖港,中國大陸,化學或有關工業產品,65,2
101年12月,馬祖港,中國大陸,塑膠橡膠及其製品,198,11
101年12月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",274,10
101年12月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",114,6
102年01月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",84,3
102年01月,馬祖港,中國大陸,紡織品及其製品,53,2
102年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",123,119
102年01月,馬祖港,中國大陸,卑金屬及其製品,117,6
102年01月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",740,14
102年01月,馬祖港,中國大陸,植物產品,38,1
102年01月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",131,6
102年01月,馬祖港,中國大陸,礦產品,1728,7128
102年01月,馬祖港,中國大陸,化學或有關工業產品,43,3
102年01月,馬祖港,中國大陸,塑膠橡膠及其製品,101,2
102年01月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",131,11
102年01月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",183,14
102年02月,馬祖港,中國大陸,礦產品,768,3240
102年03月,馬祖港,中國大陸,紡織品及其製品,65,1
102年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",231,243
102年03月,馬祖港,中國大陸,卑金屬及其製品,92,1
102年03月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",98,3
102年03月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",110,3
102年03月,馬祖港,中國大陸,礦產品,4002,12067
102年03月,馬祖港,中國大陸,化學或有關工業產品,197,2
102年03月,馬祖港,中國大陸,塑膠橡膠及其製品,51,3
102年03月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",75,3
102年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",229,226
102年04月,馬祖港,中國大陸,卑金屬及其製品,140,4
102年04月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",935,23
102年04月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",86,1
102年04月,馬祖港,中國大陸,礦產品,2089,8722
102年04月,馬祖港,中國大陸,塑膠橡膠及其製品,84,4
102年04月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",85,1
102年05月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",21,1
102年05月,馬祖港,中國大陸,紡織品及其製品,78,2
102年05月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",55,1
102年05月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",410,153
102年05月,馬祖港,中國大陸,卑金屬及其製品,231,4
102年05月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",232,6
102年05月,馬祖港,中國大陸,礦產品,3857,12633
102年05月,馬祖港,中國大陸,塑膠橡膠及其製品,343,3
102年05月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",101,2
102年05月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",110,1
102年06月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",128,6
102年06月,馬祖港,中國大陸,紡織品及其製品,73,1
102年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",151,104
102年06月,馬祖港,中國大陸,卑金屬及其製品,212,2
102年06月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",333,3
102年06月,馬祖港,中國大陸,植物產品,36,1
102年06月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",202,3
102年06月,馬祖港,中國大陸,藝術品古董,7,1
102年06月,馬祖港,中國大陸,礦產品,1522,5610
102年06月,馬祖港,中國大陸,化學或有關工業產品,60,2
102年06月,馬祖港,中國大陸,塑膠橡膠及其製品,364,2
102年06月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",149,2
102年06月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",12,1
102年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",491,242
102年07月,馬祖港,中國大陸,卑金屬及其製品,284,3
102年07月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",189,2
102年07月,馬祖港,中國大陸,車輛航空器船舶運輸設備,47,1
102年07月,馬祖港,中國大陸,植物產品,72,1
102年07月,馬祖港,中國大陸,礦產品,3027,12600
102年07月,馬祖港,中國大陸,化學或有關工業產品,73,1
102年07月,馬祖港,中國大陸,塑膠橡膠及其製品,181,2
102年07月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",116,1
102年08月,馬祖港,中國大陸,動物產品,100,4
102年08月,馬祖港,中國大陸,紡織品及其製品,101,1
102年08月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",287,150
102年08月,馬祖港,中國大陸,卑金屬及其製品,239,2
102年08月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",275,3
102年08月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",265,3
102年08月,馬祖港,中國大陸,礦產品,1717,7167
102年08月,馬祖港,中國大陸,塑膠橡膠及其製品,496,6
102年08月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",352,6
102年08月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",71,1
102年09月,馬祖港,中國大陸,紡織品及其製品,149,1
102年09月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",51,1
102年09月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",138,89
102年09月,馬祖港,中國大陸,卑金屬及其製品,297,3
102年09月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",199,1
102年09月,馬祖港,中國大陸,礦產品,2295,9593
102年09月,馬祖港,中國大陸,化學或有關工業產品,62,2
102年09月,馬祖港,中國大陸,塑膠橡膠及其製品,459,2
102年09月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",242,6
102年09月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",42,2
102年10月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",46,1
102年10月,馬祖港,中國大陸,紡織品及其製品,137,1
102年10月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",285,234
102年10月,馬祖港,中國大陸,卑金屬及其製品,525,3
102年10月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",320,1
102年10月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",83,1
102年10月,馬祖港,中國大陸,礦產品,1869,7919
102年10月,馬祖港,中國大陸,化學或有關工業產品,44,1
102年10月,馬祖港,中國大陸,塑膠橡膠及其製品,515,8
102年10月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",389,5
102年10月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",130,4
102年11月,馬祖港,中國大陸,動物產品,150,9
102年11月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",436,222
102年11月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",267,2
102年11月,馬祖港,中國大陸,礦產品,1699,7206
102年11月,馬祖港,中國大陸,塑膠橡膠及其製品,500,6
102年11月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",582,10
102年11月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",201,11
102年12月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",335,312
102年12月,馬祖港,中國大陸,卑金屬及其製品,288,1
102年12月,馬祖港,中國大陸,礦產品,2112,8910
102年12月,馬祖港,中國大陸,化學或有關工業產品,15,1
102年12月,馬祖港,中國大陸,塑膠橡膠及其製品,372,2
102年12月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",618,9
102年12月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",80,6
103年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",660,540
103年01月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",473,4
103年01月,馬祖港,中國大陸,礦產品,2313,9619
103年01月,馬祖港,中國大陸,塑膠橡膠及其製品,106,1
103年01月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",145,7
103年02月,馬祖港,中國大陸,礦產品,1760,7252
103年02月,馬祖港,中國大陸,化學或有關工業產品,25,1
103年03月,馬祖港,中國大陸,紡織品及其製品,70,1
103年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",494,526
103年03月,馬祖港,中國大陸,卑金屬及其製品,397,4
103年03月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",201,1
103年03月,馬祖港,中國大陸,礦產品,2726,11209
103年03月,馬祖港,中國大陸,化學或有關工業產品,66,1
103年03月,馬祖港,中國大陸,塑膠橡膠及其製品,367,1
103年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",155,155
103年04月,馬祖港,中國大陸,礦產品,2960,12184
103年05月,馬祖港,中國大陸,礦產品,1569,6480
103年06月,馬祖港,中國大陸,動物產品,103,5
103年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",359,397
103年06月,馬祖港,中國大陸,礦產品,4265,17708
103年07月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",81,2
103年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",352,214
103年07月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",3652,25
103年07月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",4793,1
103年07月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",187,2
103年07月,馬祖港,中國大陸,礦產品,1506,6265
103年07月,馬祖港,中國大陸,化學或有關工業產品,5077,6
103年08月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",244,271
103年08月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",393,6
103年08月,馬祖港,中國大陸,礦產品,2837,11789
103年09月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",722,752
103年09月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",1834,12
103年09月,馬祖港,中國大陸,車輛航空器船舶運輸設備,739,7
103年09月,馬祖港,中國大陸,礦產品,2428,10101
103年09月,馬祖港,中國大陸,化學或有關工業產品,99,2
103年09月,馬祖港,中國大陸,塑膠橡膠及其製品,1249,12
103年09月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",56,7
103年10月,馬祖港,中國大陸,礦產品,394,1620
103年11月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",702,736
103年11月,馬祖港,中國大陸,礦產品,2346,9603
103年12月,馬祖港,中國大陸,動物產品,56,1
103年12月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",178,127
103年12月,馬祖港,中國大陸,礦產品,1723,6928
103年12月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",640,22
104年01月,馬祖港,中國大陸,動物產品,119,5
104年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",140,103
104年01月,馬祖港,中國大陸,卑金屬及其製品,34,1
104年01月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",22,1
104年01月,馬祖港,中國大陸,礦產品,1210,4747
104年01月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",187,5
104年02月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",432,331
104年02月,馬祖港,中國大陸,礦產品,808,3222
104年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",1,1
104年03月,馬祖港,中國大陸,礦產品,1023,4049
104年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",94,98
104年04月,馬祖港,中國大陸,礦產品,788,3142
104年05月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",326,346
104年05月,馬祖港,中國大陸,礦產品,2382,9720
104年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",114,110
104年06月,馬祖港,中國大陸,礦產品,581,2343
104年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",725,735
104年07月,馬祖港,中國大陸,礦產品,748,3013
104年08月,馬祖港,中國大陸,礦產品,1236,4860
104年09月,馬祖港,中國大陸,動物產品,72,2
104年09月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",652,658
104年09月,馬祖港,中國大陸,礦產品,2440,9356
104年10月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",213,205
104年10月,馬祖港,中國大陸,礦產品,3105,11831
104年11月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",330,320
