時間(年月),海域位置,港口位置,港口名稱,船籍別,船舶用途名稱,船難類別,發生次數
10710,其他,其他,其他,外輪,漁船,非常變故,3
10710,我國海域,港區內,高雄港,國輪,其他,失火,2
10710,我國海域,港區內,臺中港,國輪,其他,其他,1
10711,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
10711,其他,其他,其他,國輪,商船,機器故障,1
10711,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,2
10711,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
10711,我國海域,港區內,高雄港,外輪,漁船,機器故障,1
10711,其他,其他,其他,外輪,漁船,兩船碰撞,1
10711,其他,其他,其他,外輪,漁船,非常變故,2
10711,我國海域,港區內,蘇澳港,國輪,其他,兩船碰撞,1
10711,我國海域,港區內,臺中港,國輪,其他,兩船碰撞,1
10712,其他,其他,其他,國輪,商船,失火,1
10712,我國海域,港區內,高雄港,國輪,商船,失火,1
10712,其他,其他,其他,國輪,商船,失火,1
10712,其他,其他,其他,國輪,商船,兩船碰撞,2
10712,其他,其他,其他,國輪,商船,其他,1
10712,其他,其他,其他,國輪,商船,失火,1
10712,我國海域,港區內,臺中港,國輪,漁船,,1
10712,我國海域,港區內,臺中港,國輪,漁船,其他,1
10712,我國海域,港區內,基隆港,外輪,漁船,兩船碰撞,1
10712,其他,其他,其他,外輪,漁船,兩船碰撞,1
10712,其他,其他,其他,外輪,漁船,非常變故,1
10712,其他,其他,其他,外輪,漁船,非常變故,1
10712,其他,其他,其他,外輪,漁船,兩船碰撞,1
10712,我國海域,港區內,基隆港,國輪,其他,機器故障,1
10712,我國海域,港區內,基隆港,國輪,其他,其他,1
10712,我國海域,港區內,基隆港,外輪,其他,觸礁或擱淺,1
10801,其他,其他,其他,國輪,商船,失火,1
10801,其他,其他,其他,國輪,商船,兩船碰撞,1
10801,其他,其他,其他,國輪,商船,兩船碰撞,1
10801,我國海域,港區內,高雄港,國輪,商船,其他,1
10801,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
10801,其他,其他,其他,國輪,商船,失火,1
10801,其他,其他,其他,國輪,商船,兩船碰撞,1
10801,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10801,其他,其他,其他,國輪,商船,兩船碰撞,1
10801,其他,其他,其他,國輪,商船,其他,1
10801,其他,其他,其他,國輪,商船,機器故障,1
10801,我國海域,港區內,高雄港,外輪,漁船,非常變故,1
10801,我國海域,港區內,高雄港,外輪,漁船,其他,1
10801,我國海域,港區內,台北港,外輪,漁船,其他,1
10801,我國海域,港區內,臺中港,外輪,漁船,其他,1
10801,其他,其他,其他,國輪,漁船,其他,1
10801,其他,其他,其他,外輪,漁船,其他,1
10801,其他,其他,其他,外輪,漁船,兩船碰撞,1
10801,我國海域,港區內,臺中港,外輪,漁船,非常變故,1
10801,其他,其他,其他,國輪,漁船,其他,1
10801,其他,其他,其他,外輪,漁船,其他,1
10801,其他,其他,其他,外輪,漁船,非常變故,1
10801,其他,其他,其他,外輪,漁船,非常變故,1
10801,其他,其他,其他,國輪,漁船,兩船碰撞,1
10801,其他,其他,其他,外輪,漁船,非常變故,2
10801,其他,其他,其他,外輪,漁船,非常變故,1
10802,其他,其他,其他,國輪,商船,機器故障,1
10802,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10802,其他,其他,其他,國輪,商船,兩船碰撞,2
10802,其他,其他,其他,國輪,商船,其他,1
10802,其他,其他,其他,國輪,商船,失火,1
10802,其他,其他,其他,國輪,商船,機器故障,1
10802,其他,其他,其他,國輪,漁船,與其他物碰撞,1
10802,其他,其他,其他,外輪,漁船,非常變故,2
10802,我國海域,港區內,花蓮港,國輪,其他,與其他物碰撞,1
10803,其他,其他,其他,國輪,商船,其他,1
10803,其他,其他,其他,國輪,商船,其他,1
10803,其他,其他,其他,國輪,商船,兩船碰撞,1
10803,其他,其他,其他,國輪,商船,其他,1
10803,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
10803,其他,其他,其他,國輪,商船,失火,2
10803,其他,其他,其他,國輪,商船,其他,2
10803,我國海域,港區內,花蓮港,國輪,漁船,兩船碰撞,1
10803,我國海域,港區內,基隆港,外輪,漁船,兩船碰撞,1
10803,其他,其他,其他,國輪,漁船,其他,1
10803,其他,其他,其他,國輪,漁船,兩船碰撞,1
10803,我國海域,港區內,花蓮港,外輪,漁船,機器故障,1
10803,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
10803,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10803,我國海域,港區內,臺中港,外輪,漁船,非常變故,1
10803,其他,其他,其他,外輪,漁船,非常變故,2
10803,其他,其他,其他,外輪,漁船,非常變故,1
10803,其他,其他,其他,外輪,漁船,非常變故,2
10803,我國海域,港區內,花蓮港,國輪,其他,兩船碰撞,1
10804,其他,其他,其他,國輪,商船,其他,1
10804,其他,其他,其他,國輪,商船,其他,1
10804,其他,其他,其他,國輪,商船,其他,1
10804,其他,其他,其他,國輪,商船,機器故障,1
10804,其他,其他,其他,國輪,商船,其他,1
10804,其他,其他,其他,國輪,商船,兩船碰撞,1
10804,我國海域,港區內,安平港,國輪,商船,機器故障,1
10804,其他,其他,其他,國輪,商船,機器故障,1
10804,我國海域,港區內,高雄港,國輪,商船,其他,1
10804,其他,其他,其他,國輪,商船,其他,1
10804,我國海域,港區內,高雄港,國輪,商船,機器故障,1
10804,其他,其他,其他,國輪,漁船,與其他物碰撞,1
10804,我國海域,港區內,高雄港,外輪,漁船,與其他物碰撞,1
10804,我國海域,港區內,基隆港,外輪,漁船,其他,1
10804,其他,其他,其他,外輪,漁船,非常變故,3
10804,其他,其他,其他,外輪,漁船,其他,1
10804,其他,其他,其他,外輪,漁船,非常變故,2
10804,我國海域,港區內,安平港,國輪,其他,其他,1
10805,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10805,其他,其他,其他,國輪,商船,其他,1
10805,我國海域,港區內,蘇澳港,國輪,商船,其他,1
10805,其他,其他,其他,國輪,商船,其他,1
10805,其他,其他,其他,國輪,商船,其他,1
10805,其他,其他,其他,國輪,漁船,其他,1
10805,我國海域,港區內,臺中港,國輪,漁船,其他,1
10805,我國海域,港區內,高雄港,外輪,漁船,與其他物碰撞,1
10805,其他,其他,其他,外輪,漁船,與其他物碰撞,1
10805,我國海域,港區內,台北港,外輪,漁船,兩船碰撞,1
10805,其他,其他,其他,國輪,漁船,其他,1
10805,其他,其他,其他,國輪,漁船,機器故障,1
10805,其他,其他,其他,國輪,漁船,機器故障,1
10805,其他,其他,其他,外輪,漁船,非常變故,1
10805,其他,其他,其他,外輪,漁船,與其他物碰撞,1
10805,其他,其他,其他,外輪,漁船,非常變故,2
10807,其他,其他,其他,國輪,商船,其他,1
10807,我國海域,港區內,高雄港,國輪,商船,其他,1
10807,我國海域,港區內,安平港,國輪,商船,傾覆,1
10807,我國海域,港區內,基隆港,國輪,商船,其他,1
10807,我國海域,港區內,高雄港,國輪,商船,其他,1
10807,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,2
10807,其他,其他,其他,國輪,商船,機器故障,1
10807,其他,其他,其他,國輪,商船,其他,1
10807,其他,其他,其他,外輪,漁船,其他,1
10807,我國海域,港區內,基隆港,外輪,漁船,觸礁或擱淺,1
10807,我國海域,港區內,基隆港,外輪,漁船,與其他物碰撞,1
10807,我國海域,港區內,台北港,外輪,漁船,與其他物碰撞,1
10807,其他,其他,其他,國輪,漁船,機器故障,1
10807,其他,其他,其他,外輪,漁船,非常變故,2
10807,我國海域,港區內,臺中港,國輪,其他,與其他物碰撞,2
10808,其他,其他,其他,國輪,商船,其他,1
10808,其他,其他,其他,國輪,商船,其他,1
10808,其他,其他,其他,國輪,商船,其他,1
10808,其他,其他,其他,國輪,商船,失火,1
10808,我國海域,港區內,基隆港,國輪,商船,其他,1
10808,其他,其他,其他,國輪,商船,失火,1
10808,其他,其他,其他,國輪,商船,其他,1
10808,其他,其他,其他,國輪,漁船,觸礁或擱淺,1
10808,其他,其他,其他,國輪,漁船,觸礁或擱淺,1
10808,其他,其他,其他,國輪,漁船,機器故障,1
10808,其他,其他,其他,國輪,漁船,兩船碰撞,1
10808,我國海域,港區內,台北港,外輪,漁船,其他,1
10808,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10808,其他,其他,其他,外輪,漁船,非常變故,1
10808,其他,其他,其他,外輪,漁船,非常變故,1
10808,其他,其他,其他,外輪,漁船,非常變故,2
10808,我國海域,港區內,高雄港,國輪,其他,其他,1
10809,其他,其他,其他,國輪,商船,失火,1
10809,我國海域,港區內,高雄港,國輪,商船,其他,1
10809,其他,其他,其他,國輪,商船,失火,1
10809,我國海域,港區內,高雄港,國輪,商船,機器故障,1
10809,其他,其他,其他,國輪,商船,兩船碰撞,1
10809,我國海域,港區內,台北港,國輪,商船,失火,1
10809,我國海域,港區內,台北港,國輪,商船,機器故障,1
10809,其他,其他,其他,國輪,商船,機器故障,2
10809,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,2
10809,我國海域,港區內,蘇澳港,外輪,漁船,觸礁或擱淺,1
10809,我國海域,港區內,台北港,外輪,漁船,兩船碰撞,1
10809,我國海域,港區內,臺中港,外輪,漁船,其他,1
10809,我國海域,港區內,基隆港,外輪,漁船,機器故障,1
10809,我國海域,港區內,基隆港,外輪,漁船,非常變故,1
10809,其他,其他,其他,外輪,漁船,非常變故,1
10809,其他,其他,其他,外輪,漁船,非常變故,2
10809,其他,其他,其他,國輪,其他,觸礁或擱淺,1
10810,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
10810,其他,其他,其他,國輪,商船,其他,1
10810,我國海域,港區內,蘇澳港,國輪,商船,其他,1
10810,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10810,其他,其他,其他,國輪,商船,,1
10810,其他,其他,其他,國輪,商船,兩船碰撞,1
10810,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,1
10810,其他,其他,其他,國輪,漁船,觸礁或擱淺,1
10810,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
10810,其他,其他,其他,國輪,漁船,觸礁或擱淺,1
10810,其他,其他,其他,國輪,漁船,其他,1
10810,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10810,我國海域,港區內,臺中港,外輪,漁船,觸礁或擱淺,1
10810,其他,其他,其他,外輪,漁船,兩船碰撞,1
10810,其他,其他,其他,外輪,漁船,非常變故,2
10810,其他,其他,其他,外輪,漁船,其他,1
10810,其他,其他,其他,外輪,漁船,非常變故,3
10810,我國海域,港區內,蘇澳港,國輪,其他,兩船碰撞,1
10810,其他,其他,其他,外輪,其他,其他,1
10902,其他,其他,其他,國輪,商船,其他,1
10902,其他,其他,其他,國輪,商船,兩船碰撞,1
10902,其他,其他,其他,國輪,漁船,兩船碰撞,2
10902,我國海域,港區內,高雄港,外輪,漁船,其他,1
10902,其他,其他,其他,外輪,漁船,與其他物碰撞,1
10902,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10902,其他,其他,其他,外輪,漁船,機器故障,1
10902,其他,其他,其他,外輪,漁船,非常變故,2
10902,我國海域,港區內,高雄港,國輪,其他,其他,1
10902,其他,其他,其他,國輪,其他,其他,1
10903,我國海域,港區內,基隆港,國輪,商船,與其他物碰撞,1
10903,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
10903,我國海域,港區內,安平港,國輪,商船,其他,1
10903,我國海域,港區內,基隆港,國輪,商船,機器故障,1
10903,我國海域,港區內,高雄港,國輪,商船,其他,1
10903,其他,其他,其他,國輪,商船,兩船碰撞,1
10903,其他,其他,其他,國輪,商船,其他,1
10903,其他,其他,其他,國輪,商船,機器故障,1
10903,其他,其他,其他,國輪,商船,其他,1
10903,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,1
10903,我國海域,港區內,高雄港,國輪,漁船,與其他物碰撞,1
10903,其他,其他,其他,國輪,漁船,兩船碰撞,2
10903,我國海域,港區內,高雄港,外輪,漁船,與其他物碰撞,1
10903,我國海域,港區內,台北港,外輪,漁船,兩船碰撞,1
10903,我國海域,港區內,臺中港,外輪,漁船,非常變故,1
10903,我國海域,港區內,台北港,國輪,漁船,失火,1
10903,其他,其他,其他,國輪,漁船,其他,1
10903,其他,其他,其他,外輪,漁船,非常變故,1
10903,其他,其他,其他,外輪,漁船,非常變故,1
10903,其他,其他,其他,外輪,漁船,非常變故,1
10903,我國海域,港區內,台北港,國輪,其他,兩船碰撞,1
10903,我國海域,港區內,臺中港,國輪,其他,其他,1
10904,其他,其他,其他,國輪,商船,失火,1
10904,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10904,其他,其他,其他,國輪,商船,兩船碰撞,1
10904,其他,其他,其他,國輪,商船,兩船碰撞,1
10904,其他,其他,其他,國輪,商船,機器故障,1
10904,其他,其他,其他,國輪,商船,機器故障,1
10904,其他,其他,其他,外輪,商船,其他,1
10904,其他,其他,其他,國輪,漁船,兩船碰撞,1
10904,其他,其他,其他,國輪,漁船,觸礁或擱淺,1
10904,其他,其他,其他,國輪,漁船,與其他物碰撞,1
10904,我國海域,港區內,台北港,外輪,漁船,其他,1
10904,我國海域,港區內,台北港,外輪,漁船,其他,1
10904,我國海域,港區內,台北港,國輪,漁船,兩船碰撞,1
10904,其他,其他,其他,外輪,漁船,非常變故,2
10904,其他,其他,其他,國輪,其他,機器故障,1
10905,我國海域,港區內,花蓮港,國輪,商船,兩船碰撞,1
10905,其他,其他,其他,國輪,商船,機器故障,1
10905,我國海域,港區內,蘇澳港,國輪,商船,機器故障,1
10905,其他,其他,其他,國輪,商船,兩船碰撞,4
10905,其他,其他,其他,國輪,商船,其他,1
10905,其他,其他,其他,國輪,商船,機器故障,1
10905,我國海域,港區內,安平港,外輪,漁船,機器故障,1
10905,其他,其他,其他,外輪,漁船,其他,1
10905,我國海域,港區內,臺中港,外輪,漁船,與其他物碰撞,1
10905,其他,其他,其他,外輪,漁船,非常變故,2
10905,其他,其他,其他,國輪,其他,爆炸,1
10905,其他,其他,其他,國輪,其他,觸礁或擱淺,1
10905,其他,其他,其他,國輪,其他,機器故障,1
10906,其他,其他,其他,國輪,商船,失火,1
10906,其他,其他,其他,國輪,商船,非常變故,1
10906,其他,其他,其他,國輪,商船,失火,3
10906,其他,其他,其他,國輪,商船,失火,2
10906,其他,其他,其他,國輪,商船,兩船碰撞,1
10906,我國海域,港區內,高雄港,國輪,商船,機器故障,1
10906,其他,其他,其他,國輪,商船,其他,1
10906,我國海域,港區內,高雄港,國輪,漁船,與其他物碰撞,1
10906,我國海域,港區內,臺中港,國輪,漁船,兩船碰撞,1
10906,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,2
10906,我國海域,港區內,臺中港,外輪,漁船,與其他物碰撞,1
10806,其他,其他,其他,國輪,商船,兩船碰撞,1
10806,我國海域,港區內,高雄港,國輪,商船,傾覆,1
10806,其他,其他,其他,國輪,商船,失火,1
10806,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10806,其他,其他,其他,國輪,商船,失火,1
10806,其他,其他,其他,國輪,漁船,機器故障,1
10806,我國海域,港區內,台北港,國輪,漁船,兩船碰撞,1
10806,我國海域,港區內,高雄港,外輪,漁船,與其他物碰撞,1
10806,其他,其他,其他,國輪,漁船,其他,1
10806,其他,其他,其他,外輪,漁船,其他,2
10806,其他,其他,其他,外輪,漁船,非常變故,3
10806,其他,其他,其他,外輪,漁船,其他,1
10806,其他,其他,其他,國輪,其他,與其他物碰撞,1
10806,我國海域,港區內,台北港,國輪,其他,其他,1
10811,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
10811,我國海域,港區內,蘇澳港,國輪,商船,其他,1
10811,我國海域,港區內,蘇澳港,國輪,商船,機器故障,1
10811,我國海域,港區內,臺中港,國輪,商船,兩船碰撞,1
10811,其他,其他,其他,國輪,商船,失火,1
10811,其他,其他,其他,國輪,商船,兩船碰撞,1
10811,其他,其他,其他,國輪,商船,機器故障,1
10811,我國海域,港區內,基隆港,國輪,漁船,其他,1
10811,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,2
10811,我國海域,港區內,台北港,國輪,漁船,與其他物碰撞,1
10811,我國海域,港區內,基隆港,外輪,漁船,其他,1
10811,我國海域,港區內,臺中港,外輪,漁船,與其他物碰撞,1
10811,其他,其他,其他,國輪,漁船,其他,1
10811,其他,其他,其他,外輪,漁船,非常變故,4
10811,我國海域,港區內,基隆港,國輪,其他,其他,1
10811,我國海域,港區內,高雄港,國輪,其他,兩船碰撞,2
10811,我國海域,港區內,臺中港,國輪,其他,兩船碰撞,1
10812,其他,其他,其他,國輪,商船,兩船碰撞,1
10812,其他,其他,其他,國輪,商船,其他,1
10812,我國海域,港區內,安平港,國輪,商船,其他,1
10812,我國海域,港區內,蘇澳港,國輪,商船,兩船碰撞,1
10812,我國海域,港區內,蘇澳港,國輪,商船,機器故障,1
10812,其他,其他,其他,國輪,商船,機器故障,1
10812,其他,其他,其他,國輪,商船,其他,1
10812,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10812,其他,其他,其他,國輪,商船,機器故障,1
10812,其他,其他,其他,國輪,商船,失火,1
10812,其他,其他,其他,國輪,商船,機器故障,1
10812,我國海域,港區內,花蓮港,國輪,漁船,其他,1
10812,我國海域,港區內,花蓮港,國輪,漁船,兩船碰撞,2
10812,我國海域,港區內,臺中港,國輪,漁船,兩船碰撞,1
10812,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
10812,我國海域,港區內,臺中港,國輪,漁船,失火,1
10812,其他,其他,其他,外輪,漁船,非常變故,1
10812,我國海域,港區內,台北港,外輪,漁船,非常變故,1
10812,其他,其他,其他,外輪,漁船,非常變故,1
10812,其他,其他,其他,外輪,漁船,非常變故,1
10812,其他,其他,其他,國輪,漁船,兩船碰撞,1
10812,其他,其他,其他,外輪,漁船,非常變故,4
10812,我國海域,港區內,高雄港,外輪,其他,兩船碰撞,1
10901,其他,其他,其他,國輪,商船,其他,3
10901,我國海域,港區內,高雄港,國輪,商船,與其他物碰撞,1
10901,我國海域,港區內,安平港,國輪,商船,其他,1
10901,我國海域,港區內,花蓮港,國輪,商船,失火,1
10901,我國海域,港區內,高雄港,國輪,商船,失火,1
10901,其他,其他,其他,國輪,商船,機器故障,1
10901,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10901,其他,其他,其他,國輪,商船,失火,1
10901,其他,其他,其他,國輪,商船,非常變故,1
10901,其他,其他,其他,國輪,商船,其他,1
10901,其他,其他,其他,國輪,商船,機器故障,1
10901,我國海域,港區內,台北港,國輪,漁船,其他,2
10901,我國海域,港區內,基隆港,外輪,漁船,觸礁或擱淺,1
10901,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
10901,其他,其他,其他,國輪,漁船,機器故障,1
10901,我國海域,港區內,臺中港,外輪,漁船,機器故障,1
10901,其他,其他,其他,外輪,漁船,非常變故,3
10901,我國海域,港區內,高雄港,國輪,其他,兩船碰撞,2
10901,我國海域,港區內,臺中港,國輪,其他,其他,1
10906,其他,其他,其他,國輪,漁船,機器故障,1
10906,其他,其他,其他,外輪,漁船,非常變故,1
10906,其他,其他,其他,外輪,漁船,與其他物碰撞,1
10906,我國海域,港區內,花蓮港,國輪,其他,兩船碰撞,2
10906,其他,其他,其他,國輪,其他,其他,1
10906,我國海域,港區內,臺中港,國輪,其他,其他,1
10906,我國海域,港區內,臺中港,外輪,其他,兩船碰撞,1
10907,其他,其他,其他,國輪,商船,失火,1
10907,其他,其他,其他,國輪,商船,失火,1
10907,其他,其他,其他,國輪,商船,機器故障,1
10907,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10907,我國海域,港區內,基隆港,國輪,商船,其他,1
10907,我國海域,港區內,基隆港,國輪,商船,失火,1
10907,我國海域,港區內,高雄港,國輪,商船,機器故障,1
10907,其他,其他,其他,國輪,商船,失火,1
10907,我國海域,港區內,臺中港,國輪,商船,兩船碰撞,1
10907,其他,其他,其他,國輪,商船,失火,1
10907,其他,其他,其他,國輪,商船,其他,2
10907,其他,其他,其他,國輪,商船,失火,1
10907,其他,其他,其他,國輪,商船,機器故障,1
10907,其他,其他,其他,國輪,商船,其他,1
10907,我國海域,港區內,基隆港,國輪,漁船,與其他物碰撞,1
10907,我國海域,港區內,高雄港,國輪,漁船,機器故障,1
10907,我國海域,港區內,臺中港,國輪,漁船,機器故障,1
10907,我國海域,港區內,高雄港,外輪,漁船,與其他物碰撞,1
10907,我國海域,港區內,高雄港,外輪,漁船,機器故障,1
10907,其他,其他,其他,國輪,漁船,機器故障,1
10907,其他,其他,其他,國輪,漁船,其他,1
10907,我國海域,港區內,台北港,外輪,漁船,與其他物碰撞,1
10907,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10907,其他,其他,其他,外輪,漁船,非常變故,1
10907,其他,其他,其他,外輪,漁船,非常變故,1
10907,我國海域,港區內,高雄港,國輪,其他,機器故障,1
10907,我國海域,港區內,基隆港,國輪,其他,觸礁或擱淺,1
10908,其他,其他,其他,國輪,商船,失火,1
10908,其他,其他,其他,國輪,商船,兩船碰撞,1
10908,其他,其他,其他,國輪,商船,機器故障,1
10908,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,2
10908,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
10908,我國海域,港區內,臺中港,國輪,漁船,與其他物碰撞,1
10908,其他,其他,其他,外輪,漁船,非常變故,1
10908,其他,其他,其他,外輪,漁船,非常變故,1
10908,我國海域,港區內,高雄港,國輪,其他,兩船碰撞,1
10909,其他,其他,其他,國輪,商船,失火,1
10909,其他,其他,其他,國輪,商船,失火,2
10909,其他,其他,其他,國輪,商船,傾覆,1
10909,其他,其他,其他,國輪,商船,其他,1
10909,其他,其他,其他,國輪,商船,其他,2
10909,其他,其他,其他,國輪,商船,兩船碰撞,1
10909,其他,其他,其他,國輪,漁船,機器故障,1
10909,其他,其他,其他,國輪,漁船,兩船碰撞,1
10909,其他,其他,其他,外輪,漁船,非常變故,1
10909,我國海域,港區內,蘇澳港,國輪,其他,其他,1
10910,其他,其他,其他,國輪,商船,其他,1
10910,其他,其他,其他,國輪,商船,兩船碰撞,2
10910,我國海域,港區內,基隆港,國輪,商船,機器故障,1
10910,其他,其他,其他,國輪,漁船,其他,1
10910,其他,其他,其他,外輪,漁船,非常變故,2
10911,其他,其他,其他,國輪,商船,其他,1
10911,我國海域,港區內,蘇澳港,國輪,商船,觸礁或擱淺,1
10911,我國海域,港區內,蘇澳港,國輪,商船,其他,1
10911,我國海域,港區內,花蓮港,國輪,商船,觸礁或擱淺,1
10911,我國海域,港區內,基隆港,國輪,商船,兩船碰撞,1
10911,我國海域,港區內,蘇澳港,國輪,商船,觸礁或擱淺,1
10911,其他,其他,其他,國輪,商船,其他,1
10911,我國海域,港區內,台北港,國輪,商船,機器故障,1
10911,其他,其他,其他,國輪,漁船,兩船碰撞,1
10911,我國海域,港區內,高雄港,國輪,漁船,失火,1
10911,其他,其他,其他,國輪,漁船,與其他物碰撞,1
10911,我國海域,港區內,臺中港,國輪,漁船,其他,1
10911,我國海域,港區內,臺中港,外輪,漁船,與其他物碰撞,1
10911,我國海域,港區內,基隆港,外輪,漁船,機器故障,1
10911,我國海域,港區內,高雄港,外輪,漁船,其他,1
10911,其他,其他,其他,外輪,漁船,非常變故,1
10911,其他,其他,其他,外輪,漁船,非常變故,1
10911,其他,其他,其他,外輪,漁船,非常變故,2
10911,我國海域,港區內,高雄港,國輪,其他,與其他物碰撞,1
10912,我國海域,港區內,安平港,國輪,商船,兩船碰撞,1
10912,我國海域,港區內,蘇澳港,國輪,商船,兩船碰撞,1
10912,其他,其他,其他,國輪,商船,其他,1
10912,其他,其他,其他,國輪,漁船,失火,1
10912,其他,其他,其他,外輪,漁船,非常變故,1
11002,其他,其他,其他,國輪,商船,其他,1
11002,其他,其他,其他,國輪,商船,其他,1
11002,其他,其他,其他,國輪,商船,觸礁或擱淺,1
11002,我國海域,港區內,安平港,國輪,商船,兩船碰撞,1
11002,其他,其他,其他,國輪,商船,其他,1
11002,其他,其他,其他,國輪,商船,失火,1
11002,其他,其他,其他,國輪,商船,其他,1
11002,其他,其他,其他,國輪,商船,其他,1
11002,其他,其他,其他,國輪,商船,其他,2
11002,其他,其他,其他,國輪,商船,觸礁或擱淺,1
11002,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,2
11002,我國海域,港區內,高雄港,國輪,漁船,與其他物碰撞,1
11002,我國海域,港區內,臺中港,國輪,漁船,兩船碰撞,1
11002,我國海域,港區內,基隆港,外輪,漁船,與其他物碰撞,1
11002,其他,其他,其他,國輪,漁船,其他,1
11002,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
11002,我國海域,港區內,臺中港,外輪,漁船,機器故障,1
11002,其他,其他,其他,外輪,漁船,非常變故,1
11002,其他,其他,其他,外輪,漁船,非常變故,1
11002,其他,其他,其他,外輪,漁船,非常變故,2
11002,其他,其他,其他,外輪,漁船,其他,1
11002,我國海域,港區內,高雄港,國輪,其他,兩船碰撞,1
11002,其他,其他,其他,國輪,其他,其他,1
11003,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,2
11003,我國海域,港區內,蘇澳港,國輪,商船,觸礁或擱淺,1
11003,我國海域,港區內,蘇澳港,國輪,商船,其他,1
11003,其他,其他,其他,國輪,商船,觸礁或擱淺,1
11003,其他,其他,其他,國輪,商船,傾覆,1
11003,其他,其他,其他,國輪,商船,機器故障,1
11003,其他,其他,其他,國輪,商船,機器故障,1
11003,我國海域,港區內,基隆港,國輪,漁船,兩船碰撞,1
11003,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
11003,我國海域,港區內,高雄港,外輪,漁船,其他,1
11003,我國海域,港區內,臺中港,外輪,漁船,機器故障,1
11003,我國海域,港區內,花蓮港,國輪,漁船,機器故障,1
11003,我國海域,港區內,基隆港,外輪,漁船,非常變故,1
11003,其他,其他,其他,外輪,漁船,其他,1
11003,其他,其他,其他,外輪,漁船,非常變故,2
11003,其他,其他,其他,外輪,漁船,非常變故,1
11003,我國海域,港區內,基隆港,國輪,其他,兩船碰撞,2
11003,我國海域,港區內,安平港,國輪,其他,兩船碰撞,1
11004,我國海域,港區內,蘇澳港,國輪,商船,兩船碰撞,2
11004,其他,其他,其他,國輪,商船,兩船碰撞,1
11004,其他,其他,其他,國輪,商船,其他,5
11004,其他,其他,其他,國輪,商船,機器故障,1
11004,其他,其他,其他,國輪,漁船,機器故障,1
11004,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,1
11004,我國海域,港區內,高雄港,外輪,漁船,其他,1
11004,其他,其他,其他,外輪,漁船,兩船碰撞,1
11004,其他,其他,其他,外輪,漁船,非常變故,1
11004,其他,其他,其他,外輪,漁船,非常變故,1
11004,我國海域,港區內,基隆港,外輪,漁船,其他,1
11004,我國海域,港區內,臺中港,國輪,其他,兩船碰撞,1
11004,我國海域,港區內,臺中港,國輪,其他,傾覆,1
11005,其他,其他,其他,國輪,商船,其他,1
11005,我國海域,港區內,安平港,國輪,商船,兩船碰撞,1
11005,其他,其他,其他,國輪,商船,機器故障,1
11005,我國海域,港區內,高雄港,國輪,商船,兩船碰撞,1
11005,我國海域,港區內,蘇澳港,國輪,商船,失火,1
11005,其他,其他,其他,國輪,商船,觸礁或擱淺,1
11005,其他,其他,其他,國輪,商船,機器故障,1
11005,其他,其他,其他,國輪,商船,其他,1
11005,其他,其他,其他,國輪,商船,非常變故,1
11005,其他,其他,其他,外輪,漁船,非常變故,1
11005,其他,其他,其他,國輪,其他,傾覆,1
11005,其他,其他,其他,外輪,其他,其他,1
