atitle,ahref
臺灣各國際港與其他港口連結之航線,https://data.motcmpb.gov.tw/ListFolders/Document/111072?name=111072
新南向國家行經臺灣各國際港各貨櫃航線之貨櫃船型統計,https://data.motcmpb.gov.tw/ListFolders/Document/106891?name=106891
行經臺灣各國際港各航線之船舶分析,https://data.motcmpb.gov.tw/ListFolders/Document/106890?name=106890
行經臺灣各國際港航線進出港艘次,https://data.motcmpb.gov.tw/ListFolders/Document/106889?name=106889
新南向國家行經臺灣各國際港貨櫃航線進出港艘次統計,https://data.motcmpb.gov.tw/ListFolders/Document/106876?name=106876
